ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2017-01-01,穝┍,程,17.0,NaN,0.15,NaN,0.9,2.5,3.8,2.5,1.0,2.0,NaN,49.0,1.0,NaN,3.8,7.8,0.4,0.2
2017-01-08,穝┍,程,13.0,NaN,0.19,NaN,0.4,4.2,4.9,3.0,2.0,1.0,NaN,59.0,0.8,NaN,65.0,24.0,0.6,0.1
2017-01-15,穝┍,程,12.0,NaN,0.14,NaN,0.7,2.3,3.2,3.0,1.0,1.0,0.2,58.0,0.9,NaN,1.1,49.0,0.4,0.0
2017-01-22,穝┍,程,14.0,NaN,0.13,NaN,0.5,2.1,2.7,9.8,3.0,5.0,NaN,47.0,0.8,NaN,22.0,7.2,0.6,0.3
2017-01-29,穝┍,程,14.0,NaN,0.17,NaN,0.5,1.9,2.8,2.4,3.0,2.0,NaN,53.0,1.0,NaN,80.0,14.0,0.5,0.1
2017-02-05,穝┍,程,10.0,NaN,0.16,NaN,0.6,2.7,3.5,2.5,3.0,2.0,NaN,53.0,0.9,NaN,1.2,14.0,0.5,0.3
2017-02-12,穝┍,程,12.0,NaN,0.13,NaN,0.5,1.7,2.6,4.4,4.0,1.0,NaN,34.0,1.0,NaN,31.0,22.0,0.4,0.1
2017-02-19,穝┍,程,12.0,NaN,0.22,NaN,0.8,3.0,4.5,2.2,2.0,1.0,0.2,43.0,0.8,NaN,42.0,8.4,0.5,0.1
2017-02-26,穝┍,程,12.0,NaN,0.2,NaN,0.5,3.1,4.7,2.6,11.0,4.0,NaN,52.0,1.0,NaN,7.0,14.0,0.4,0.1
2017-03-05,穝┍,程,13.0,NaN,0.19,NaN,0.8,4.4,5.3,3.3,3.0,1.0,0.2,55.0,1.0,NaN,37.0,11.0,0.4,0.2
2017-03-12,穝┍,程,13.0,NaN,0.16,NaN,0.7,2.5,3.3,4.8,5.0,1.0,0.2,57.0,0.8,NaN,5.1,2.0,0.5,0.1
2017-03-19,穝┍,程,14.0,NaN,0.22,NaN,0.6,3.7,4.9,2.3,3.0,1.0,0.2,54.0,0.8,NaN,32.0,15.0,0.5,0.1
2017-03-26,穝┍,程,13.0,NaN,0.22,NaN,0.6,2.0,3.0,9.9,5.0,1.0,NaN,38.0,1.1,NaN,2.4,8.5,0.5,0.0
2017-04-02,穝┍,程,11.0,NaN,0.21,NaN,1.0,4.2,5.3,5.6,18.0,9.0,NaN,24.0,0.9,NaN,0.1,11.0,0.6,0.0
2017-04-09,穝┍,程,17.0,NaN,0.2,NaN,0.7,3.9,4.8,2.2,6.0,2.0,0.2,35.0,1.1,NaN,4.4,20.0,0.4,0.0
2017-04-16,穝┍,程,17.0,NaN,0.16,NaN,0.5,3.9,4.4,2.2,17.0,7.0,0.2,51.0,1.2,NaN,2.2,2.2,0.5,0.0
2017-04-23,穝┍,程,15.0,NaN,0.13,NaN,0.4,2.3,2.9,3.2,3.0,2.0,0.2,30.0,1.0,NaN,10.0,3.7,0.5,0.2
2017-04-30,穝┍,程,18.0,NaN,0.19,NaN,0.6,3.2,4.2,8.2,20.0,8.0,NaN,37.0,1.0,NaN,3.6,1.0,0.6,0.1
2017-05-07,穝┍,程,22.0,NaN,0.16,NaN,0.4,3.8,5.0,4.1,13.0,6.0,NaN,43.0,0.9,NaN,61.0,0.5,0.5,0.0
2017-05-14,穝┍,程,21.0,NaN,0.15,NaN,0.4,1.0,2.4,9.2,10.0,1.0,0.2,51.0,1.1,NaN,9.4,8.0,0.5,0.2
2017-05-21,穝┍,程,21.0,NaN,0.14,NaN,0.5,2.3,3.5,8.3,8.0,1.0,NaN,57.0,1.1,NaN,74.0,17.0,0.7,0.2
2017-05-28,穝┍,程,23.0,NaN,0.15,NaN,0.7,1.6,2.5,3.3,2.0,1.0,0.2,46.0,0.9,NaN,26.0,27.0,0.5,0.1
2017-06-04,穝┍,程,24.0,NaN,0.16,NaN,0.8,2.4,3.5,5.5,12.0,1.0,0.2,51.0,0.9,NaN,7.5,15.0,0.4,0.1
2017-06-11,穝┍,程,23.0,NaN,0.12,NaN,0.4,2.2,2.9,2.7,8.0,1.0,0.2,52.0,1.1,NaN,22.0,8.4,0.4,0.2
2017-06-18,穝┍,程,23.0,NaN,0.12,NaN,0.9,2.9,4.0,2.1,11.0,1.0,0.2,42.0,0.9,NaN,15.0,32.0,0.4,0.1
2017-06-25,穝┍,程,27.0,NaN,0.13,NaN,0.4,2.6,3.6,6.3,9.0,4.0,NaN,44.0,0.9,NaN,0.6,7.5,0.6,0.3
2017-07-02,穝┍,程,27.0,NaN,0.11,NaN,0.6,2.9,4.2,3.5,9.0,2.0,0.2,48.0,1.0,NaN,1.2,3.9,0.5,0.2
2017-07-09,穝┍,程,27.0,NaN,0.12,NaN,0.2,3.7,4.6,4.4,9.0,5.0,0.2,43.0,0.8,NaN,25.0,17.0,0.7,0.2
2017-07-16,穝┍,程,22.0,NaN,0.11,NaN,0.5,3.3,4.5,6.3,6.0,3.0,NaN,39.0,1.1,NaN,17.0,16.0,0.8,0.7
