ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2017-01-01,ッ㎝,程,18.0,1.8,0.17,0.06,1.1,4.2,5.4,1.9,5.0,3.0,NaN,52.0,0.1,1.9,3.6,26.0,0.4,0.1
2017-01-08,ッ㎝,程,13.0,1.8,0.22,0.06,0.8,3.6,4.4,2.6,2.0,1.0,NaN,59.0,0.4,1.9,53.0,61.0,0.5,0.3
2017-01-15,ッ㎝,程,13.0,1.8,0.17,0.04,0.4,3.0,3.6,2.1,2.0,1.0,0.2,58.0,0.0,1.9,26.0,40.0,0.5,0.0
2017-01-22,ッ㎝,程,14.0,1.8,0.12,0.05,0.2,2.4,2.9,8.0,8.0,1.0,NaN,49.0,0.1,1.9,42.0,6.9,0.5,0.2
2017-01-29,ッ㎝,程,14.0,1.8,0.18,0.04,0.4,2.8,3.2,1.9,6.0,2.0,NaN,51.0,0.0,1.9,25.0,0.8,0.5,0.2
2017-02-05,ッ㎝,程,11.0,1.8,0.2,0.07,0.7,4.0,4.9,2.6,8.0,1.0,NaN,52.0,0.2,1.9,29.0,51.0,0.7,0.0
2017-02-12,ッ㎝,程,12.0,1.8,0.15,0.04,0.5,2.1,3.1,3.0,6.0,3.0,NaN,33.0,0.0,1.9,43.0,35.0,0.6,0.1
2017-02-19,ッ㎝,程,12.0,1.8,0.22,0.05,0.7,3.7,4.6,1.8,1.0,1.0,0.2,41.0,0.7,1.9,11.0,37.0,0.5,0.1
2017-02-26,ッ㎝,程,12.0,1.8,0.21,0.05,0.8,2.2,3.1,2.1,1.0,1.0,0.2,51.0,0.6,1.9,0.4,2.0,0.4,0.1
2017-03-05,ッ㎝,程,13.0,1.8,0.22,0.06,0.4,4.5,5.9,1.9,3.0,3.0,0.2,55.0,0.0,1.9,55.0,47.0,0.4,0.1
2017-03-12,ッ㎝,程,14.0,1.8,0.16,0.04,1.0,3.4,5.0,3.9,5.0,1.0,0.2,55.0,0.1,1.9,27.0,20.0,0.5,0.1
2017-03-19,ッ㎝,程,14.0,1.8,0.24,0.06,1.1,4.4,5.8,1.9,6.0,2.0,0.2,53.0,0.0,1.9,36.0,37.0,0.5,0.1
2017-03-26,ッ㎝,程,13.0,1.7,0.29,0.06,0.4,3.6,4.0,2.5,10.0,5.0,0.2,35.0,0.0,1.9,9.0,41.0,0.5,0.2
2017-04-02,ッ㎝,程,12.0,1.8,0.26,0.08,0.6,4.6,5.2,2.2,24.0,12.0,NaN,23.0,0.3,1.9,31.0,29.0,0.5,0.1
2017-04-09,ッ㎝,程,17.0,1.4,0.26,0.03,0.1,4.1,5.6,2.0,12.0,5.0,NaN,33.0,0.7,1.6,52.0,49.0,0.5,0.1
2017-04-16,ッ㎝,程,17.0,1.6,0.2,0.05,1.2,4.7,6.3,1.7,9.0,7.0,0.2,46.0,0.1,1.7,22.0,3.6,0.5,0.1
2017-04-23,ッ㎝,程,15.0,1.8,0.15,0.02,0.7,3.5,4.2,2.0,11.0,5.0,NaN,29.0,0.2,1.8,48.0,28.0,0.5,0.2
2017-04-30,ッ㎝,程,19.0,1.8,0.24,0.08,1.1,4.9,7.1,2.0,20.0,11.0,NaN,38.0,0.2,1.9,25.0,31.0,0.6,0.1
2017-05-07,ッ㎝,程,23.0,1.8,0.24,0.05,1.0,4.1,6.1,2.3,13.0,6.0,0.2,44.0,0.0,1.8,41.0,2.1,0.6,0.1
2017-05-14,ッ㎝,程,21.0,1.7,0.16,0.01,0.2,3.6,4.1,4.2,6.0,4.0,0.2,50.0,0.0,1.8,61.0,40.0,0.6,0.4
2017-05-21,ッ㎝,程,7.0,1.6,0.14,0.01,1.0,3.1,4.3,4.7,4.0,2.0,NaN,50.0,0.2,1.6,35.0,52.0,0.7,0.2
2017-05-28,ッ㎝,程,22.0,1.6,0.14,0.02,1.0,3.2,4.2,1.7,5.0,1.0,0.2,47.0,0.8,1.6,44.0,32.0,0.5,0.1
2017-06-04,ッ㎝,程,23.0,1.6,0.16,0.05,1.5,3.4,5.2,1.5,5.0,3.0,NaN,51.0,0.9,1.7,4.1,29.0,0.5,0.0
2017-06-11,ッ㎝,程,22.0,1.5,0.1,0.01,0.7,3.1,4.3,0.1,2.0,1.0,0.2,55.0,0.2,1.6,6.2,25.0,0.5,0.0
2017-06-18,ッ㎝,程,23.0,1.8,0.21,0.05,1.1,4.7,6.5,1.6,4.0,1.0,NaN,42.0,1.1,1.9,19.0,1.8,0.5,0.1
2017-06-25,ッ㎝,程,26.0,1.7,0.15,0.06,1.5,4.4,5.9,2.7,14.0,5.0,NaN,45.0,0.5,1.8,31.0,19.0,0.6,0.2
2017-07-02,ッ㎝,程,25.0,1.7,0.17,0.05,1.6,4.4,6.8,0.1,9.0,2.0,0.2,46.0,0.1,1.8,8.4,36.0,0.7,0.1
