ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2017-01-01,繷,程,24.0,2.2,0.76,0.39,22.0,45.0,49.0,51.0,128.0,78.0,NaN,95.0,4.7,2.5,348.0,353.0,4.6,2.8
2017-01-08,繷,程,25.0,2.3,1.21,0.44,48.0,41.0,69.0,59.0,82.0,42.0,NaN,91.0,5.7,2.7,139.0,357.0,5.2,4.3
2017-01-15,繷,程,22.0,2.1,0.71,0.39,13.0,50.0,54.0,46.0,86.0,48.0,NaN,94.0,11.0,2.5,346.0,344.0,5.9,4.9
2017-01-22,繷,程,23.0,2.2,0.73,0.25,14.0,37.0,45.0,59.0,166.0,131.0,NaN,92.0,9.1,2.4,346.0,360.0,5.7,4.7
2017-01-29,繷,程,26.0,2.2,0.58,0.18,15.0,27.0,36.0,54.0,90.0,53.0,NaN,92.0,3.9,2.3,356.0,358.0,5.5,4.9
2017-02-05,繷,程,23.0,2.2,0.72,0.25,12.0,31.0,39.0,62.0,89.0,59.0,NaN,90.0,4.5,2.4,340.0,337.0,5.9,4.6
2017-02-12,繷,程,25.0,2.2,1.19,0.5,36.0,57.0,66.0,80.0,143.0,71.0,NaN,90.0,8.2,2.7,359.0,341.0,4.5,3.9
2017-02-19,繷,程,25.0,2.3,0.89,0.35,22.0,40.0,56.0,69.0,111.0,60.0,12.0,94.0,8.4,2.5,356.0,355.0,5.1,4.0
2017-02-26,繷,程,20.0,2.4,0.94,0.41,35.0,46.0,77.0,61.0,127.0,50.0,NaN,93.0,8.2,2.6,352.0,358.0,5.6,4.8
2017-03-05,繷,程,23.0,2.3,0.97,0.35,31.0,45.0,58.0,78.0,133.0,72.0,6.6,95.0,4.7,2.6,358.0,357.0,4.8,3.9
2017-03-12,繷,程,23.0,2.1,0.63,0.36,14.0,38.0,48.0,62.0,135.0,58.0,NaN,94.0,5.1,2.4,358.0,344.0,5.1,3.8
2017-03-19,繷,程,25.0,2.3,0.9,0.32,15.0,38.0,50.0,75.0,72.0,40.0,2.4,94.0,6.1,2.5,338.0,349.0,5.2,4.6
2017-03-26,繷,程,27.0,2.3,0.9,0.4,24.0,42.0,53.0,96.0,124.0,62.0,NaN,91.0,8.9,2.6,342.0,354.0,5.1,4.5
2017-04-02,繷,程,28.0,2.3,0.81,0.34,12.0,39.0,47.0,97.0,98.0,56.0,NaN,89.0,5.7,2.5,347.0,339.0,4.7,3.9
2017-04-09,繷,程,34.0,2.3,0.92,0.32,17.0,42.0,45.0,70.0,105.0,62.0,11.0,94.0,6.1,2.5,359.0,352.0,7.8,6.7
2017-04-16,繷,程,32.0,2.4,0.74,0.3,18.0,23.0,33.0,83.0,104.0,49.0,NaN,91.0,6.5,2.7,356.0,349.0,6.2,5.3
2017-04-23,繷,程,28.0,2.6,1.04,0.41,25.0,42.0,45.0,85.0,101.0,48.0,NaN,94.0,7.1,2.8,352.0,350.0,4.9,4.2
2017-04-30,繷,程,30.0,2.3,0.7,0.35,18.0,40.0,41.0,101.0,75.0,44.0,NaN,91.0,7.7,2.5,350.0,354.0,4.5,2.6
2017-05-07,繷,程,31.0,2.1,0.68,0.35,11.0,30.0,33.0,89.0,127.0,40.0,NaN,91.0,9.7,2.4,359.0,351.0,4.8,4.3
2017-05-14,繷,程,32.0,2.2,0.63,0.25,8.9,31.0,35.0,88.0,52.0,37.0,9.6,93.0,6.3,2.5,358.0,352.0,4.2,3.8
2017-05-21,繷,程,31.0,2.3,0.53,0.46,11.0,39.0,40.0,87.0,66.0,41.0,NaN,93.0,9.5,2.5,340.0,351.0,5.4,4.4
