ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2017-01-01,籓狥,程,27.0,NaN,0.88,NaN,5.8,22.0,25.0,35.0,45.0,17.0,NaN,86.0,1.4,NaN,356.0,352.0,3.6,2.6
2017-01-08,籓狥,程,27.0,NaN,0.76,NaN,4.0,18.0,20.0,43.0,60.0,27.0,NaN,87.0,2.3,NaN,353.0,333.0,3.9,2.8
2017-01-15,籓狥,程,26.0,NaN,0.67,NaN,6.4,18.0,20.0,40.0,48.0,24.0,NaN,85.0,2.3,NaN,353.0,343.0,4.7,2.8
2017-01-22,籓狥,程,25.0,NaN,0.55,NaN,4.9,13.0,16.0,49.0,71.0,26.0,NaN,78.0,2.3,NaN,355.0,328.0,4.6,3.0
2017-01-29,籓狥,程,27.0,NaN,0.55,NaN,10.0,17.0,25.0,36.0,96.0,19.0,NaN,91.0,1.8,NaN,335.0,358.0,5.6,3.8
2017-02-05,籓狥,程,24.0,NaN,0.75,NaN,13.0,14.0,27.0,46.0,91.0,48.0,NaN,93.0,8.5,NaN,328.0,344.0,4.9,2.8
2017-02-12,籓狥,程,26.0,NaN,0.67,NaN,4.2,16.0,18.0,44.0,75.0,31.0,NaN,85.0,2.9,NaN,318.0,345.0,4.6,3.1
2017-02-19,籓狥,程,26.0,NaN,0.75,NaN,5.3,17.0,23.0,45.0,51.0,27.0,NaN,90.0,1.8,NaN,355.0,348.0,4.7,2.8
2017-02-26,籓狥,程,24.0,NaN,0.78,NaN,4.2,21.0,23.0,49.0,66.0,34.0,NaN,77.0,2.1,NaN,353.0,309.0,4.9,2.6
2017-03-05,籓狥,程,27.0,NaN,0.79,NaN,6.3,16.0,22.0,47.0,135.0,19.0,0.8,88.0,2.3,NaN,319.0,336.0,5.6,3.9
2017-03-12,籓狥,程,26.0,NaN,0.67,NaN,6.5,17.0,20.0,47.0,53.0,17.0,NaN,90.0,2.2,NaN,354.0,359.0,4.6,2.9
2017-03-19,籓狥,程,27.0,NaN,0.87,NaN,7.1,18.0,23.0,45.0,43.0,16.0,8.0,92.0,2.5,NaN,355.0,357.0,5.5,4.1
2017-03-26,籓狥,程,28.0,NaN,1.04,NaN,7.5,26.0,31.0,59.0,81.0,60.0,NaN,88.0,1.9,NaN,329.0,352.0,6.5,3.9
2017-04-02,籓狥,程,28.0,NaN,0.6,NaN,4.1,13.0,16.0,65.0,65.0,37.0,NaN,86.0,2.3,NaN,317.0,322.0,3.8,2.9
2017-04-09,籓狥,程,29.0,NaN,0.73,NaN,5.4,14.0,17.0,56.0,70.0,20.0,NaN,89.0,2.4,NaN,359.0,345.0,4.2,3.6
2017-04-16,籓狥,程,30.0,NaN,0.61,NaN,16.0,11.0,26.0,52.0,53.0,19.0,6.0,91.0,2.7,NaN,356.0,330.0,5.3,3.5
2017-04-23,籓狥,程,30.0,NaN,0.65,NaN,9.8,16.0,22.0,50.0,52.0,20.0,NaN,88.0,1.8,NaN,341.0,349.0,4.7,2.8
2017-04-30,籓狥,程,31.0,NaN,0.61,NaN,4.5,14.0,17.0,42.0,40.0,19.0,NaN,90.0,2.0,NaN,354.0,352.0,3.5,2.4
2017-05-07,籓狥,程,33.0,NaN,0.65,NaN,24.0,10.0,35.0,39.0,57.0,18.0,NaN,89.0,2.3,NaN,354.0,337.0,4.5,3.9
2017-05-14,籓狥,程,29.0,NaN,0.49,NaN,3.9,14.0,16.0,49.0,42.0,15.0,23.0,90.0,1.9,NaN,360.0,357.0,3.9,2.9
2017-05-21,籓狥,程,31.0,NaN,0.66,NaN,4.7,15.0,19.0,44.0,33.0,12.0,8.8,93.0,1.8,NaN,358.0,352.0,3.9,3.0
2017-05-28,籓狥,程,31.0,NaN,0.64,NaN,5.0,14.0,19.0,47.0,41.0,19.0,17.0,92.0,4.3,NaN,360.0,352.0,4.0,2.8
2017-06-04,籓狥,程,32.0,NaN,0.75,NaN,12.0,17.0,22.0,26.0,39.0,19.0,NaN,92.0,2.1,NaN,330.0,355.0,3.4,3.3
2017-06-11,籓狥,程,34.0,NaN,0.54,NaN,8.1,13.0,16.0,39.0,67.0,16.0,2.6,88.0,3.7,NaN,355.0,345.0,5.7,5.5
2017-06-18,籓狥,程,34.0,NaN,0.6,NaN,13.0,17.0,24.0,40.0,53.0,19.0,NaN,86.0,3.0,NaN,357.0,348.0,4.2,3.6
2017-06-25,籓狥,程,33.0,NaN,0.45,NaN,10.0,14.0,25.0,32.0,37.0,20.0,NaN,89.0,2.5,NaN,341.0,345.0,3.1,2.4
2017-07-02,籓狥,程,33.0,NaN,0.57,NaN,9.0,10.0,16.0,21.0,32.0,9.0,NaN,84.0,2.2,NaN,323.0,329.0,4.5,3.3
2017-07-09,籓狥,程,33.0,NaN,0.45,NaN,6.3,11.0,15.0,20.0,30.0,8.0,NaN,80.0,2.4,NaN,313.0,348.0,3.4,2.5
2017-07-16,籓狥,程,32.0,NaN,0.45,NaN,11.0,10.0,18.0,23.0,33.0,11.0,12.0,89.0,2.8,NaN,349.0,331.0,4.3,3.5
2017-07-23,籓狥,程,33.0,NaN,0.43,NaN,7.8,9.4,17.0,25.0,275.0,12.0,NaN,89.0,3.4,NaN,348.0,350.0,4.1,3.2
2017-07-30,籓狥,程,33.0,NaN,0.76,NaN,6.1,15.0,22.0,40.0,62.0,27.0,NaN,91.0,2.4,NaN,359.0,338.0,4.6,3.6
2017-08-06,籓狥,程,34.0,NaN,0.58,NaN,5.6,14.0,17.0,40.0,89.0,18.0,NaN,80.0,4.4,NaN,350.0,359.0,3.6,3.0
2017-08-13,籓狥,程,33.0,NaN,0.46,NaN,4.7,13.0,15.0,45.0,59.0,18.0,NaN,80.0,2.6,NaN,359.0,359.0,2.8,2.2
2017-08-20,籓狥,程,33.0,NaN,0.52,NaN,25.0,13.0,30.0,34.0,100.0,19.0,66.0,96.0,2.3,NaN,358.0,359.0,5.5,3.4
2017-08-27,籓狥,程,32.0,NaN,0.62,NaN,13.0,14.0,25.0,32.0,236.0,15.0,40.0,95.0,2.9,NaN,356.0,359.0,4.5,3.2
2017-09-03,籓狥,程,32.0,NaN,0.61,NaN,6.2,12.0,14.0,32.0,43.0,17.0,NaN,95.0,3.7,NaN,356.0,360.0,3.8,3.2
2017-09-10,籓狥,程,32.0,NaN,0.49,NaN,7.1,10.0,12.0,43.0,58.0,20.0,NaN,84.0,2.4,NaN,359.0,357.0,4.0,3.1
2017-09-17,籓狥,程,32.0,NaN,0.5,NaN,18.0,11.0,25.0,68.0,62.0,32.0,NaN,91.0,2.3,NaN,358.0,359.0,4.3,3.2
2017-09-24,籓狥,程,32.0,NaN,0.52,NaN,9.7,12.0,19.0,44.0,49.0,21.0,NaN,91.0,2.8,NaN,360.0,359.0,3.9,3.1
2017-10-01,籓狥,程,32.0,NaN,0.48,NaN,5.7,9.3,13.0,36.0,94.0,19.0,NaN,89.0,2.0,NaN,359.0,355.0,5.1,4.4
2017-10-08,籓狥,程,32.0,NaN,0.49,NaN,9.0,12.0,19.0,25.0,80.0,10.0,58.0,96.0,3.4,NaN,360.0,356.0,5.9,4.0
2017-10-15,籓狥,程,31.0,NaN,0.59,NaN,7.7,18.0,20.0,43.0,77.0,21.0,36.0,96.0,1.8,NaN,358.0,358.0,5.6,4.2
2017-10-22,籓狥,程,29.0,NaN,0.58,NaN,4.6,15.0,18.0,63.0,147.0,33.0,NaN,83.0,2.1,NaN,360.0,359.0,4.9,3.7
2017-10-29,籓狥,程,29.0,NaN,0.75,NaN,4.9,20.0,24.0,58.0,327.0,23.0,NaN,88.0,1.8,NaN,358.0,360.0,5.7,4.8
2017-11-05,籓狥,程,30.0,NaN,0.66,NaN,7.7,14.0,22.0,38.0,162.0,14.0,1.8,89.0,1.8,NaN,360.0,359.0,3.9,3.1
2017-11-12,籓狥,程,32.0,NaN,0.7,NaN,47.0,17.0,65.0,40.0,91.0,23.0,NaN,89.0,2.5,NaN,360.0,357.0,5.6,4.8
2017-11-19,籓狥,程,29.0,NaN,0.63,NaN,22.0,18.0,28.0,44.0,132.0,17.0,NaN,87.0,2.3,NaN,358.0,360.0,4.5,3.4
2017-11-26,籓狥,程,29.0,NaN,0.5,NaN,8.8,12.0,21.0,37.0,104.0,13.0,NaN,83.0,2.2,NaN,359.0,360.0,5.0,4.1
2017-12-03,籓狥,程,27.0,NaN,0.68,NaN,9.9,23.0,31.0,47.0,134.0,31.0,NaN,89.0,2.1,NaN,360.0,360.0,4.9,3.9
2017-12-10,籓狥,程,26.0,NaN,0.68,NaN,12.0,24.0,36.0,37.0,208.0,31.0,0.8,91.0,2.1,NaN,359.0,355.0,6.2,5.2
2017-12-17,籓狥,程,25.0,NaN,0.45,NaN,4.2,16.0,20.0,39.0,98.0,19.0,NaN,78.0,2.5,NaN,358.0,360.0,5.0,4.0
2017-12-24,籓狥,程,26.0,NaN,0.88,NaN,4.5,19.0,21.0,53.0,91.0,46.0,NaN,96.0,2.9,NaN,357.0,358.0,4.7,3.9
