ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2017-01-01,翠,程,27.0,2.5,1.37,0.63,56.0,66.0,97.0,81.0,151.0,98.0,NaN,95.0,34.0,2.9,356.0,358.0,3.5,3.4
2017-01-08,翠,程,28.0,2.4,1.49,0.62,82.0,65.0,117.0,89.0,191.0,98.0,NaN,87.0,34.0,2.9,359.0,355.0,3.9,3.5
2017-01-15,翠,程,28.0,2.1,1.16,0.48,56.0,49.0,95.0,79.0,187.0,81.0,NaN,89.0,18.0,2.5,355.0,358.0,3.9,3.1
2017-01-22,翠,程,26.0,2.2,1.33,0.63,51.0,55.0,97.0,77.0,158.0,77.0,NaN,81.0,17.0,2.8,344.0,359.0,3.8,3.4
2017-01-29,翠,程,27.0,2.2,1.39,0.58,26.0,52.0,72.0,88.0,169.0,73.0,NaN,85.0,43.0,2.7,360.0,359.0,4.3,3.5
2017-02-05,翠,程,26.0,2.3,1.17,0.5,58.0,64.0,106.0,75.0,189.0,87.0,NaN,87.0,30.0,2.7,358.0,355.0,4.2,3.4
2017-02-12,翠,程,26.0,2.3,1.27,0.79,75.0,62.0,125.0,82.0,188.0,89.0,NaN,83.0,18.0,3.1,349.0,357.0,4.7,4.1
2017-02-19,翠,程,29.0,2.3,1.39,0.56,42.0,56.0,90.0,72.0,155.0,87.0,NaN,88.0,48.0,2.7,351.0,355.0,3.9,3.2
2017-02-26,翠,程,25.0,2.3,1.32,0.68,80.0,59.0,129.0,95.0,234.0,78.0,NaN,77.0,41.0,2.9,351.0,355.0,4.8,4.0
2017-03-05,翠,程,29.0,2.3,1.65,0.72,50.0,61.0,99.0,83.0,139.0,86.0,NaN,90.0,25.0,2.9,348.0,359.0,4.7,3.5
2017-03-12,翠,程,29.0,2.2,1.35,0.56,67.0,68.0,109.0,70.0,141.0,71.0,NaN,93.0,33.0,2.7,359.0,360.0,5.5,4.6
2017-03-19,翠,程,31.0,2.6,1.1,0.68,40.0,57.0,97.0,90.0,152.0,85.0,NaN,85.0,34.0,2.9,341.0,360.0,5.1,4.4
2017-03-26,翠,程,29.0,2.4,0.95,0.44,16.0,50.0,61.0,87.0,121.0,68.0,NaN,88.0,26.0,2.7,358.0,359.0,5.3,4.4
2017-04-02,翠,程,29.0,2.4,0.86,0.39,18.0,42.0,54.0,90.0,119.0,64.0,NaN,90.0,33.0,2.6,338.0,330.0,4.7,4.0
2017-04-09,翠,程,31.0,2.6,1.51,0.75,43.0,53.0,78.0,96.0,129.0,88.0,NaN,96.0,43.0,2.9,356.0,354.0,3.8,3.6
2017-04-16,翠,程,32.0,2.8,0.67,0.59,21.0,50.0,72.0,53.0,102.0,42.0,NaN,96.0,31.0,3.0,334.0,349.0,4.6,4.4
2017-04-23,翠,程,30.0,2.4,1.16,0.68,23.0,58.0,67.0,99.0,115.0,61.0,NaN,92.0,30.0,2.6,353.0,360.0,3.7,4.0
2017-04-30,翠,程,32.0,2.3,0.63,0.59,14.0,44.0,55.0,94.0,117.0,55.0,NaN,87.0,36.0,2.6,329.0,322.0,4.0,3.5
2017-05-07,翠,程,33.0,2.4,1.08,1.77,29.0,44.0,72.0,81.0,93.0,38.0,NaN,86.0,46.0,3.6,340.0,337.0,5.3,4.4
2017-05-14,翠,程,32.0,2.4,1.97,1.27,35.0,56.0,62.0,89.0,99.0,56.0,5.6,92.0,54.0,3.2,358.0,358.0,4.9,4.1
2017-05-21,翠,程,32.0,2.5,0.92,2.56,31.0,40.0,68.0,78.0,81.0,40.0,NaN,95.0,35.0,4.4,351.0,357.0,4.1,4.0
2017-05-28,翠,程,31.0,2.5,1.33,1.41,34.0,40.0,57.0,97.0,99.0,44.0,14.0,94.0,42.0,3.2,355.0,351.0,4.4,4.2
2017-06-04,翠,程,33.0,2.8,1.09,4.61,26.0,27.0,52.0,32.0,63.0,25.0,NaN,98.0,39.0,6.5,306.0,308.0,5.5,4.4
2017-06-11,翠,程,33.0,2.1,1.22,2.71,21.0,26.0,43.0,25.0,78.0,40.0,12.0,96.0,41.0,4.5,349.0,359.0,4.8,4.5
2017-06-18,翠,程,34.0,2.6,0.64,0.43,21.0,21.0,41.0,25.0,86.0,57.0,NaN,95.0,43.0,2.9,323.0,338.0,4.9,4.3
2017-06-25,翠,程,34.0,2.2,1.09,0.51,21.0,42.0,62.0,59.0,61.0,26.0,NaN,88.0,45.0,2.5,349.0,348.0,5.0,4.6
2017-07-02,翠,程,35.0,2.0,1.59,0.45,18.0,28.0,34.0,38.0,105.0,59.0,NaN,84.0,30.0,2.2,310.0,306.0,5.2,4.7
2017-07-09,翠,程,35.0,2.3,0.6,0.39,26.0,38.0,64.0,54.0,74.0,30.0,NaN,82.0,37.0,2.4,299.0,336.0,5.4,4.8
2017-07-16,翠,程,34.0,2.3,0.92,0.43,33.0,45.0,78.0,98.0,85.0,47.0,NaN,91.0,57.0,2.5,341.0,338.0,4.7,3.9
