ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2017-01-01,確砍,程,20.0,1.8,0.33,0.06,0.0,12.0,15.0,1.4,41.0,19.0,NaN,58.0,1.5,1.9,23.0,0.8,0.5,0.1
2017-01-08,確砍,程,19.0,1.9,0.33,0.11,0.0,11.0,11.0,1.6,37.0,20.0,NaN,57.0,1.6,2.0,83.0,83.0,0.5,0.1
2017-01-15,確砍,程,16.0,1.8,0.34,0.12,0.1,12.0,14.0,2.0,35.0,14.0,NaN,56.0,1.2,2.0,89.0,85.0,0.5,0.1
2017-01-22,確砍,程,15.0,1.8,0.34,0.07,0.7,11.0,12.0,2.4,40.0,16.0,NaN,44.0,2.1,1.9,49.0,87.0,0.5,0.1
2017-01-29,確砍,程,17.0,1.8,0.29,0.07,0.9,13.0,15.0,2.1,33.0,19.0,NaN,41.0,1.9,1.9,30.0,58.0,0.5,0.1
2017-02-05,確砍,程,14.0,1.9,0.24,0.07,0.4,11.0,13.0,0.5,44.0,10.0,NaN,50.0,1.3,2.0,70.0,59.0,0.5,0.1
2017-02-12,確砍,程,15.0,1.8,0.34,0.1,1.0,13.0,14.0,2.2,42.0,11.0,NaN,40.0,2.3,2.0,29.0,46.0,0.5,0.1
2017-02-19,確砍,程,18.0,1.8,0.2,0.04,0.8,8.8,12.0,1.4,14.0,3.0,NaN,59.0,1.6,1.8,4.5,14.0,0.5,0.1
2017-02-26,確砍,程,17.0,1.9,0.34,0.1,0.7,14.0,16.0,2.5,43.0,13.0,NaN,42.0,1.8,2.0,23.0,0.1,0.5,0.1
2017-03-05,確砍,程,18.0,1.9,0.23,0.05,0.4,11.0,12.0,0.9,23.0,7.0,NaN,56.0,1.0,1.9,79.0,48.0,0.5,0.2
2017-03-12,確砍,程,20.0,1.9,0.3,0.05,0.0,8.9,11.0,2.6,20.0,6.0,NaN,57.0,1.8,1.9,78.0,77.0,0.5,0.3
2017-03-19,確砍,程,21.0,1.3,0.22,0.05,0.0,8.5,10.0,3.8,27.0,7.0,NaN,45.0,1.2,1.5,83.0,74.0,0.5,0.3
2017-03-26,確砍,程,17.0,1.8,0.26,0.04,0.0,5.8,7.7,3.1,17.0,5.0,NaN,46.0,1.2,1.9,76.0,58.0,0.5,0.2
2017-04-02,確砍,程,19.0,1.8,0.16,0.03,0.0,7.2,8.3,1.6,22.0,5.0,NaN,38.0,1.0,1.9,74.0,73.0,0.5,0.3
2017-04-09,確砍,程,20.0,1.8,0.19,0.03,0.3,6.2,6.1,1.2,7.0,2.0,NaN,52.0,1.6,1.8,77.0,76.0,0.5,0.3
2017-04-16,確砍,程,21.0,1.7,0.11,0.01,1.2,3.8,6.6,1.9,9.0,2.0,NaN,55.0,1.1,1.8,88.0,78.0,0.5,0.3
2017-04-23,確砍,程,20.0,1.8,0.27,0.06,0.2,8.0,11.0,4.7,20.0,11.0,NaN,53.0,1.9,1.9,83.0,75.0,0.5,0.2
2017-04-30,確砍,程,23.0,1.8,0.18,0.03,0.0,8.3,9.6,2.8,29.0,14.0,NaN,50.0,1.7,1.9,85.0,82.0,0.5,0.2
2017-05-07,確砍,程,27.0,1.8,0.11,0.0,0.1,5.6,5.8,3.5,7.0,2.0,NaN,56.0,1.8,1.8,76.0,71.0,0.5,0.3
2017-05-14,確砍,程,24.0,1.8,0.16,0.01,0.1,8.0,9.5,4.4,9.0,6.0,0.2,54.0,1.5,1.8,77.0,75.0,0.5,0.3
2017-05-21,確砍,程,25.0,1.8,0.1,0.0,0.2,6.5,7.6,5.0,8.0,2.0,NaN,59.0,1.6,1.8,79.0,75.0,0.5,0.3
2017-05-28,確砍,程,27.0,1.7,0.07,0.0,0.1,6.2,7.3,4.7,2.0,2.0,0.2,63.0,1.9,1.7,79.0,76.0,0.5,0.3
2017-06-04,確砍,程,27.0,1.7,0.09,0.0,0.1,1.9,6.5,0.7,3.0,2.0,NaN,62.0,1.4,1.7,75.0,73.0,0.5,0.3
2017-06-11,確砍,程,25.0,1.7,0.1,0.01,0.4,3.5,4.4,1.4,7.0,2.0,0.2,65.0,0.6,1.7,77.0,76.0,0.5,0.3
2017-06-18,確砍,程,26.0,1.7,0.1,0.03,0.0,2.6,5.9,1.7,10.0,2.0,NaN,61.0,1.4,1.7,83.0,77.0,0.5,0.3
2017-06-25,確砍,程,26.0,1.7,0.08,0.0,0.2,2.8,4.6,1.7,13.0,2.0,NaN,57.0,1.5,1.7,82.0,79.0,0.5,0.3
2017-07-02,確砍,程,28.0,1.7,0.1,0.01,0.5,1.6,3.7,1.7,8.0,2.0,NaN,53.0,1.4,1.8,80.0,77.0,0.5,0.3
2017-07-09,確砍,程,28.0,1.7,0.08,0.01,0.3,3.9,6.3,1.4,12.0,2.0,NaN,49.0,1.6,1.7,87.0,76.0,0.4,0.2
