ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2018-01-01,αゎ,程,25.0,NaN,1.48,NaN,78.3,45.7,114.5,71.8,100.0,62.5,6.0,98.3,6.4,NaN,355.0,360.0,4.3,3.7
2018-01-08,αゎ,程,21.5,NaN,1.54,NaN,107.3,43.7,141.5,53.8,55.0,35.0,8.4,98.2,23.0,NaN,360.0,360.0,5.0,3.6
2018-01-15,αゎ,程,26.0,NaN,1.41,NaN,128.6,42.2,158.7,57.5,64.0,44.0,3.6,98.0,9.2,NaN,252.0,357.0,4.0,3.3
2018-01-22,αゎ,程,22.1,NaN,1.33,NaN,48.5,40.4,78.1,55.6,65.0,40.0,3.4,97.0,7.8,NaN,233.0,250.0,4.7,4.4
2018-01-29,αゎ,程,16.7,NaN,0.92,NaN,21.7,39.8,60.7,57.1,63.0,50.0,4.6,98.0,5.0,NaN,61.0,80.0,3.7,3.0
2018-02-05,αゎ,程,19.2,NaN,2.57,NaN,144.1,54.3,188.9,54.0,101.0,44.0,2.8,100.0,8.0,NaN,360.0,359.0,3.5,3.2
2018-02-12,αゎ,程,30.5,NaN,1.32,NaN,75.4,50.6,96.9,63.2,133.0,57.0,0.4,95.0,18.8,NaN,358.0,360.0,5.1,4.0
2018-02-19,αゎ,程,28.4,NaN,1.3,NaN,56.9,45.1,89.7,73.6,92.0,59.0,3.4,99.0,12.3,NaN,349.0,357.0,3.6,2.8
2018-02-26,αゎ,程,29.1,NaN,1.48,NaN,62.4,58.4,96.4,59.4,118.0,103.0,5.8,100.0,19.0,NaN,356.0,359.0,3.9,3.5
2018-03-05,αゎ,程,28.8,NaN,1.21,NaN,33.6,40.6,56.0,52.8,80.0,46.0,2.8,98.0,9.5,NaN,349.0,346.0,4.1,3.9
2018-03-12,αゎ,程,28.9,NaN,1.46,NaN,90.0,54.8,117.7,72.5,90.0,48.0,1.2,99.0,20.9,NaN,359.0,357.0,3.5,3.2
2018-03-19,αゎ,程,29.7,NaN,1.01,NaN,66.8,44.1,96.8,71.3,70.0,37.0,1.4,96.0,17.7,NaN,360.0,356.0,3.9,2.9
2018-03-26,αゎ,程,30.2,NaN,0.76,NaN,38.6,45.3,66.5,102.6,72.0,42.0,0.4,95.0,8.5,NaN,345.0,360.0,4.8,3.8
2018-04-02,αゎ,程,30.9,NaN,0.86,NaN,43.2,39.0,69.0,81.8,157.0,46.0,1.4,95.0,10.6,NaN,359.0,359.0,4.9,3.8
2018-04-09,αゎ,程,32.2,NaN,1.25,NaN,59.3,61.1,92.8,92.8,158.0,48.0,11.0,98.0,17.1,NaN,355.0,359.0,4.2,3.8
2018-04-16,αゎ,程,33.4,NaN,0.92,NaN,40.9,53.1,69.5,78.7,115.0,45.0,4.6,97.0,10.6,NaN,359.0,360.0,4.2,3.6
2018-04-23,αゎ,程,33.3,NaN,0.9,NaN,36.6,39.3,71.7,110.7,66.0,53.0,6.4,96.0,27.1,NaN,359.0,359.0,3.9,3.4
2018-04-30,αゎ,程,33.8,NaN,1.0,NaN,45.3,38.2,64.4,108.1,67.0,46.0,0.4,95.0,26.7,NaN,359.0,356.0,4.3,3.7
2018-05-07,αゎ,程,33.7,NaN,0.91,NaN,36.3,35.0,59.9,106.9,65.0,43.0,8.4,97.0,66.2,NaN,360.0,354.0,4.8,3.9
2018-05-14,αゎ,程,34.8,NaN,1.14,NaN,32.4,44.4,69.9,96.8,64.0,41.0,0.0,94.0,23.1,NaN,357.0,347.0,3.6,3.0
2018-05-21,αゎ,程,36.8,NaN,0.79,NaN,19.9,34.4,51.1,91.5,66.0,35.0,0.6,95.0,21.1,NaN,335.0,356.0,4.2,3.7
2018-05-28,αゎ,程,35.5,NaN,0.84,NaN,24.2,34.5,51.4,101.5,63.0,32.0,3.2,96.0,24.9,NaN,337.0,336.0,4.0,3.4
2018-06-04,αゎ,程,34.3,NaN,0.53,NaN,21.4,21.3,39.6,60.8,37.0,18.0,10.8,98.0,20.7,NaN,356.0,330.0,4.2,4.4
2018-06-11,αゎ,程,32.8,NaN,0.93,NaN,20.4,38.2,58.6,92.8,57.0,34.0,3.8,100.0,10.8,NaN,353.0,342.0,4.4,3.8
2018-06-18,αゎ,程,33.4,NaN,1.01,NaN,41.7,34.9,66.9,71.5,45.0,20.0,78.8,99.0,9.1,NaN,349.0,360.0,3.9,2.9
2018-06-25,αゎ,程,36.5,NaN,0.67,NaN,25.9,28.4,40.4,88.7,47.0,22.0,0.2,95.0,22.6,NaN,355.0,355.0,3.6,2.9
2018-07-02,αゎ,程,35.5,NaN,0.7,NaN,23.8,29.5,50.6,60.8,75.0,17.0,4.4,94.0,10.6,NaN,347.0,320.0,5.4,3.9
2018-07-09,αゎ,程,36.0,NaN,0.48,NaN,25.4,24.7,48.1,29.5,34.0,12.0,27.0,99.0,9.8,NaN,360.0,359.0,6.4,5.2
2018-07-16,αゎ,程,35.6,NaN,0.55,NaN,13.3,20.6,23.8,43.6,28.0,17.0,5.8,96.0,16.2,NaN,352.0,359.0,4.0,3.5
2018-07-23,αゎ,程,36.7,NaN,0.73,NaN,34.3,30.6,56.3,79.5,56.0,35.0,0.0,91.0,25.2,NaN,325.0,358.0,3.7,3.1
2018-07-30,αゎ,程,37.0,NaN,0.7,NaN,20.6,30.3,40.5,77.6,47.0,24.0,12.8,92.0,12.9,NaN,355.0,360.0,3.8,3.0
2018-08-06,αゎ,程,35.9,NaN,0.66,NaN,26.0,25.6,45.1,101.4,49.0,28.0,15.4,92.0,20.4,NaN,359.0,355.0,3.9,3.2
2018-08-13,αゎ,程,36.9,NaN,0.94,NaN,28.8,27.9,49.2,70.3,43.0,19.0,13.6,93.0,13.5,NaN,354.0,356.0,3.4,3.4
2018-08-20,αゎ,程,35.0,NaN,0.7,NaN,22.6,25.9,39.1,62.8,31.0,15.0,3.8,94.0,14.4,NaN,359.0,356.0,3.9,3.7
2018-08-27,αゎ,程,34.3,NaN,0.84,NaN,39.8,31.4,57.5,79.0,43.0,21.0,17.6,94.0,15.8,NaN,356.0,354.0,3.2,2.3
2018-09-03,αゎ,程,37.3,NaN,0.84,NaN,28.0,46.0,57.7,87.3,52.0,30.0,76.0,97.0,15.7,NaN,359.0,358.0,4.2,3.5
2018-09-10,αゎ,程,35.1,NaN,0.9,NaN,56.0,31.0,71.8,77.1,46.0,20.0,13.0,97.0,12.9,NaN,352.0,356.0,5.2,4.5
2018-09-17,αゎ,程,36.7,NaN,0.77,NaN,41.2,30.9,58.6,90.7,55.0,34.0,11.8,94.0,10.9,NaN,358.0,358.0,3.2,2.6
2018-09-24,αゎ,程,29.3,NaN,1.14,NaN,33.3,38.7,65.1,77.8,55.0,28.0,4.8,93.0,10.2,NaN,338.0,358.0,4.1,3.6
2018-10-01,αゎ,程,30.9,NaN,0.89,NaN,51.9,42.9,83.8,95.2,80.0,28.0,2.2,94.0,8.9,NaN,344.0,354.0,4.2,3.9
2018-10-08,αゎ,程,26.5,NaN,0.73,NaN,7.7,33.1,39.5,68.7,43.0,29.0,15.2,97.0,7.5,NaN,113.0,295.0,3.7,3.1
