ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2018-01-01,睭,程,14.9,NaN,0.11,NaN,0.3,0.3,1.1,8.3,5.0,1.0,0.0,54.0,0.5,NaN,NaN,0.0,0.1,NaN
2018-01-08,睭,程,6.3,NaN,0.13,NaN,0.0,2.0,1.7,3.3,5.0,1.0,0.0,43.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-01-15,睭,程,14.1,NaN,0.14,NaN,0.3,1.3,1.8,2.4,5.0,2.0,0.0,46.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-01-22,睭,程,12.6,NaN,0.13,NaN,0.0,0.8,1.0,2.4,5.0,1.0,0.0,54.0,0.5,NaN,NaN,0.0,0.1,NaN
2018-01-29,睭,程,7.9,NaN,0.16,NaN,0.3,0.9,1.3,5.4,5.0,2.0,0.0,71.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-02-05,睭,程,7.0,NaN,0.17,NaN,0.0,1.1,1.5,3.2,5.0,2.0,0.0,55.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-02-12,睭,程,9.7,NaN,0.21,NaN,0.0,1.3,1.7,2.7,19.0,7.0,0.0,47.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-02-19,睭,程,12.8,NaN,0.18,NaN,0.0,1.0,1.8,3.8,5.0,4.0,0.0,58.0,0.0,NaN,NaN,0.0,0.1,NaN
2018-02-26,睭,程,14.5,NaN,0.2,NaN,0.0,0.6,1.2,2.4,5.0,3.0,0.0,56.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-03-05,睭,程,9.6,NaN,0.13,NaN,0.0,1.1,1.1,3.0,5.0,4.0,0.0,38.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-03-12,睭,程,14.4,NaN,0.12,NaN,0.3,1.2,2.2,2.5,14.0,5.0,0.0,51.0,0.5,NaN,NaN,0.0,0.1,NaN
2018-03-19,睭,程,10.5,NaN,0.14,NaN,0.0,2.0,2.1,2.4,16.0,5.0,0.0,29.0,1.0,NaN,NaN,0.0,0.0,NaN
2018-03-26,睭,程,17.1,NaN,0.12,NaN,0.0,0.3,0.6,7.2,22.0,6.0,0.0,40.0,0.5,NaN,NaN,0.0,0.1,NaN
2018-04-02,睭,程,13.5,NaN,0.16,NaN,0.0,2.2,2.7,4.3,11.0,5.0,0.0,42.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-04-09,睭,程,16.7,NaN,0.12,NaN,0.0,1.2,3.1,2.0,5.0,2.0,0.0,43.0,0.5,NaN,NaN,0.0,0.1,NaN
2018-04-16,睭,程,13.4,NaN,0.14,NaN,0.0,0.7,0.8,2.6,25.0,4.0,0.0,51.0,0.0,NaN,NaN,0.0,0.1,NaN
2018-04-23,睭,程,17.0,NaN,0.1,NaN,0.3,1.6,2.1,2.1,5.0,4.0,0.0,48.0,0.0,NaN,NaN,0.0,0.0,NaN
2018-04-30,睭,程,20.0,NaN,0.11,NaN,0.0,1.7,2.4,2.2,19.0,7.0,0.0,51.0,1.3,NaN,NaN,0.0,0.0,NaN
2018-05-07,睭,程,19.0,NaN,0.11,NaN,0.0,1.1,1.5,1.9,11.0,2.0,0.0,47.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-05-14,睭,程,24.0,NaN,0.05,NaN,0.3,1.9,3.3,2.0,14.0,6.0,0.0,60.0,1.2,NaN,NaN,0.0,0.0,NaN
2018-05-21,睭,程,21.8,NaN,0.05,NaN,0.0,0.3,1.1,3.3,13.0,4.0,0.0,57.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-05-28,睭,程,22.1,NaN,0.05,NaN,0.0,0.7,1.5,4.2,5.0,2.0,0.0,58.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-06-04,睭,程,24.3,NaN,0.05,NaN,0.3,0.8,1.7,2.1,5.0,3.0,0.0,45.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-06-11,睭,程,21.0,NaN,0.1,NaN,0.3,1.2,1.8,4.7,5.0,1.0,0.0,29.0,1.0,NaN,NaN,0.0,0.0,NaN
2018-06-18,睭,程,25.3,NaN,0.05,NaN,0.0,1.4,1.9,1.8,5.0,2.0,0.0,58.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-06-25,睭,程,24.7,NaN,0.05,NaN,0.0,0.6,1.8,1.9,5.0,4.0,0.0,54.0,1.0,NaN,NaN,0.0,0.0,NaN
2018-07-02,睭,程,23.4,NaN,0.05,NaN,0.0,1.0,1.5,2.1,5.0,3.0,0.0,16.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-07-09,睭,程,23.0,NaN,0.05,NaN,0.0,0.7,0.8,2.3,5.0,2.0,0.0,15.0,1.0,NaN,NaN,0.0,0.2,NaN
2018-07-16,睭,程,23.1,NaN,0.05,NaN,0.3,0.3,1.3,2.1,5.0,1.0,0.0,56.0,1.1,NaN,NaN,0.0,0.1,NaN
2018-07-23,睭,程,23.8,NaN,0.05,NaN,0.3,1.0,2.4,1.8,18.0,7.0,0.0,72.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-07-30,睭,程,25.2,NaN,0.05,NaN,0.3,1.7,2.5,1.9,19.0,8.0,0.0,54.0,1.2,NaN,NaN,0.0,0.0,NaN
2018-08-06,睭,程,25.4,NaN,0.05,NaN,0.0,0.3,0.7,2.6,5.0,5.0,0.0,39.0,1.2,NaN,NaN,0.0,0.0,NaN
2018-08-13,睭,程,25.4,NaN,0.1,NaN,0.3,2.0,2.8,2.5,5.0,4.0,0.0,61.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-08-20,睭,程,24.8,NaN,0.11,NaN,0.3,0.3,1.1,3.0,5.0,1.0,0.0,13.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-08-27,睭,程,24.3,NaN,0.05,NaN,0.3,1.9,3.3,2.0,13.0,3.0,0.0,1.0,1.0,NaN,NaN,0.0,0.0,NaN
2018-09-03,睭,程,22.1,NaN,0.05,NaN,0.0,0.6,0.6,1.9,11.0,3.0,0.0,67.0,1.0,NaN,NaN,0.0,0.0,NaN
2018-09-10,睭,程,22.0,NaN,0.05,NaN,0.0,0.3,0.6,3.4,5.0,1.0,0.0,52.0,0.5,NaN,NaN,0.0,0.1,NaN
2018-09-17,睭,程,24.6,NaN,0.05,NaN,0.0,0.3,0.6,2.9,10.0,2.0,0.0,51.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-09-24,睭,程,19.6,NaN,0.1,NaN,0.0,0.3,0.8,2.7,17.0,3.0,0.0,52.0,0.5,NaN,NaN,10.0,0.4,NaN
2018-10-01,睭,程,18.9,NaN,0.14,NaN,0.0,1.5,1.6,7.4,23.0,6.0,0.0,35.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-10-08,睭,程,17.8,NaN,0.14,NaN,0.0,0.3,0.9,12.7,5.0,4.0,0.0,72.0,0.0,NaN,NaN,0.0,0.1,NaN
2018-10-15,睭,程,17.3,NaN,0.14,NaN,0.0,0.6,1.3,6.5,5.0,4.0,0.0,58.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-10-22,睭,程,15.4,NaN,0.13,NaN,0.3,0.6,1.9,3.2,22.0,7.0,0.0,46.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-10-29,睭,程,15.4,NaN,0.05,NaN,0.3,0.3,1.1,2.0,10.0,2.0,0.0,41.0,0.0,NaN,NaN,0.0,0.0,NaN
2018-11-05,睭,程,NaN,NaN,0.12,NaN,0.0,1.2,1.1,1.2,5.0,3.0,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN
2018-11-12,睭,程,NaN,NaN,0.15,NaN,0.3,0.3,0.6,2.3,5.0,3.0,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN
2018-11-19,睭,程,16.6,NaN,0.11,NaN,0.0,0.3,0.3,3.8,5.0,2.0,0.0,47.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-11-26,睭,程,17.3,NaN,0.12,NaN,0.0,0.8,0.7,4.4,5.0,5.0,0.0,48.0,0.0,NaN,NaN,0.0,0.0,NaN
2018-12-03,睭,程,15.7,NaN,0.11,NaN,0.3,0.3,1.0,2.1,0.0,1.0,0.0,59.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-12-10,睭,程,13.9,NaN,0.14,NaN,0.0,0.3,0.3,3.8,5.0,1.0,0.0,66.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-12-17,睭,程,10.4,NaN,0.13,NaN,0.0,1.1,1.7,2.1,5.0,3.0,0.0,43.0,0.5,NaN,NaN,0.0,0.0,NaN
2018-12-24,睭,程,11.1,NaN,0.17,NaN,0.0,0.0,0.3,5.8,5.0,1.0,0.0,74.0,0.5,NaN,NaN,0.0,0.0,NaN
