ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2018-01-01,窾地,程,16.2,NaN,0.17,NaN,0.0,5.6,5.7,0.0,0.0,1.0,0.0,51.3,0.5,NaN,1.0,25.0,0.7,0.3
2018-01-08,窾地,程,9.9,NaN,0.23,NaN,0.0,6.1,6.6,0.5,5.0,1.0,0.0,33.0,0.0,NaN,5.0,18.0,0.4,0.1
2018-01-15,窾地,程,15.3,NaN,0.21,NaN,0.0,6.5,6.8,0.0,5.0,1.0,0.0,39.0,0.0,NaN,78.0,70.0,0.4,0.1
2018-01-22,窾地,程,14.5,NaN,0.18,NaN,0.0,5.0,6.3,0.5,5.0,1.0,0.0,58.0,0.5,NaN,82.0,44.0,0.5,0.3
2018-01-29,窾地,程,9.5,NaN,0.2,NaN,0.0,4.9,6.2,3.2,0.0,1.0,0.0,69.0,0.5,NaN,19.0,3.0,0.4,0.0
2018-02-05,窾地,程,8.5,NaN,0.22,NaN,0.3,4.7,5.4,0.0,5.0,1.0,0.0,50.0,0.0,NaN,7.0,8.0,0.4,0.1
2018-02-12,窾地,程,13.2,NaN,0.27,NaN,0.3,4.6,5.3,0.5,5.0,6.0,0.0,29.0,0.5,NaN,9.0,4.0,0.4,0.1
2018-02-19,窾地,程,14.9,NaN,0.3,NaN,0.0,6.5,6.7,0.5,5.0,1.0,0.0,39.0,0.0,NaN,1.0,3.0,0.4,0.1
2018-02-26,窾地,程,16.0,NaN,0.23,NaN,0.0,5.3,5.5,0.5,5.0,1.0,0.0,50.0,0.0,NaN,3.0,2.0,0.4,0.1
2018-03-05,窾地,程,12.7,NaN,0.19,NaN,0.0,6.6,7.6,0.5,5.0,1.0,0.0,30.0,0.0,NaN,13.0,17.0,0.5,0.1
2018-03-12,窾地,程,16.4,NaN,0.21,NaN,0.3,5.6,5.8,0.0,5.0,1.0,0.0,28.0,0.0,NaN,4.0,1.0,0.4,0.1
2018-03-19,窾地,程,12.8,NaN,0.26,NaN,0.6,6.2,7.2,0.5,10.0,1.0,0.0,19.0,0.5,NaN,19.0,9.0,0.4,0.1
2018-03-26,窾地,程,20.0,NaN,0.17,NaN,0.0,5.8,6.7,6.0,5.0,1.0,0.0,33.0,0.5,NaN,78.0,13.0,0.6,0.4
2018-04-02,窾地,程,14.7,NaN,0.21,NaN,0.3,5.2,6.3,6.3,5.0,1.0,0.0,37.0,0.0,NaN,4.0,0.0,0.4,0.2
2018-04-09,窾地,程,17.2,NaN,0.22,NaN,0.3,3.9,4.7,0.5,5.0,1.0,0.0,33.0,0.0,NaN,2.0,8.0,0.5,0.1
2018-04-16,窾地,程,16.6,NaN,0.16,NaN,0.0,0.0,0.3,3.8,21.0,2.0,0.0,42.0,0.5,NaN,27.0,1.0,0.4,0.2
2018-04-23,窾地,程,20.0,NaN,0.21,NaN,0.0,5.3,6.1,3.8,5.0,2.0,0.0,45.0,0.5,NaN,2.0,8.0,0.4,0.2
2018-04-30,窾地,程,21.5,NaN,0.21,NaN,0.3,4.1,5.2,1.6,5.0,2.0,0.0,46.0,0.5,NaN,1.0,8.0,0.6,0.2
2018-05-07,窾地,程,21.8,NaN,0.17,NaN,0.0,3.7,3.9,0.5,5.0,1.0,0.0,46.0,0.5,NaN,3.0,4.0,0.5,0.3
2018-05-14,窾地,程,26.2,NaN,0.24,NaN,0.3,1.6,1.9,1.2,16.0,4.0,0.0,44.0,0.5,NaN,0.0,2.0,0.4,0.1
2018-05-21,窾地,程,24.0,NaN,0.19,NaN,0.0,7.3,8.1,0.0,5.0,3.0,0.0,39.0,0.0,NaN,1.0,6.0,0.5,0.1
2018-05-28,窾地,程,22.7,NaN,0.21,NaN,0.0,3.9,4.9,2.1,0.0,1.0,0.0,45.0,0.5,NaN,21.0,6.0,0.6,0.2
2018-06-04,窾地,程,26.0,NaN,0.13,NaN,0.3,5.5,7.4,2.2,5.0,1.0,0.0,45.0,0.5,NaN,10.0,10.0,0.8,0.1
2018-06-11,窾地,程,23.7,NaN,0.16,NaN,0.3,4.5,6.0,1.1,5.0,1.0,0.0,32.0,0.0,NaN,32.0,2.0,0.7,0.1
2018-06-18,窾地,程,27.0,NaN,0.17,NaN,1.0,5.4,7.1,0.5,5.0,1.0,0.0,52.0,0.0,NaN,16.0,1.0,0.5,0.1
2018-06-25,窾地,程,27.2,NaN,0.19,NaN,0.6,5.3,7.4,0.5,11.0,1.0,0.0,42.0,0.5,NaN,1.0,6.0,0.5,0.2
2018-07-02,窾地,程,26.8,NaN,0.17,NaN,0.3,5.4,7.0,0.5,5.0,1.0,0.0,40.0,0.0,NaN,1.0,16.0,0.5,0.1
2018-07-09,窾地,程,27.0,NaN,0.05,NaN,0.0,1.2,1.8,0.0,5.0,1.0,0.0,39.0,0.0,NaN,31.0,14.0,0.4,0.2
2018-07-16,窾地,程,27.2,NaN,0.05,NaN,0.0,1.3,4.6,0.0,5.0,1.0,0.0,45.0,0.5,NaN,55.0,63.0,0.6,0.2
2018-07-23,窾地,程,27.4,NaN,0.19,NaN,0.0,5.8,7.9,0.5,19.0,1.0,0.0,46.0,0.5,NaN,4.0,5.0,0.6,0.2
2018-07-30,窾地,程,27.2,NaN,0.2,NaN,0.0,6.2,7.9,1.2,15.0,1.0,0.0,41.0,0.5,NaN,2.0,15.0,0.6,0.1
2018-08-06,窾地,程,27.7,NaN,0.12,NaN,0.0,5.4,6.4,1.7,10.0,1.0,0.0,47.0,0.5,NaN,3.0,6.0,0.5,0.2
2018-08-13,窾地,程,27.3,NaN,0.22,NaN,1.0,7.4,9.5,0.5,13.0,1.0,0.0,45.0,0.0,NaN,1.0,12.0,0.5,0.2
2018-08-20,窾地,程,27.0,NaN,0.16,NaN,0.0,5.6,6.1,0.0,5.0,1.0,0.0,53.0,0.0,NaN,3.0,9.0,0.5,0.1
2018-08-27,窾地,程,25.5,NaN,0.18,NaN,0.3,5.6,7.7,0.5,5.0,1.0,0.0,51.0,0.0,NaN,9.0,3.0,0.4,0.2
2018-09-03,窾地,程,24.6,NaN,0.18,NaN,0.3,3.7,6.7,0.0,5.0,1.0,0.0,40.0,0.0,NaN,1.0,2.0,0.5,0.2
