ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2018-01-01,竡,程,22.3,NaN,0.84,NaN,12.5,24.3,27.7,82.3,193.0,102.3,3.8,98.7,7.3,NaN,360.0,358.0,8.2,6.9
2018-01-08,竡,程,19.9,NaN,0.6,NaN,13.4,25.2,34.5,61.3,49.0,35.0,10.4,99.0,3.7,NaN,353.0,351.0,8.8,8.3
2018-01-15,竡,程,23.0,NaN,0.49,NaN,13.9,28.1,32.9,64.0,96.0,66.0,0.4,99.0,4.5,NaN,313.0,269.0,6.3,5.3
2018-01-22,竡,程,20.7,NaN,0.51,NaN,11.0,23.1,34.1,66.3,69.0,43.0,1.4,99.0,4.2,NaN,349.0,343.0,8.7,7.8
2018-01-29,竡,程,15.0,NaN,0.73,NaN,24.9,22.6,39.4,50.2,65.0,54.0,2.2,99.0,2.9,NaN,357.0,343.0,9.4,8.8
2018-02-05,竡,程,17.3,NaN,0.55,NaN,20.1,23.6,42.6,49.6,58.0,30.0,1.0,99.0,3.2,NaN,359.0,307.0,8.7,8.3
2018-02-12,竡,程,27.2,NaN,0.68,NaN,7.7,27.6,27.9,77.2,107.0,73.0,0.0,99.0,4.9,NaN,359.0,360.0,7.6,6.6
2018-02-19,竡,程,27.9,NaN,0.68,NaN,14.2,27.7,31.9,59.6,84.0,55.0,4.8,99.0,3.6,NaN,355.0,359.0,7.6,7.3
2018-02-26,竡,程,27.7,NaN,0.65,NaN,13.6,30.3,39.2,75.9,117.0,74.0,0.0,99.0,8.8,NaN,335.0,353.0,7.1,6.7
2018-03-05,竡,程,27.0,NaN,0.42,NaN,8.0,21.7,27.2,73.5,77.0,46.0,2.2,99.0,10.5,NaN,359.0,360.0,10.2,9.4
2018-03-12,竡,程,23.5,NaN,0.45,NaN,8.0,25.0,33.0,79.0,92.0,71.0,6.4,98.0,3.6,NaN,357.0,357.0,6.2,6.1
2018-03-19,竡,程,25.0,NaN,0.45,NaN,9.7,21.1,30.8,107.0,88.0,69.0,7.8,99.0,6.4,NaN,360.0,357.0,7.7,7.1
2018-03-26,竡,程,25.1,NaN,0.64,NaN,4.1,22.0,26.1,81.9,84.0,51.0,1.2,98.0,10.3,NaN,360.0,360.0,6.9,6.1
2018-04-02,竡,程,24.7,NaN,0.46,NaN,5.1,16.3,19.4,74.6,110.0,56.0,0.0,96.0,7.0,NaN,360.0,360.0,11.0,9.7
2018-04-09,竡,程,28.4,NaN,0.51,NaN,14.2,22.6,25.5,83.5,76.0,44.0,8.2,98.0,8.5,NaN,357.0,360.0,7.9,7.0
2018-04-16,竡,程,28.7,NaN,0.55,NaN,8.2,19.6,23.1,98.6,86.0,72.0,7.6,99.0,7.1,NaN,357.0,360.0,5.0,4.9
2018-04-23,竡,程,28.4,NaN,0.57,NaN,6.1,21.2,21.5,102.7,85.0,67.0,1.0,98.0,8.5,NaN,356.0,354.0,4.9,4.7
2018-04-30,竡,程,29.5,NaN,0.48,NaN,8.3,25.6,28.4,77.0,72.0,50.0,0.2,95.0,8.5,NaN,359.0,354.0,6.7,6.6
2018-05-07,竡,程,28.6,NaN,0.48,NaN,3.4,19.5,20.9,85.3,73.0,45.0,29.4,97.0,6.6,NaN,353.0,358.0,5.8,5.6
2018-05-14,竡,程,30.7,NaN,0.43,NaN,9.2,18.8,24.4,83.2,60.0,42.0,0.0,93.0,9.1,NaN,354.0,359.0,5.9,5.4
2018-05-21,竡,程,32.3,NaN,0.4,NaN,6.7,16.8,20.9,81.5,52.0,36.0,0.0,96.0,6.9,NaN,359.0,358.0,7.3,6.5
2018-05-28,竡,程,31.4,NaN,0.32,NaN,8.7,21.3,26.1,86.5,53.0,35.0,0.2,96.0,8.2,NaN,343.0,351.0,6.6,5.5
2018-06-04,竡,程,30.6,NaN,0.36,NaN,8.1,19.9,27.7,89.6,53.0,35.0,1.0,95.0,7.0,NaN,359.0,358.0,5.9,5.4
2018-06-11,竡,程,30.0,NaN,0.4,NaN,2.9,19.3,21.0,113.3,63.0,44.0,32.4,96.0,5.4,NaN,353.0,359.0,11.1,9.9
2018-06-18,竡,程,29.5,NaN,0.46,NaN,8.5,16.8,20.6,48.4,43.0,17.0,20.0,95.0,9.1,NaN,237.0,262.0,6.8,6.6
2018-06-25,竡,程,30.7,NaN,0.46,NaN,9.2,18.0,27.2,64.9,40.0,26.0,3.8,92.0,8.3,NaN,354.0,357.0,4.9,4.7
2018-07-02,竡,程,30.5,NaN,0.28,NaN,2.8,10.2,11.0,51.6,33.0,16.0,11.6,94.0,7.3,NaN,351.0,360.0,7.1,6.3
2018-07-09,竡,程,30.2,NaN,0.44,NaN,13.5,17.3,26.3,73.7,61.0,45.0,20.2,96.0,5.3,NaN,354.0,359.0,7.9,7.5
2018-07-16,竡,程,31.4,NaN,0.58,NaN,5.2,18.7,19.6,109.2,83.0,63.0,11.6,93.0,7.8,NaN,359.0,359.0,6.6,6.0
2018-07-23,竡,程,31.5,NaN,0.37,NaN,12.4,12.8,22.4,63.5,48.0,30.0,2.4,91.0,6.6,NaN,359.0,360.0,4.9,5.2
2018-07-30,竡,程,32.2,NaN,0.4,NaN,5.2,18.0,21.9,66.2,52.0,28.0,5.4,93.0,10.0,NaN,359.0,357.0,6.0,5.5
2018-08-06,竡,程,30.1,NaN,0.65,NaN,4.7,14.0,15.1,65.4,52.0,45.0,13.8,94.0,6.5,NaN,359.0,359.0,4.1,3.7
2018-08-13,竡,程,30.4,NaN,0.44,NaN,3.4,14.3,15.6,63.8,48.0,43.0,58.6,95.0,5.7,NaN,358.0,358.0,5.8,6.0
2018-08-20,竡,程,29.7,NaN,0.37,NaN,8.1,18.9,27.0,78.0,40.0,27.0,30.6,96.0,8.3,NaN,360.0,360.0,6.5,6.1
2018-08-27,竡,程,29.2,NaN,0.48,NaN,19.3,16.1,27.6,49.5,59.0,40.0,3.0,95.0,9.0,NaN,359.0,353.0,7.1,5.9
2018-09-03,竡,程,32.1,NaN,0.41,NaN,7.1,19.1,24.6,65.1,51.0,30.0,19.8,95.0,7.2,NaN,360.0,352.0,8.0,7.2
2018-09-10,竡,程,30.6,NaN,0.41,NaN,8.8,14.8,21.5,77.3,63.0,48.0,0.4,95.0,5.7,NaN,359.0,360.0,6.6,5.9
2018-09-17,竡,程,31.4,NaN,0.44,NaN,6.8,19.3,22.5,74.3,70.0,65.0,0.0,95.0,5.6,NaN,359.0,357.0,6.0,5.7
2018-09-24,竡,程,28.6,NaN,0.31,NaN,2.0,11.2,11.7,84.7,54.0,35.0,0.6,96.0,3.3,NaN,27.0,32.0,10.1,8.8
2018-10-01,竡,程,28.4,NaN,0.53,NaN,5.4,21.0,21.7,91.5,70.0,50.0,0.2,97.0,5.4,NaN,358.0,250.0,9.9,8.8
2018-10-08,竡,程,27.3,NaN,0.47,NaN,4.3,19.6,21.4,87.1,65.0,41.0,3.6,99.0,9.3,NaN,341.0,359.0,8.2,7.5
2018-10-15,竡,程,26.6,NaN,0.51,NaN,5.3,24.2,27.3,73.8,48.0,32.0,0.2,97.0,5.7,NaN,337.0,339.0,6.5,6.2
2018-10-22,竡,程,27.3,NaN,0.53,NaN,3.1,15.8,17.4,95.7,93.0,64.0,0.0,97.0,6.6,NaN,359.0,357.0,9.1,8.4
2018-10-29,竡,程,25.5,NaN,0.42,NaN,27.0,14.8,39.2,77.4,47.0,27.0,2.4,99.0,3.6,NaN,319.0,308.0,8.4,7.1
2018-11-05,竡,程,28.0,NaN,0.65,NaN,4.9,26.6,28.8,99.1,108.0,68.0,0.0,97.0,5.9,NaN,359.0,357.0,6.1,4.5
2018-11-12,竡,程,27.6,NaN,0.62,NaN,16.0,31.0,37.7,82.0,74.0,55.0,0.2,98.0,7.3,NaN,351.0,357.0,10.7,9.5
2018-11-19,竡,程,25.5,NaN,1.05,NaN,13.3,34.4,35.5,70.3,155.0,84.0,0.6,99.0,17.7,NaN,359.0,359.0,8.3,8.6
2018-11-26,竡,程,25.7,NaN,0.59,NaN,4.1,24.7,27.5,86.5,112.0,78.0,2.4,98.0,5.9,NaN,354.0,359.0,10.0,10.9
2018-12-03,竡,程,26.7,NaN,0.45,NaN,12.2,25.5,32.0,66.3,84.0,36.0,0.2,98.0,3.8,NaN,358.0,358.0,6.3,7.5
2018-12-10,竡,程,23.6,NaN,0.52,NaN,5.2,20.5,21.9,68.0,58.0,34.0,0.2,98.0,4.9,NaN,356.0,351.0,8.5,8.2
2018-12-17,竡,程,25.9,NaN,0.62,NaN,6.3,27.5,28.2,85.1,170.0,85.0,4.0,98.0,6.4,NaN,350.0,316.0,8.0,7.4
2018-12-24,竡,程,22.3,NaN,0.38,NaN,5.9,15.3,17.9,46.1,28.0,24.0,0.2,99.0,5.5,NaN,29.0,35.0,9.5,8.5
