ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2018-01-01,闽,程,15.1,NaN,NaN,NaN,0.3,2.0,3.0,4.4,5.0,2.7,0.0,50.9,0.5,NaN,3.0,1.0,0.4,0.2
2018-01-08,闽,程,7.9,NaN,NaN,NaN,0.0,0.9,0.8,5.0,5.0,3.0,0.0,42.0,0.0,NaN,2.0,0.0,0.4,0.2
2018-01-15,闽,程,8.9,NaN,NaN,NaN,0.0,0.8,1.0,3.4,5.0,5.0,0.0,37.0,0.0,NaN,1.0,1.0,0.4,0.0
2018-01-22,闽,程,15.6,NaN,NaN,NaN,0.0,0.7,1.1,6.6,5.0,3.0,0.0,60.0,0.5,NaN,3.0,1.0,0.4,0.1
2018-01-29,闽,程,11.7,NaN,NaN,NaN,0.0,1.5,1.5,8.2,5.0,3.0,0.0,54.0,0.5,NaN,2.0,3.0,0.5,0.4
2018-02-05,闽,程,10.2,NaN,NaN,NaN,0.0,1.4,2.0,6.4,5.0,3.0,0.0,54.0,0.5,NaN,4.0,0.0,0.4,0.3
2018-02-12,闽,程,12.1,NaN,NaN,NaN,0.0,1.4,1.6,6.1,11.0,5.0,0.0,46.0,1.1,NaN,1.0,1.0,0.4,0.1
2018-02-19,闽,程,16.4,NaN,NaN,NaN,0.0,1.3,1.4,4.6,10.0,3.0,0.0,50.0,0.5,NaN,1.0,2.0,0.4,0.2
2018-02-26,闽,程,16.4,NaN,NaN,NaN,0.0,0.7,1.9,4.3,5.0,3.0,0.0,49.0,0.5,NaN,0.0,0.0,0.4,0.2
2018-03-05,闽,程,10.8,NaN,NaN,NaN,0.0,1.1,1.2,4.6,0.0,3.0,0.0,44.0,1.2,NaN,3.0,7.0,0.5,0.2
2018-03-12,闽,程,14.6,NaN,NaN,NaN,0.0,1.1,1.0,7.3,5.0,3.0,0.0,42.0,1.0,NaN,4.0,1.0,0.4,0.1
2018-03-19,闽,程,13.5,NaN,NaN,NaN,0.0,0.5,1.7,7.3,5.0,3.0,0.0,45.0,0.5,NaN,1.0,0.0,0.4,0.1
2018-03-26,闽,程,16.1,NaN,NaN,NaN,0.0,0.8,1.4,8.8,14.0,5.0,0.0,44.0,1.0,NaN,1.0,0.0,0.4,0.1
2018-04-02,闽,程,15.1,NaN,NaN,NaN,0.0,1.0,1.8,5.1,0.0,3.0,0.0,49.0,0.5,NaN,2.0,4.0,0.4,0.2
2018-04-09,闽,程,13.6,NaN,NaN,NaN,0.0,0.0,1.5,3.9,0.0,3.0,0.0,42.0,1.3,NaN,7.0,1.0,0.4,0.0
2018-04-16,闽,程,17.8,NaN,NaN,NaN,0.3,0.7,1.7,4.3,11.0,3.0,0.0,45.0,0.5,NaN,3.0,0.0,0.4,0.1
2018-04-23,闽,程,18.6,NaN,NaN,NaN,0.3,0.3,0.7,2.4,5.0,3.0,0.0,50.0,0.5,NaN,1.0,3.0,0.4,0.1
2018-04-30,闽,程,20.6,NaN,NaN,NaN,0.3,0.8,1.3,2.3,10.0,3.0,0.0,54.0,0.5,NaN,0.0,1.0,0.4,0.1
2018-05-07,闽,程,20.1,NaN,NaN,NaN,0.3,1.1,2.5,1.9,10.0,3.0,0.0,49.0,0.5,NaN,2.0,1.0,0.4,0.1
2018-05-14,闽,程,22.6,NaN,NaN,NaN,0.0,0.6,1.9,2.1,5.0,3.0,0.0,51.0,0.5,NaN,9.0,79.0,0.4,0.0
2018-05-21,闽,程,22.5,NaN,NaN,NaN,0.3,1.5,2.5,3.4,10.0,3.0,0.0,36.0,0.5,NaN,1.0,2.0,0.4,0.1
2018-05-28,闽,程,23.2,NaN,NaN,NaN,0.0,0.3,0.3,5.9,5.0,3.0,0.0,44.0,1.1,NaN,1.0,0.0,0.4,0.1
2018-06-04,闽,程,23.7,NaN,NaN,NaN,0.3,0.0,0.8,3.6,5.0,NaN,0.0,43.0,0.5,NaN,0.0,0.0,0.4,0.1
2018-06-11,闽,程,22.1,NaN,NaN,NaN,0.0,0.0,1.3,9.6,0.0,3.0,0.0,44.0,1.0,NaN,0.0,1.0,0.4,0.0
2018-06-18,闽,程,23.3,NaN,NaN,NaN,0.3,0.7,1.5,3.0,5.0,3.0,0.0,53.0,0.5,NaN,2.0,5.0,0.4,0.0
2018-06-25,闽,程,23.8,NaN,NaN,NaN,0.5,0.0,1.2,2.8,5.0,5.0,0.0,45.0,1.0,NaN,1.0,0.0,0.4,0.0
2018-07-02,闽,程,23.0,NaN,NaN,NaN,0.5,0.6,1.9,3.4,5.0,3.0,0.0,44.0,0.5,NaN,1.0,3.0,0.4,0.0
2018-07-09,闽,程,23.3,NaN,NaN,NaN,0.5,0.3,1.1,2.7,0.0,3.0,0.0,40.0,0.5,NaN,1.0,1.0,0.4,0.0
2018-07-16,闽,程,23.4,NaN,NaN,NaN,1.0,0.0,1.2,2.6,0.0,3.0,0.0,50.0,0.5,NaN,0.0,0.0,0.4,0.1
2018-07-23,闽,程,24.2,NaN,NaN,NaN,0.8,0.8,1.7,2.8,11.0,3.0,0.0,42.0,0.5,NaN,39.0,11.0,0.4,0.1
2018-07-30,闽,程,24.6,NaN,NaN,NaN,0.3,0.3,1.9,5.8,15.0,7.0,0.0,38.0,1.0,NaN,4.0,3.0,0.4,0.0
2018-08-06,闽,程,23.7,NaN,NaN,NaN,0.0,0.3,0.8,4.3,12.0,6.0,0.0,40.0,0.5,NaN,12.0,3.0,0.4,0.0
