ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2018-01-01,皑,程,15.9,NaN,0.63,NaN,11.3,22.8,33.1,69.7,157.0,82.0,3.6,95.7,6.8,NaN,359.0,359.0,5.2,4.9
2018-01-08,皑,程,14.5,NaN,0.67,NaN,7.1,27.6,33.3,56.5,90.0,44.0,5.0,96.0,6.8,NaN,358.0,360.0,5.4,5.0
2018-01-15,皑,程,16.6,NaN,1.36,NaN,17.1,38.2,45.0,61.6,160.0,88.0,0.0,96.0,5.8,NaN,356.0,360.0,4.4,3.9
2018-01-22,皑,程,15.5,NaN,0.73,NaN,5.5,19.9,20.6,64.3,128.0,68.0,4.6,96.0,4.0,NaN,358.0,360.0,5.3,4.2
2018-01-29,皑,程,8.5,NaN,0.66,NaN,2.5,10.4,11.1,62.8,156.0,89.0,2.4,94.0,5.8,NaN,356.0,357.0,4.6,3.7
2018-02-05,皑,程,11.0,NaN,0.66,NaN,2.8,14.4,14.8,72.3,227.0,82.0,0.0,91.0,5.2,NaN,360.0,354.0,4.9,4.6
2018-02-12,皑,程,16.6,NaN,1.72,NaN,9.9,19.2,19.5,71.9,197.0,45.0,0.0,94.0,7.8,NaN,356.0,360.0,5.1,4.3
2018-02-19,皑,程,14.9,NaN,0.72,NaN,2.2,24.9,25.4,62.7,98.0,37.0,1.8,96.0,6.0,NaN,359.0,354.0,4.2,3.7
2018-02-26,皑,程,18.8,NaN,0.55,NaN,2.9,23.5,25.4,72.5,116.0,65.0,4.4,96.0,5.9,NaN,357.0,360.0,5.9,5.5
2018-03-05,皑,程,22.4,NaN,0.59,NaN,7.4,18.3,21.3,74.6,267.0,158.0,2.0,96.0,21.0,NaN,359.0,355.0,5.0,4.4
2018-03-12,皑,程,19.0,NaN,1.04,NaN,7.9,28.7,30.0,65.1,75.0,43.0,3.8,96.0,6.4,NaN,359.0,354.0,4.4,3.9
2018-03-19,皑,程,20.0,NaN,1.4,NaN,15.9,27.7,36.6,83.6,98.0,47.0,17.6,96.0,9.0,NaN,360.0,358.0,4.6,4.0
2018-03-26,皑,程,21.3,NaN,0.49,NaN,2.6,17.7,17.6,78.4,82.0,47.0,0.6,96.0,5.8,NaN,359.0,357.0,4.4,4.3
2018-04-02,皑,程,24.2,NaN,0.68,NaN,6.3,13.5,19.6,79.4,273.0,45.0,3.4,96.0,4.2,NaN,359.0,360.0,4.0,3.6
2018-04-09,皑,程,24.0,NaN,0.61,NaN,9.1,34.7,43.8,95.8,258.0,59.0,17.6,96.0,6.0,NaN,357.0,358.0,6.9,6.2
2018-04-16,皑,程,22.8,NaN,0.69,NaN,17.8,21.8,37.4,82.8,214.0,46.0,0.2,96.0,5.9,NaN,357.0,357.0,4.4,4.1
2018-04-23,皑,程,24.4,NaN,1.22,NaN,13.7,30.1,35.7,112.8,108.0,65.0,0.2,96.0,11.8,NaN,360.0,353.0,7.6,7.0
2018-04-30,皑,程,26.4,NaN,0.99,NaN,8.3,15.6,20.8,91.3,134.0,69.0,6.6,94.0,8.9,NaN,360.0,355.0,7.7,7.4
2018-05-07,皑,程,26.4,NaN,0.72,NaN,3.6,18.0,18.7,83.0,114.0,52.0,1.0,95.0,8.1,NaN,354.0,355.0,7.7,6.3
2018-05-14,皑,程,27.8,NaN,0.35,NaN,6.8,14.0,15.8,70.7,74.0,40.0,6.4,96.0,4.3,NaN,351.0,354.0,7.8,7.6
2018-05-21,皑,程,28.2,NaN,0.47,NaN,2.3,19.5,19.9,99.6,107.0,42.0,1.2,96.0,4.2,NaN,351.0,358.0,7.5,7.0
2018-05-28,皑,程,28.3,NaN,0.47,NaN,4.8,13.6,18.4,94.0,71.0,40.0,9.4,94.0,3.8,NaN,360.0,359.0,5.6,5.2
2018-06-04,皑,程,28.1,NaN,0.53,NaN,2.4,6.5,7.2,83.4,55.0,29.0,3.6,94.0,4.3,NaN,354.0,357.0,3.8,3.4
2018-06-11,皑,程,28.0,NaN,0.39,NaN,3.0,11.4,13.2,97.3,69.0,35.0,1.6,94.0,4.8,NaN,360.0,358.0,4.2,3.8
2018-06-18,皑,程,28.3,NaN,0.41,NaN,5.4,14.3,14.9,69.5,58.0,26.0,14.4,96.0,4.8,NaN,349.0,356.0,10.1,9.3
2018-06-25,皑,程,30.0,NaN,0.3,NaN,12.3,10.3,22.0,69.6,52.0,28.0,1.4,96.0,4.9,NaN,330.0,332.0,7.3,7.0
2018-07-02,皑,程,29.3,NaN,0.47,NaN,6.6,22.4,23.8,107.7,82.0,39.0,0.6,96.0,4.8,NaN,340.0,353.0,7.0,7.4
2018-07-09,皑,程,31.5,NaN,0.2,NaN,4.2,7.4,8.9,53.3,186.0,24.0,18.6,96.0,5.4,NaN,349.0,356.0,19.9,19.1
2018-07-16,皑,程,31.0,NaN,0.65,NaN,9.8,22.7,28.7,90.7,61.0,28.0,0.2,95.0,5.2,NaN,358.0,354.0,5.5,5.6
2018-07-23,皑,程,31.0,NaN,0.43,NaN,9.4,18.3,20.7,72.6,61.0,33.0,0.6,96.0,5.2,NaN,349.0,344.0,7.1,6.8
