ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2018-01-01,籓﹁,程,20.7,3.74,0.72,0.15,17.5,26.3,43.8,66.3,102.0,58.1,9.4,89.6,10.6,3.78,263.0,334.0,11.3,11.0
2018-01-08,籓﹁,程,26.1,2.95,0.73,0.2,14.8,28.0,29.9,58.2,96.0,48.0,11.0,90.0,9.2,3.0,351.0,355.0,13.5,12.5
2018-01-15,籓﹁,程,21.8,2.59,0.62,0.22,16.5,29.6,33.9,72.1,80.0,57.0,0.6,90.0,6.8,2.7,359.0,359.0,9.8,9.4
2018-01-22,籓﹁,程,21.3,2.04,0.54,0.09,5.8,19.3,21.2,74.8,85.0,55.0,9.0,90.0,6.3,2.08,345.0,359.0,15.5,14.0
2018-01-29,籓﹁,程,18.2,2.04,0.83,0.18,5.1,21.4,22.8,51.4,82.0,59.0,0.8,90.0,6.9,2.15,37.0,49.0,14.8,13.8
2018-02-05,籓﹁,程,19.3,2.27,0.67,0.2,10.1,25.1,33.8,61.3,104.0,72.0,1.2,90.0,7.4,2.44,359.0,359.0,14.6,13.3
2018-02-12,籓﹁,程,25.6,3.09,0.68,0.15,13.6,40.5,52.8,71.6,147.0,77.0,0.0,90.0,19.8,3.22,359.0,358.0,11.9,11.0
2018-02-19,籓﹁,程,26.9,2.98,0.74,0.17,3.6,23.2,25.1,69.7,122.0,71.0,5.4,90.0,15.3,3.0,357.0,358.0,12.6,11.5
2018-02-26,籓﹁,程,27.2,5.26,0.67,0.33,11.9,33.7,35.9,75.1,143.0,93.0,0.0,90.0,11.7,5.3,358.0,359.0,12.4,11.0
2018-03-05,籓﹁,程,26.5,2.22,0.76,0.11,7.1,31.4,33.6,70.9,232.0,62.0,1.4,90.0,12.4,2.31,360.0,360.0,13.1,12.2
2018-03-12,籓﹁,程,27.4,3.69,0.62,0.32,13.2,44.7,50.7,98.9,167.0,112.0,8.8,90.0,11.0,3.9,359.0,360.0,10.1,9.3
