ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2018-01-01,糳,程,27.2,2.58,1.29,0.86,35.1,45.5,71.7,84.8,134.0,84.0,3.2,93.5,22.6,3.06,354.0,360.0,2.9,2.7
2018-01-08,糳,程,28.2,3.15,0.86,0.44,68.9,41.9,96.2,76.6,93.0,82.0,0.6,91.0,9.7,3.34,358.0,360.0,5.6,4.6
2018-01-15,糳,程,27.9,2.99,1.28,0.6,37.2,60.5,79.6,100.0,158.0,95.0,0.0,91.0,20.6,3.47,359.0,359.0,3.3,2.9
2018-01-22,糳,程,29.0,2.32,1.37,0.48,30.6,54.5,66.9,91.0,139.0,63.0,0.4,88.0,14.9,2.72,359.0,357.0,3.7,3.2
2018-01-29,糳,程,26.0,2.41,1.01,0.48,34.1,45.5,67.5,72.6,104.0,74.0,1.0,91.0,22.3,2.76,356.0,359.0,5.1,4.2
2018-02-05,糳,程,27.7,2.37,0.92,0.52,32.3,51.7,70.4,68.1,146.0,93.0,0.8,91.0,10.8,2.74,358.0,357.0,4.2,3.4
2018-02-12,糳,程,31.2,3.17,0.95,0.39,26.0,42.2,66.2,73.0,137.0,72.0,0.0,91.0,19.8,3.4,359.0,359.0,4.1,4.0
2018-02-19,糳,程,31.5,3.41,1.09,0.42,21.8,52.1,63.5,87.9,146.0,86.0,0.2,88.0,34.9,3.73,360.0,359.0,5.1,3.7
2018-02-26,糳,程,32.8,3.87,1.19,0.88,18.3,38.7,49.6,88.5,154.0,87.0,0.0,90.0,27.9,3.95,359.0,359.0,5.4,4.2
2018-03-05,糳,程,33.5,3.48,1.05,0.69,28.2,44.8,63.6,97.5,175.0,93.0,4.2,90.0,36.8,3.66,356.0,357.0,4.9,4.1
2018-03-12,糳,程,30.1,3.34,1.25,0.6,18.2,41.6,50.4,106.8,116.0,68.0,14.8,92.0,27.3,3.68,359.0,357.0,3.9,3.7
2018-03-19,糳,程,30.8,3.37,0.84,0.58,13.4,38.2,45.1,94.0,125.0,53.0,15.4,89.0,23.0,3.51,359.0,360.0,4.5,4.3
2018-03-26,糳,程,29.3,3.43,1.0,0.68,12.1,35.0,37.7,102.2,146.0,87.0,4.2,87.0,21.0,3.96,356.0,356.0,4.2,3.3
2018-04-02,糳,程,30.3,3.83,0.82,0.27,13.7,27.9,31.7,93.8,144.0,59.0,1.2,87.0,17.1,3.96,360.0,356.0,4.9,3.9
2018-04-09,糳,程,32.8,3.15,0.9,0.55,11.7,40.0,43.2,86.3,146.0,91.0,0.0,88.0,17.9,3.53,351.0,358.0,4.3,3.9
2018-04-16,糳,程,32.6,3.6,1.08,0.44,9.8,38.1,43.5,115.6,117.0,60.0,1.6,88.0,29.3,3.83,352.0,355.0,3.9,3.8
2018-04-23,糳,程,32.4,3.26,0.9,0.37,7.8,29.0,31.7,102.3,565.0,60.0,12.0,92.0,11.1,3.36,350.0,357.0,6.0,5.0
2018-04-30,糳,程,33.4,3.39,0.77,0.66,9.4,28.0,32.1,79.3,106.0,45.0,0.0,88.0,12.4,3.44,355.0,357.0,5.6,5.1
2018-05-07,糳,程,33.2,3.42,0.62,0.39,9.8,32.4,37.3,65.4,99.0,40.0,12.0,93.0,14.8,3.48,336.0,355.0,6.1,3.3
2018-05-14,糳,程,34.4,5.53,0.85,0.6,10.9,21.0,31.7,63.4,77.0,42.0,0.0,89.0,19.8,5.61,349.0,355.0,5.5,4.9
2018-05-21,糳,程,34.7,3.18,0.85,0.47,12.0,39.8,51.8,81.3,84.0,40.0,0.0,86.0,23.4,3.23,359.0,359.0,5.2,4.7
2018-05-28,糳,程,35.4,3.15,0.85,0.28,9.6,22.2,29.1,82.6,74.0,42.0,14.6,85.0,21.2,3.21,360.0,356.0,4.3,3.3
2018-06-04,糳,程,35.7,2.82,0.69,0.44,11.7,28.7,34.2,86.2,90.0,38.0,3.4,88.0,11.6,3.06,358.0,359.0,4.9,3.7
2018-06-11,糳,程,33.8,2.83,0.68,0.3,8.0,23.8,27.1,95.7,84.0,35.0,37.2,94.0,12.5,2.94,343.0,354.0,8.6,7.3
2018-06-18,糳,程,34.9,2.87,0.61,0.53,13.2,21.7,29.0,31.4,55.0,26.0,30.8,94.0,7.4,3.06,356.0,360.0,6.2,6.0
2018-06-25,糳,程,35.6,3.19,0.54,0.51,13.6,27.9,33.1,54.0,103.0,31.0,42.0,90.0,18.1,3.36,359.0,360.0,4.4,3.9
2018-07-02,糳,程,34.8,3.65,0.9,1.01,18.4,31.6,42.6,44.7,62.0,27.0,55.0,94.0,29.6,3.9,352.0,355.0,5.0,3.9
2018-07-09,糳,程,34.7,3.13,0.53,0.46,14.4,27.9,31.9,67.9,72.0,33.0,8.8,93.0,44.3,3.49,357.0,359.0,5.3,4.3
