ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2018-01-01,奸,程,27.5,NaN,1.07,NaN,17.9,37.1,43.4,107.0,178.0,114.9,3.8,99.9,14.3,NaN,360.0,360.0,3.1,2.7
2018-01-08,奸,程,28.5,NaN,0.68,NaN,10.8,30.8,41.5,81.0,133.0,83.0,1.0,98.0,7.9,NaN,359.0,360.0,3.4,2.9
2018-01-15,奸,程,28.6,NaN,0.75,NaN,16.9,35.1,42.6,116.8,161.0,98.0,0.2,97.0,12.7,NaN,360.0,359.0,3.1,2.7
2018-01-22,奸,程,29.5,NaN,0.88,NaN,9.2,29.4,31.6,114.4,191.0,88.0,0.0,95.0,10.1,NaN,358.0,356.0,3.4,3.1
2018-01-29,奸,程,28.0,NaN,0.84,NaN,17.9,31.1,43.9,93.0,159.0,70.0,2.0,97.0,17.1,NaN,359.0,360.0,4.7,3.6
2018-02-05,奸,程,30.1,NaN,0.73,NaN,16.9,38.2,41.8,85.7,135.0,89.0,0.8,92.0,6.2,NaN,360.0,359.0,3.0,2.4
2018-02-12,奸,程,33.3,NaN,0.82,NaN,9.2,25.5,33.0,80.7,166.0,73.0,0.4,90.0,10.7,NaN,355.0,356.0,3.9,3.1
2018-02-19,奸,程,33.0,NaN,0.9,NaN,5.6,19.7,21.7,85.5,140.0,76.0,0.0,88.0,6.3,NaN,359.0,358.0,4.0,3.3
2018-02-26,奸,程,34.0,NaN,0.69,NaN,12.8,25.0,31.5,93.2,131.0,67.0,0.2,87.0,8.0,NaN,359.0,358.0,3.8,3.4
2018-03-05,奸,程,34.9,NaN,0.86,NaN,8.2,38.1,42.6,97.4,127.0,61.0,3.2,90.0,21.0,NaN,357.0,354.0,5.0,4.7
2018-03-12,奸,程,32.5,NaN,0.71,NaN,5.5,32.4,34.5,121.6,140.0,69.0,4.4,89.0,14.0,NaN,356.0,353.0,4.3,3.7
2018-03-19,奸,程,32.8,NaN,0.54,NaN,3.5,17.7,19.3,97.7,104.0,46.0,11.4,86.0,7.9,NaN,360.0,358.0,5.6,5.0
2018-03-26,奸,程,30.8,NaN,0.62,NaN,1.9,18.6,19.0,112.2,134.0,68.0,3.6,87.0,24.2,NaN,359.0,343.0,5.1,4.3
2018-04-02,奸,程,31.9,NaN,0.5,NaN,3.6,17.2,18.1,91.0,136.0,54.0,0.8,85.0,8.5,NaN,358.0,358.0,4.6,4.0
2018-04-09,奸,程,34.9,NaN,0.44,NaN,3.8,19.9,20.9,92.6,101.0,32.0,0.4,86.0,8.2,NaN,359.0,355.0,4.6,3.9
2018-04-16,奸,程,34.9,NaN,0.55,NaN,1.7,19.1,20.2,120.5,118.0,56.0,0.2,85.0,8.8,NaN,357.0,360.0,4.4,3.9
2018-04-23,奸,程,35.8,NaN,0.64,NaN,7.9,24.1,26.6,94.6,117.0,58.0,3.4,89.0,10.7,NaN,320.0,359.0,5.7,4.8
2018-04-30,奸,程,35.6,NaN,0.51,NaN,5.4,15.9,17.9,91.5,113.0,46.0,0.8,88.0,7.8,NaN,343.0,354.0,4.9,4.4
2018-05-07,奸,程,35.7,NaN,0.42,NaN,6.6,16.2,17.9,83.3,95.0,39.0,26.8,92.0,7.9,NaN,313.0,360.0,6.9,3.6
2018-05-14,奸,程,35.2,NaN,0.42,NaN,8.0,16.0,19.1,67.9,77.0,45.0,0.0,87.0,8.7,NaN,338.0,318.0,4.5,4.5
2018-05-21,奸,程,36.3,NaN,0.31,NaN,4.3,17.3,18.6,73.7,75.0,37.0,0.0,87.0,9.3,NaN,354.0,352.0,5.5,4.7
2018-05-28,奸,程,36.7,NaN,0.38,NaN,4.5,15.1,16.1,97.1,82.0,42.0,9.4,94.0,6.0,NaN,336.0,343.0,4.2,3.6
2018-06-04,奸,程,34.0,NaN,0.52,NaN,5.0,18.6,20.9,85.4,94.0,39.0,20.4,95.0,12.8,NaN,355.0,354.0,4.4,3.9
2018-06-11,奸,程,34.3,NaN,0.53,NaN,NaN,NaN,NaN,97.4,106.0,38.0,39.2,97.0,9.9,NaN,356.0,350.0,7.2,7.5
2018-06-18,奸,程,33.4,NaN,0.36,NaN,3.3,14.6,16.1,35.5,47.0,21.0,23.2,98.0,7.2,NaN,337.0,302.0,6.3,5.3
2018-06-25,奸,程,33.8,NaN,0.36,NaN,3.7,14.7,16.5,94.5,69.0,32.0,23.4,97.0,5.3,NaN,357.0,359.0,4.8,3.6
2018-07-02,奸,程,34.8,NaN,0.44,NaN,3.9,22.8,26.8,40.4,58.0,20.0,49.4,99.0,10.2,NaN,355.0,357.0,3.9,3.3
2018-07-09,奸,程,34.7,NaN,0.41,NaN,4.4,15.7,16.5,91.2,77.0,37.0,3.2,97.0,9.1,NaN,360.0,351.0,5.2,4.4
2018-07-16,奸,程,35.9,NaN,0.43,NaN,3.1,17.2,18.4,86.9,90.0,40.0,37.4,98.0,10.7,NaN,354.0,355.0,4.8,3.8
2018-07-23,奸,程,34.6,NaN,0.54,NaN,3.5,16.4,19.7,92.4,61.0,29.0,20.0,98.0,12.9,NaN,354.0,360.0,4.5,3.9
2018-07-30,奸,程,35.4,NaN,0.34,NaN,5.6,12.4,14.6,71.7,66.0,27.0,27.0,97.0,7.3,NaN,359.0,358.0,5.2,4.2
2018-08-06,奸,程,34.6,NaN,0.44,NaN,3.0,11.8,12.8,91.6,60.0,30.0,21.0,98.0,8.9,NaN,357.0,358.0,4.9,3.6
2018-08-13,奸,程,33.7,NaN,0.54,NaN,2.0,14.2,15.6,53.7,44.0,21.0,40.0,98.0,5.9,NaN,354.0,359.0,5.6,3.8
