ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2018-01-01,玡马,程,16.3,1.88,0.31,0.05,0.9,10.2,12.4,1.4,18.0,8.0,0.0,49.2,1.1,1.93,0.0,0.0,0.5,0.3
2018-01-08,玡马,程,10.5,1.81,0.17,0.04,0.3,7.8,9.1,1.9,19.0,1.0,0.0,40.0,0.5,1.86,0.0,0.0,0.5,0.2
2018-01-15,玡马,程,14.5,1.88,0.31,0.06,0.3,10.8,11.5,1.7,41.0,13.0,0.0,46.0,1.5,1.96,0.0,0.0,0.5,0.2
2018-01-22,玡马,程,17.2,1.86,0.31,0.03,0.0,11.2,12.6,5.1,48.0,11.0,0.0,56.0,1.4,1.92,0.0,0.0,0.5,0.2
2018-01-29,玡马,程,11.5,1.89,0.26,0.09,0.3,10.0,11.5,1.8,25.0,3.0,0.0,59.0,0.5,2.01,0.0,1.0,0.9,0.2
2018-02-05,玡马,程,10.2,1.92,0.28,0.08,0.0,9.8,11.5,1.9,35.0,13.0,0.0,48.0,1.2,2.02,1.0,2.0,0.7,0.8
2018-02-12,玡马,程,14.3,1.89,0.25,0.02,0.3,6.1,7.4,2.3,27.0,1.0,0.0,41.0,1.1,1.91,0.0,1.0,0.5,0.2
2018-02-19,玡马,程,17.0,1.94,0.34,0.04,1.1,10.3,12.2,2.1,24.0,9.0,0.0,45.0,1.1,1.98,0.0,0.0,0.5,0.2
2018-02-26,玡马,程,17.2,1.81,0.15,0.0,0.3,3.7,4.5,2.0,15.0,6.0,0.0,55.0,1.3,1.87,1.0,1.0,0.5,0.1
2018-03-05,玡马,程,12.9,1.79,0.12,0.03,0.0,7.2,8.4,2.4,16.0,1.0,0.0,50.0,1.4,1.83,0.0,1.0,0.5,0.1
2018-03-12,玡马,程,18.3,1.91,0.22,0.02,0.3,10.3,11.5,2.7,26.0,6.0,0.0,38.0,0.5,1.94,0.0,2.0,0.5,0.2
2018-03-19,玡马,程,15.7,1.88,0.22,0.03,0.6,6.9,7.9,5.8,24.0,4.0,0.0,31.0,1.1,1.93,0.0,0.0,0.5,0.1
2018-03-26,玡马,程,21.1,1.89,0.18,0.01,0.0,8.1,8.7,13.2,42.0,15.0,0.0,43.0,1.4,1.91,0.0,1.0,0.5,0.2
2018-04-02,玡马,程,18.5,1.86,0.15,0.01,0.0,6.6,7.6,10.2,32.0,7.0,0.0,44.0,1.1,1.91,1.0,0.0,0.5,0.2
2018-04-09,玡马,程,20.3,1.82,0.11,0.01,0.0,5.0,7.0,3.6,16.0,1.0,0.0,38.0,1.7,1.86,2.0,3.0,0.5,0.2
2018-04-16,玡马,程,22.1,1.56,0.2,0.03,0.0,7.0,7.3,13.8,27.0,7.0,0.0,50.0,1.7,1.62,0.0,2.0,0.5,0.1
2018-04-23,玡马,程,23.8,1.67,0.05,0.0,0.3,4.8,6.0,5.4,16.0,1.0,0.0,58.0,1.1,1.77,2.0,4.0,0.5,0.1
2018-04-30,玡马,程,25.7,1.83,0.1,0.0,0.0,5.3,6.4,2.2,18.0,1.0,0.0,53.0,2.0,1.84,1.0,0.0,0.5,0.1
2018-05-07,玡马,程,23.7,1.83,0.05,0.01,0.0,4.7,5.6,1.4,5.0,1.0,0.0,57.0,1.5,1.84,11.0,1.0,0.5,0.2
2018-05-14,玡马,程,26.6,1.72,0.05,0.0,0.0,4.3,6.5,1.8,16.0,1.0,0.0,60.0,1.2,1.81,7.0,11.0,0.5,0.1
2018-05-21,玡马,程,28.3,1.75,0.05,0.0,0.0,3.1,3.3,7.8,11.0,1.0,0.0,57.0,1.4,1.76,1.0,0.0,0.5,0.1
2018-05-28,玡马,程,28.0,1.75,0.05,0.0,0.0,3.9,5.4,2.3,14.0,1.0,0.0,54.0,1.3,1.76,1.0,1.0,0.5,0.1
2018-06-04,玡马,程,28.3,1.32,0.05,0.0,0.0,4.6,4.5,7.6,20.0,1.0,0.0,55.0,1.8,1.45,1.0,10.0,0.5,0.1
2018-06-11,玡马,程,24.9,1.79,0.14,0.0,0.0,5.4,5.9,8.1,17.0,1.0,0.0,55.0,1.2,1.82,2.0,5.0,0.5,0.1
2018-06-18,玡马,程,24.4,1.74,0.05,0.01,0.0,3.8,3.8,0.5,5.0,1.0,0.0,65.0,1.5,1.75,2.0,3.0,0.5,0.0
2018-06-25,玡马,程,26.9,1.74,0.05,0.01,0.0,4.5,5.5,1.4,11.0,1.0,0.0,61.0,0.5,1.76,7.0,4.0,0.5,0.1
2018-07-02,玡马,程,24.5,1.75,0.05,0.03,0.0,4.4,4.1,0.5,5.0,1.0,0.0,56.0,0.5,1.81,1.0,5.0,0.5,0.0
