ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2019-01-01,λ,程,28.0,NaN,0.9,NaN,24.9,39.9,45.5,74.4,180.0,92.0,0.2,96.0,7.2,NaN,360.0,358.0,3.3,2.5
2019-01-08,λ,程,26.9,NaN,1.01,NaN,22.8,41.2,59.9,85.1,135.0,90.0,0.0,96.0,7.9,NaN,357.0,359.0,3.4,2.7
2019-01-15,λ,程,25.8,NaN,0.88,NaN,13.0,27.9,36.3,69.3,132.0,64.0,1.0,97.0,6.1,NaN,359.0,359.0,3.2,2.9
2019-01-22,λ,程,25.3,NaN,0.79,NaN,15.8,34.3,37.1,91.4,115.0,50.0,0.0,91.0,8.5,NaN,354.0,359.0,3.7,2.8
2019-01-29,λ,程,30.5,NaN,0.94,NaN,16.0,38.3,43.1,92.9,254.0,68.0,3.6,96.0,6.3,NaN,359.0,360.0,4.8,3.8
2019-02-05,λ,程,29.8,NaN,0.88,NaN,7.4,28.1,31.2,69.8,132.0,60.0,0.0,94.0,3.5,NaN,348.0,357.0,3.4,2.8
2019-02-12,λ,程,28.1,NaN,0.6,NaN,19.6,29.4,33.2,83.3,161.0,61.0,0.0,93.0,5.9,NaN,360.0,355.0,3.7,3.5
2019-02-19,λ,程,28.7,NaN,0.7,NaN,15.4,30.7,34.1,84.3,149.0,96.0,1.6,97.0,6.5,NaN,360.0,359.0,3.7,3.5
2019-02-26,λ,程,27.1,NaN,0.65,NaN,13.0,26.1,31.9,95.4,151.0,113.0,11.8,96.0,6.1,NaN,360.0,359.0,3.5,3.0
2019-03-05,λ,程,27.7,NaN,0.75,NaN,12.5,35.8,39.1,81.9,104.0,64.0,12.8,98.0,3.7,NaN,360.0,360.0,4.4,3.3
2019-03-12,λ,程,26.8,NaN,0.73,NaN,15.4,31.4,33.4,95.8,101.0,78.0,0.0,94.0,4.8,NaN,360.0,360.0,3.4,2.9
2019-03-19,λ,程,32.0,NaN,1.06,NaN,25.2,32.1,50.7,106.4,110.0,72.0,13.6,98.0,7.6,NaN,356.0,360.0,3.6,3.4
2019-03-26,λ,程,29.9,NaN,0.64,NaN,10.8,32.0,33.9,86.1,126.0,71.0,1.2,99.0,4.1,NaN,359.0,360.0,3.7,3.1
2019-04-02,λ,程,30.2,NaN,0.6,NaN,11.8,25.5,27.3,90.2,96.0,65.0,0.0,97.0,5.9,NaN,350.0,359.0,3.6,3.1
2019-04-09,λ,程,32.5,NaN,0.47,NaN,9.3,24.0,26.7,81.4,88.0,46.0,1.2,95.0,5.3,NaN,360.0,360.0,4.3,3.5
2019-04-16,λ,程,31.7,NaN,0.71,NaN,6.4,35.4,40.4,102.4,76.0,54.0,26.0,99.0,5.6,NaN,360.0,360.0,3.8,2.8
2019-04-23,λ,程,32.7,NaN,0.45,NaN,7.7,14.5,17.8,91.9,88.0,41.0,1.8,94.0,6.7,NaN,359.0,356.0,4.0,2.8
2019-04-30,λ,程,32.7,NaN,0.64,NaN,11.2,30.8,35.1,64.4,65.0,41.0,41.4,99.0,7.9,NaN,357.0,359.0,3.7,2.9
2019-05-07,λ,程,32.8,NaN,0.64,NaN,7.8,28.8,29.0,84.1,85.0,49.0,2.6,100.0,7.0,NaN,360.0,359.0,3.3,3.0
2019-05-14,λ,程,32.4,NaN,0.53,NaN,11.8,16.2,18.7,56.3,54.0,32.0,23.4,98.0,5.5,NaN,355.0,360.0,4.0,2.5
2019-05-21,λ,程,31.8,NaN,0.62,NaN,6.4,22.4,27.1,87.2,105.0,57.0,9.2,99.0,7.2,NaN,359.0,356.0,3.4,2.9
2019-05-28,λ,程,33.5,NaN,0.47,NaN,7.7,19.4,21.6,82.8,75.0,39.0,17.8,98.0,5.6,NaN,359.0,359.0,3.2,2.6
2019-06-04,λ,程,34.8,NaN,0.55,NaN,8.0,17.1,18.1,59.9,32.0,14.0,34.2,98.0,3.9,NaN,360.0,357.0,5.2,2.9
2019-06-11,λ,程,33.1,NaN,0.67,NaN,6.6,19.1,21.0,98.3,86.0,49.0,42.2,100.0,5.0,NaN,359.0,355.0,3.9,2.4
2019-06-18,λ,程,35.0,NaN,0.39,NaN,6.1,17.7,23.0,58.6,NaN,14.0,6.2,96.0,3.5,NaN,360.0,353.0,3.1,2.5
2019-06-25,λ,程,35.2,NaN,0.41,NaN,7.2,15.2,17.8,79.6,32.0,14.0,24.6,96.0,8.0,NaN,359.0,357.0,3.9,3.3
2019-07-02,λ,程,34.9,NaN,0.42,NaN,6.0,14.0,15.7,38.3,37.0,13.0,3.6,95.0,3.7,NaN,357.0,360.0,4.4,2.6
2019-07-09,λ,程,34.7,NaN,0.33,NaN,9.2,9.0,12.8,60.9,51.0,28.0,11.4,95.0,4.5,NaN,356.0,359.0,3.7,2.9
2019-07-16,λ,程,35.6,NaN,0.38,NaN,8.8,13.2,16.6,103.4,81.0,60.0,16.0,97.0,5.4,NaN,357.0,360.0,4.1,3.8
2019-07-23,λ,程,34.5,NaN,0.33,NaN,9.1,11.0,16.6,85.4,39.0,26.0,35.8,95.0,5.6,NaN,356.0,360.0,4.7,2.7
2019-07-30,λ,程,35.0,NaN,0.42,NaN,3.9,18.0,19.7,83.0,57.0,40.0,59.6,95.0,5.5,NaN,355.0,353.0,3.9,2.6
2019-08-06,λ,程,34.5,NaN,0.38,NaN,4.1,11.1,13.4,79.7,74.0,54.0,15.8,99.0,6.0,NaN,357.0,360.0,5.9,5.6
2019-08-13,λ,程,34.5,NaN,0.39,NaN,3.5,11.3,13.6,55.5,33.0,16.0,40.0,100.0,4.0,NaN,355.0,350.0,3.8,2.8
2019-08-20,λ,程,34.2,NaN,0.52,NaN,5.3,13.2,15.0,86.8,60.0,54.0,8.8,100.0,4.1,NaN,359.0,357.0,5.0,4.1
2019-08-27,λ,程,35.2,NaN,0.33,NaN,4.4,13.5,14.1,88.5,88.0,82.0,26.4,99.0,4.7,NaN,360.0,358.0,3.8,2.8
2019-09-03,λ,程,33.7,NaN,0.41,NaN,6.8,13.9,16.4,77.0,57.0,51.0,27.2,100.0,4.2,NaN,356.0,357.0,3.3,2.9
2019-09-10,λ,程,34.1,NaN,0.5,NaN,3.4,18.1,20.2,103.3,72.0,58.0,5.2,97.0,5.7,NaN,358.0,360.0,3.3,2.6
2019-09-17,λ,程,32.7,NaN,0.47,NaN,4.6,18.1,18.5,102.7,73.0,40.0,0.0,94.0,4.9,NaN,360.0,360.0,3.5,2.5
2019-09-24,λ,程,31.8,NaN,0.52,NaN,4.9,19.9,20.1,107.6,73.0,53.0,15.2,98.0,4.8,NaN,355.0,358.0,2.9,2.5
2019-10-01,λ,程,33.8,NaN,0.5,NaN,7.0,15.0,18.3,98.9,84.0,69.0,8.6,99.0,5.3,NaN,352.0,358.0,2.7,2.6
