ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2019-01-01,玭щ,程,14.4,1.79,0.25,0.13,0.3,8.2,9.9,1.1,5.0,2.0,0.0,49.0,0.5,1.95,1.0,1.0,0.5,0.2
2019-01-08,玭щ,程,17.4,1.83,0.28,0.1,0.3,8.0,11.5,1.2,19.0,9.0,0.0,52.0,0.5,1.98,1.0,0.0,0.4,0.1
2019-01-15,玭щ,程,14.8,1.81,0.29,0.1,0.3,7.3,9.3,2.9,10.0,5.0,0.0,48.0,0.5,1.95,0.0,1.0,0.5,0.3
2019-01-22,玭щ,程,11.5,1.48,0.18,0.13,0.8,7.6,8.8,0.5,24.0,3.0,0.0,38.0,0.5,1.7,0.0,1.0,0.4,0.1
2019-01-29,玭щ,程,12.7,1.55,0.19,0.06,0.3,4.1,5.5,1.1,12.0,1.0,0.0,31.0,0.5,1.65,0.0,4.0,0.4,0.1
2019-02-05,玭щ,程,15.9,1.54,0.18,0.02,0.3,3.4,4.9,2.4,18.0,6.0,0.0,24.0,0.5,1.55,0.0,3.0,0.4,0.1
2019-02-12,玭щ,程,15.3,1.62,0.24,0.03,0.6,4.8,6.5,1.6,19.0,9.0,0.0,44.0,0.5,1.65,1.0,0.0,0.5,0.1
2019-02-19,玭щ,程,16.2,1.62,0.25,0.04,0.3,7.0,8.7,1.8,15.0,8.0,0.0,50.0,0.5,1.71,1.0,3.0,0.5,0.2
2019-02-26,玭щ,程,17.3,1.61,0.31,0.05,0.3,6.5,8.5,2.3,5.0,1.0,0.0,50.0,0.5,1.66,1.0,1.0,0.4,0.1
2019-03-05,玭щ,程,12.9,1.6,0.18,0.01,0.0,4.9,5.3,2.1,5.0,1.0,0.0,53.0,0.0,1.62,0.0,1.0,0.4,0.1
2019-03-12,玭щ,程,17.2,1.64,0.26,0.06,0.3,6.6,8.4,2.0,17.0,9.0,0.0,47.0,0.5,1.72,0.0,1.0,0.5,0.1
2019-03-19,玭щ,程,15.8,1.57,0.2,0.03,0.8,5.6,7.0,1.9,16.0,5.0,0.0,36.0,0.5,1.61,1.0,1.0,0.4,0.1
2019-03-26,玭щ,程,17.7,1.55,0.21,0.03,0.3,4.2,5.4,2.0,10.0,3.0,0.0,44.0,0.5,1.58,3.0,4.0,0.5,0.1
2019-04-02,玭щ,程,18.1,1.63,0.27,0.04,0.3,4.7,5.6,2.2,35.0,16.0,0.0,44.0,0.5,1.67,2.0,2.0,0.5,0.1
