ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2019-01-01,┚,程,15.9,1.7,0.2,0.03,1.1,6.1,7.4,1.5,0.0,1.0,0.0,53.0,0.0,1.76,0.0,0.0,0.4,0.2
2019-01-08,┚,程,17.6,1.65,0.23,0.03,0.3,6.8,7.5,1.4,5.0,1.0,0.0,56.0,0.5,1.71,0.0,0.0,0.5,0.2
2019-01-15,┚,程,14.3,1.7,0.26,0.04,0.3,5.4,6.6,2.1,5.0,1.0,0.0,52.0,0.5,1.78,1.0,1.0,0.4,0.1
2019-01-22,┚,程,12.6,1.68,0.14,0.03,0.3,3.0,4.0,1.7,14.0,7.0,0.0,43.0,0.5,1.72,0.0,0.0,0.6,0.1
2019-01-29,┚,程,15.0,1.66,0.27,0.04,0.0,5.5,7.5,1.1,5.0,3.0,0.0,32.0,0.0,1.73,1.0,1.0,0.4,0.0
2019-02-05,┚,程,15.7,1.68,0.19,0.02,0.3,2.5,3.7,3.7,5.0,1.0,0.0,20.0,0.5,1.7,1.0,0.0,0.4,0.1
2019-02-12,┚,程,15.6,1.7,0.25,0.05,0.3,6.8,7.5,1.5,5.0,1.0,0.0,47.0,0.0,1.81,0.0,2.0,0.4,0.2
2019-02-19,┚,程,15.0,1.7,0.3,0.05,0.0,6.2,5.8,1.6,0.0,1.0,0.0,56.0,0.0,1.81,1.0,1.0,0.4,0.1
2019-02-26,┚,程,16.4,1.72,0.24,0.05,0.0,6.8,7.9,1.7,5.0,1.0,0.0,49.0,0.0,1.8,0.0,1.0,0.4,0.2
2019-03-05,┚,程,12.0,1.72,0.2,0.03,0.3,4.2,5.5,1.4,0.0,1.0,0.0,52.0,0.5,1.76,0.0,1.0,0.4,0.1
2019-03-12,┚,程,16.3,1.72,0.2,0.04,0.3,6.3,7.1,1.6,5.0,4.0,0.0,37.0,0.5,1.79,3.0,0.0,0.4,0.1
2019-03-19,┚,程,14.9,1.68,0.21,0.04,0.3,5.4,6.1,1.6,5.0,1.0,0.0,41.0,0.0,1.74,4.0,3.0,0.5,0.1
2019-03-26,┚,程,16.7,1.66,0.18,0.04,0.0,4.8,5.9,1.8,5.0,1.0,0.0,44.0,0.0,1.72,3.0,1.0,0.4,0.2
2019-04-02,┚,程,17.7,1.67,0.19,0.04,0.0,5.2,6.0,1.5,13.0,6.0,0.0,50.0,0.5,1.73,0.0,3.0,0.4,0.0
2019-04-09,┚,程,18.7,1.63,0.21,0.02,0.0,4.5,6.3,1.7,5.0,1.0,0.0,51.0,0.5,1.67,1.0,5.0,0.5,0.4
2019-04-16,┚,程,19.4,1.58,0.21,0.02,0.0,3.1,3.0,1.7,5.0,1.0,0.0,54.0,0.0,1.65,0.0,1.0,0.5,0.0
2019-04-23,┚,程,24.3,1.6,0.14,0.02,0.3,3.9,5.4,1.6,5.0,2.0,0.0,47.0,0.5,1.63,2.0,4.0,0.4,0.2
2019-04-30,┚,程,19.1,1.59,0.15,0.03,0.0,3.6,4.5,1.7,0.0,1.0,0.0,53.0,0.5,1.65,1.0,1.0,0.5,0.2
2019-05-07,┚,程,18.7,1.65,0.19,0.03,0.0,6.6,7.5,1.8,0.0,1.0,0.0,45.0,0.5,1.69,1.0,1.0,0.4,0.1
2019-05-14,┚,程,22.5,1.56,0.13,0.01,0.0,4.1,3.9,3.2,0.0,1.0,0.0,55.0,0.5,1.61,14.0,1.0,0.5,0.1
2019-05-21,┚,程,21.0,1.64,0.17,0.03,0.0,5.5,6.3,1.5,5.0,4.0,0.0,57.0,0.0,1.68,0.0,2.0,0.4,0.1
2019-05-28,┚,程,22.0,1.57,0.12,0.02,0.3,4.1,4.5,3.2,0.0,1.0,0.0,51.0,1.2,1.6,3.0,2.0,0.5,0.3
2019-06-04,┚,程,24.3,1.57,0.05,0.02,0.0,4.7,4.9,1.3,5.0,1.0,0.0,49.0,0.5,1.6,3.0,25.0,0.5,0.1
2019-06-11,┚,程,24.0,1.6,0.1,0.01,0.0,2.3,2.5,1.3,0.0,1.0,0.0,43.0,0.0,1.62,2.0,1.0,0.4,0.1
2019-06-18,┚,程,23.5,1.55,0.05,0.0,0.0,3.7,3.4,1.4,0.0,1.0,0.0,49.0,0.0,1.6,5.0,6.0,0.4,0.0
2019-06-25,┚,程,25.2,1.57,0.11,0.0,0.0,4.2,5.6,1.2,0.0,1.0,0.0,50.0,0.5,1.58,7.0,6.0,0.5,0.1
2019-07-02,┚,程,26.1,1.57,0.05,0.0,0.0,3.1,3.3,5.6,0.0,1.0,0.0,46.0,0.5,1.57,59.0,62.0,0.6,0.1
2019-07-09,┚,程,26.6,1.56,0.1,0.02,0.3,3.2,3.6,2.1,0.0,1.0,0.0,47.0,1.1,1.61,115.0,104.0,0.7,0.3
2019-07-16,┚,程,27.3,1.56,0.1,0.01,0.0,3.4,3.8,1.9,5.0,1.0,0.0,50.0,0.5,1.59,2.0,5.0,0.5,0.2
2019-07-23,┚,程,24.0,1.55,0.1,0.03,0.3,4.5,5.0,5.0,5.0,1.0,0.0,49.0,0.0,1.58,0.0,0.0,0.4,0.2
2019-07-30,┚,程,26.1,1.44,0.05,0.02,0.3,5.2,5.7,3.0,11.0,1.0,0.0,53.0,0.5,1.62,11.0,2.0,0.4,0.2
2019-08-06,┚,程,24.8,1.6,0.05,0.0,0.0,1.9,2.2,1.2,5.0,1.0,0.0,55.0,1.0,1.6,1.0,3.0,0.5,0.1
2019-08-13,┚,程,24.5,1.65,0.05,0.0,0.0,0.5,0.6,4.6,5.0,1.0,0.0,61.0,0.5,1.69,13.0,17.0,0.5,0.1
2019-08-20,┚,程,25.5,1.61,0.12,0.02,0.3,5.7,5.9,1.4,5.0,1.0,0.0,57.0,0.5,1.66,1.0,1.0,0.4,0.2
2019-08-27,┚,程,25.6,1.59,0.12,0.0,0.0,4.7,5.7,1.3,5.0,1.0,0.0,51.0,0.5,1.62,1.0,4.0,0.4,0.1
2019-09-03,┚,程,25.5,1.6,0.05,0.01,0.0,3.5,4.1,3.2,5.0,1.0,0.0,58.0,0.5,1.62,8.0,7.0,0.5,0.1
2019-09-10,┚,程,27.5,1.61,0.13,0.0,0.0,4.9,5.1,6.9,11.0,5.0,0.0,49.0,0.5,1.64,2.0,3.0,0.5,0.0
2019-09-17,┚,程,24.2,1.7,0.12,0.0,0.0,5.1,5.2,17.6,5.0,6.0,0.0,45.0,1.1,1.72,2.0,0.0,0.5,0.2
2019-09-24,┚,程,24.2,1.61,0.05,0.0,0.3,3.3,4.5,1.0,5.0,3.0,0.0,49.0,0.5,1.61,1.0,1.0,0.4,0.2
2019-10-01,┚,程,24.2,1.62,0.05,0.0,0.0,2.8,3.1,6.6,5.0,1.0,0.0,49.0,1.0,1.62,0.0,12.0,0.4,0.1
2019-10-08,┚,程,25.2,1.7,0.16,0.01,0.0,5.3,5.8,5.1,18.0,6.0,0.0,46.0,0.0,1.73,3.0,1.0,0.5,0.1
2019-10-15,┚,程,23.0,1.7,0.1,0.01,0.0,5.3,5.7,17.3,12.0,4.0,0.0,44.0,1.1,1.71,0.0,0.0,0.7,1.0
2019-10-22,┚,程,22.6,1.69,0.17,0.02,0.0,7.2,7.7,3.9,18.0,8.0,0.0,48.0,0.5,1.73,0.0,0.0,0.5,0.2
2019-10-29,┚,程,22.9,1.68,0.14,0.01,0.0,6.2,6.5,3.0,5.0,2.0,0.0,55.0,1.0,1.72,1.0,1.0,0.4,0.3
2019-11-05,┚,程,20.3,1.7,0.13,0.01,0.0,4.8,4.8,8.3,16.0,8.0,0.0,42.0,0.5,1.72,1.0,0.0,0.5,0.1
2019-11-12,┚,程,20.5,1.7,0.15,0.02,0.0,6.6,6.9,3.6,14.0,5.0,0.0,36.0,0.0,1.73,0.0,0.0,0.4,0.1
2019-11-19,┚,程,20.1,1.69,0.11,0.02,0.3,5.2,6.2,3.3,5.0,4.0,0.0,52.0,0.5,1.72,0.0,1.0,0.4,0.1
