ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2019-01-01,い,程,27.5,2.15,1.39,0.49,48.1,43.6,84.9,42.0,71.0,45.0,3.8,98.0,6.5,2.58,355.0,357.0,3.9,3.0
2019-01-08,い,程,26.7,2.48,2.02,0.77,67.4,56.1,117.2,75.8,91.0,38.0,0.0,96.0,8.8,3.12,360.0,359.0,3.9,2.8
2019-01-15,い,程,22.8,2.8,2.1,0.69,97.6,65.6,150.9,51.8,87.0,40.0,3.0,98.0,7.1,3.25,360.0,346.0,5.0,4.2
2019-01-22,い,程,22.4,2.21,1.52,0.47,73.2,52.4,113.2,60.1,76.0,39.0,0.0,92.0,11.6,2.62,356.0,359.0,3.8,2.9
2019-01-29,い,程,27.3,2.48,2.53,0.46,101.6,73.7,168.0,67.6,104.0,51.0,0.2,93.0,8.1,2.92,359.0,356.0,4.2,3.5
2019-02-05,い,程,30.7,2.42,1.35,0.45,25.4,41.4,64.9,60.3,97.0,48.0,0.4,97.0,5.8,2.87,342.0,359.0,4.2,3.3
2019-02-12,い,程,26.3,2.29,1.37,0.48,44.7,45.5,89.5,65.8,80.0,38.0,1.8,96.0,5.5,2.51,358.0,360.0,4.0,3.1
2019-02-19,い,程,27.6,2.33,2.28,0.65,104.8,54.9,150.9,49.9,84.0,36.0,4.2,95.0,16.6,2.98,360.0,359.0,3.7,2.9
2019-02-26,い,程,25.7,2.28,2.13,0.7,89.9,74.2,143.0,75.7,138.0,77.0,3.0,95.0,9.2,2.92,359.0,359.0,4.0,3.2
2019-03-05,い,程,25.7,2.91,1.32,0.48,61.6,52.6,112.8,61.6,121.0,60.0,5.8,95.0,6.8,3.34,360.0,358.0,4.3,3.3
2019-03-12,い,程,26.3,2.34,1.93,0.51,58.7,59.4,113.8,67.6,92.0,44.0,3.2,95.0,8.2,2.8,360.0,360.0,4.9,4.4
2019-03-19,い,程,30.9,2.8,2.37,0.76,114.4,48.6,155.8,84.1,89.0,55.0,8.0,95.0,9.9,3.39,360.0,360.0,4.2,3.9
2019-03-26,い,程,31.2,3.02,1.99,0.61,58.7,76.0,127.0,69.2,86.0,47.0,10.8,95.0,13.5,3.63,360.0,359.0,4.4,3.4
2019-04-02,い,程,31.1,2.45,2.19,0.76,90.7,63.5,138.1,85.1,84.0,54.0,0.2,95.0,8.0,2.96,360.0,360.0,3.7,2.6
2019-04-09,い,程,32.3,2.4,1.48,0.5,35.3,49.2,82.1,109.4,90.0,45.0,6.8,95.0,5.0,2.81,360.0,360.0,6.0,3.2
2019-04-16,い,程,32.0,2.5,1.65,0.52,43.8,57.6,84.6,97.2,102.0,52.0,17.2,95.0,9.1,2.83,360.0,360.0,3.9,3.4
2019-04-23,い,程,34.9,2.11,1.57,0.47,30.9,44.5,73.0,92.3,73.0,34.0,0.2,91.0,10.1,2.54,360.0,357.0,4.2,3.3
2019-04-30,い,程,33.0,1.95,1.53,0.37,26.2,45.1,58.8,65.4,127.0,45.0,11.8,95.0,3.7,2.19,355.0,359.0,4.1,3.3
2019-05-07,い,程,32.2,2.47,1.44,0.42,32.4,50.4,79.3,75.2,74.0,38.0,2.0,95.0,6.5,2.89,360.0,358.0,4.5,3.3
2019-05-14,い,程,34.3,2.76,1.79,0.57,64.0,45.2,91.5,58.7,75.0,40.0,33.4,95.0,7.0,3.08,360.0,359.0,3.7,2.5
2019-05-21,い,程,32.5,2.09,1.29,0.47,25.8,49.1,69.2,79.0,120.0,29.0,20.4,92.0,5.1,2.4,354.0,359.0,4.6,3.5
2019-05-28,い,程,34.9,2.07,1.69,0.54,58.6,45.6,88.3,82.5,70.0,41.0,21.2,95.0,6.0,2.56,360.0,360.0,4.0,2.8
2019-06-04,い,程,34.6,2.11,1.72,0.58,78.2,52.9,105.4,66.2,46.0,33.0,3.0,91.0,9.9,2.57,360.0,359.0,3.7,3.0
2019-06-11,い,程,33.8,2.35,2.06,0.76,71.2,63.4,124.2,87.6,58.0,40.0,16.6,95.0,7.6,3.11,360.0,359.0,3.8,3.3
2019-06-18,い,程,36.4,1.97,1.4,0.45,33.0,47.9,65.1,57.1,50.0,23.0,9.2,95.0,5.4,2.31,359.0,357.0,3.9,2.7
2019-06-25,い,程,34.9,2.28,1.44,0.39,46.5,41.6,77.8,86.9,44.0,25.0,15.0,95.0,5.8,2.65,360.0,360.0,4.1,3.0
2019-07-02,い,程,36.6,2.02,1.8,0.58,48.0,41.9,82.0,61.5,49.0,31.0,33.8,95.0,6.3,2.46,358.0,356.0,4.0,3.2
2019-07-09,い,程,36.6,1.88,1.22,0.52,32.7,38.3,71.0,84.1,80.0,30.0,7.8,91.0,8.0,2.39,357.0,358.0,4.1,2.8
2019-07-16,い,程,36.5,2.34,1.55,0.48,38.2,43.1,66.8,81.6,46.0,29.0,56.2,95.0,5.3,2.76,359.0,360.0,4.5,2.8
2019-07-23,い,程,36.0,2.0,1.26,0.38,23.3,48.0,66.7,84.8,46.0,29.0,29.6,90.0,4.2,2.25,359.0,359.0,3.9,3.2
2019-07-30,い,程,35.6,1.88,0.75,0.23,29.2,30.6,42.2,69.7,35.0,25.0,0.2,87.0,3.7,2.04,359.0,260.0,6.1,4.5
2019-08-06,い,程,37.5,2.24,1.28,0.43,35.4,45.4,65.2,44.5,44.0,31.0,5.8,95.0,4.0,2.43,357.0,357.0,3.3,2.4
2019-08-13,い,程,36.8,1.93,1.68,2.36,42.1,40.5,68.5,59.9,105.0,33.0,5.2,94.0,6.0,4.04,359.0,358.0,3.3,2.2
2019-08-20,い,程,34.6,2.04,1.36,0.38,33.5,37.7,64.6,77.4,41.0,28.0,79.8,95.0,5.1,2.38,356.0,353.0,6.4,5.4
2019-08-27,い,程,35.5,1.8,1.09,0.39,37.8,41.5,79.3,48.8,39.0,29.0,22.0,91.0,5.9,2.14,355.0,357.0,5.9,5.1
2019-09-03,い,程,34.1,1.96,1.22,0.43,41.1,35.5,66.2,96.6,51.0,29.0,10.6,95.0,7.7,2.26,360.0,360.0,5.6,4.3
2019-09-10,い,程,35.1,1.9,0.97,0.24,24.8,28.8,46.6,50.3,39.0,33.0,9.2,94.0,3.0,2.08,349.0,360.0,4.1,3.5
2019-09-17,い,程,28.9,2.35,1.93,0.53,50.4,47.6,91.2,55.3,54.0,29.0,5.2,95.0,7.9,2.71,360.0,358.0,3.8,2.7
2019-09-24,い,程,30.1,2.27,1.45,0.42,85.3,45.0,110.7,48.6,38.0,18.0,18.2,95.0,3.6,2.69,354.0,359.0,4.9,3.9
2019-10-01,い,程,33.3,2.09,1.23,0.42,26.5,52.0,72.0,100.7,81.0,59.0,6.0,95.0,8.2,2.38,358.0,357.0,4.2,3.5
2019-10-08,い,程,30.3,2.04,0.85,0.22,13.9,35.7,42.7,68.9,50.0,37.0,0.4,87.0,8.1,2.25,360.0,351.0,4.1,2.6
2019-10-15,い,程,26.6,1.99,1.04,0.37,35.2,43.4,78.7,56.6,51.0,31.0,0.2,87.0,5.9,2.17,359.0,357.0,3.2,2.2
2019-10-22,い,程,27.6,1.98,1.02,0.32,36.3,39.2,74.8,51.6,41.0,24.0,0.0,89.0,4.8,2.29,357.0,357.0,3.6,2.6
2019-10-29,い,程,26.3,1.83,0.99,0.26,16.3,38.1,47.2,73.1,242.0,83.0,0.8,95.0,3.4,2.09,357.0,358.0,4.3,3.1
2019-11-05,い,程,26.8,2.1,1.04,0.36,55.2,54.1,87.3,56.5,47.0,24.0,0.2,85.0,4.3,2.46,134.0,356.0,3.9,3.0
2019-11-12,い,程,28.9,2.4,1.45,0.55,46.5,61.5,91.3,93.0,88.0,60.0,0.0,86.0,8.4,2.78,358.0,349.0,4.1,3.7
