ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2019-01-01,獸,程,28.2,2.2,1.2,0.45,30.9,35.9,59.9,46.5,67.0,52.0,2.4,94.0,6.3,2.5,338.0,359.0,4.1,3.5
2019-01-08,獸,程,28.0,2.34,2.0,1.03,47.8,54.5,95.6,85.7,106.0,56.0,0.0,91.0,6.7,3.32,344.0,339.0,4.4,3.5
2019-01-15,獸,程,23.1,2.42,1.84,0.71,67.0,66.0,113.7,51.9,87.0,54.0,2.4,93.0,6.7,3.13,350.0,346.0,5.0,4.2
2019-01-22,獸,程,22.9,2.07,1.03,0.26,29.7,35.9,62.2,63.7,122.0,34.0,0.0,89.0,5.6,2.32,344.0,276.0,4.2,3.7
2019-01-29,獸,程,28.3,2.48,1.87,0.8,47.4,65.4,100.8,84.0,118.0,76.0,0.2,89.0,5.9,3.28,346.0,349.0,4.5,3.7
2019-02-05,獸,程,31.0,2.29,0.91,0.31,17.5,30.4,46.7,61.5,80.0,49.0,0.2,93.0,3.4,2.57,337.0,355.0,5.2,4.2
2019-02-12,獸,程,27.1,2.15,1.13,0.42,18.9,42.9,53.3,83.0,70.0,47.0,1.4,93.0,4.9,2.48,356.0,356.0,4.9,4.2
2019-02-19,獸,程,29.1,2.33,1.34,0.52,31.8,56.7,72.5,63.5,77.0,39.0,5.0,94.0,9.4,2.72,356.0,340.0,4.3,3.8
2019-02-26,獸,程,26.9,2.31,1.51,0.48,38.2,50.5,73.8,73.4,129.0,86.0,3.8,93.0,3.6,2.71,349.0,341.0,4.7,3.9
2019-03-05,獸,程,26.8,3.65,1.28,0.55,36.2,53.5,83.6,63.0,124.0,95.0,5.4,94.0,4.5,4.2,347.0,350.0,5.4,3.4
2019-03-12,獸,程,27.5,2.72,1.6,0.58,46.7,53.8,83.0,73.6,85.0,50.0,2.6,93.0,5.2,3.2,355.0,356.0,5.3,4.1
2019-03-19,獸,程,32.1,2.63,1.63,0.52,67.6,52.2,111.8,104.4,94.0,60.0,5.2,93.0,13.2,3.01,356.0,350.0,4.5,3.6
2019-03-26,獸,程,32.7,2.42,1.35,0.55,25.4,60.5,70.2,74.5,85.0,51.0,13.8,91.0,10.6,2.84,353.0,349.0,5.5,4.2
2019-04-02,獸,程,32.8,2.36,1.8,0.74,48.1,54.4,99.2,94.8,76.0,54.0,0.6,94.0,5.9,3.05,353.0,356.0,3.8,3.2
2019-04-09,獸,程,33.3,2.26,1.19,0.48,24.1,46.0,62.7,113.5,79.0,50.0,6.0,92.0,5.9,2.7,353.0,359.0,5.3,4.1
2019-04-16,獸,程,33.5,2.29,1.65,0.91,26.9,57.0,67.4,106.2,100.0,71.0,18.6,94.0,11.6,2.97,360.0,356.0,4.2,3.2
