ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2019-01-01,堕,程,15.8,NaN,0.19,NaN,0.0,2.5,2.5,5.9,5.0,1.0,0.0,62.0,0.5,NaN,1.0,1.0,0.7,0.1
2019-01-08,堕,程,16.9,NaN,0.22,NaN,0.0,5.2,5.2,3.3,11.0,1.0,0.0,57.0,0.0,NaN,1.0,1.0,0.8,0.1
2019-01-15,堕,程,13.1,NaN,0.21,NaN,0.0,2.5,4.1,4.2,10.0,1.0,0.0,62.0,0.0,NaN,2.0,3.0,0.8,0.0
2019-01-22,堕,程,11.7,NaN,0.16,NaN,0.0,2.7,2.7,6.6,21.0,4.0,0.0,56.0,0.0,NaN,12.0,10.0,1.4,0.3
2019-01-29,堕,程,13.7,NaN,0.18,NaN,0.0,5.0,5.8,1.7,24.0,8.0,0.0,46.0,0.5,NaN,1.0,17.0,0.7,0.5
2019-02-05,堕,程,14.1,NaN,0.14,NaN,0.0,0.7,1.8,3.4,5.0,1.0,0.0,27.0,0.5,NaN,2.0,0.0,0.8,0.3
2019-02-12,堕,程,14.1,NaN,0.18,NaN,0.3,3.0,4.4,17.0,5.0,1.0,0.0,72.0,1.1,NaN,1.0,1.0,0.8,0.7
2019-02-19,堕,程,13.2,NaN,0.22,NaN,0.0,3.1,4.4,3.1,5.0,1.0,0.0,68.0,0.5,NaN,1.0,1.0,0.6,0.3
2019-02-26,堕,程,16.2,NaN,0.21,NaN,0.3,3.5,5.6,10.7,5.0,1.0,0.0,60.0,0.5,NaN,0.0,2.0,0.7,0.2
2019-03-05,堕,程,11.9,NaN,0.15,NaN,0.0,3.4,3.4,5.3,5.0,1.0,0.0,48.0,0.0,NaN,2.0,1.0,1.0,0.4
2019-03-12,堕,程,15.4,NaN,0.19,NaN,0.0,1.6,3.3,12.2,5.0,1.0,0.0,38.0,1.2,NaN,5.0,12.0,1.0,0.6
2019-03-19,堕,程,13.8,NaN,0.16,NaN,0.0,2.7,3.4,5.4,5.0,1.0,0.0,59.0,0.5,NaN,15.0,5.0,1.0,0.6
2019-03-26,堕,程,14.6,NaN,0.19,NaN,0.0,2.7,2.4,10.8,5.0,1.0,0.0,56.0,1.2,NaN,19.0,6.0,1.3,0.6
2019-04-02,堕,程,17.4,NaN,0.2,NaN,0.0,3.6,4.1,14.4,10.0,1.0,0.0,58.0,1.0,NaN,2.0,1.0,0.5,0.3
2019-04-09,堕,程,17.6,NaN,0.16,NaN,0.0,2.2,2.9,5.6,5.0,1.0,0.0,54.0,0.5,NaN,1.0,3.0,0.5,0.7
2019-04-16,堕,程,18.5,NaN,0.18,NaN,0.0,2.7,3.6,2.7,5.0,1.0,0.0,52.0,1.0,NaN,1.0,1.0,0.9,0.3
