ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2019-01-01,垫糳,程,16.1,NaN,0.21,NaN,0.3,3.0,3.8,2.2,5.0,1.0,0.0,60.0,0.5,NaN,63.0,15.0,0.4,0.2
2019-01-08,垫糳,程,17.2,NaN,0.28,NaN,1.1,3.0,4.6,2.1,5.0,1.0,0.0,57.0,0.5,NaN,55.0,6.0,0.4,0.1
2019-01-15,垫糳,程,14.7,NaN,0.29,NaN,0.3,3.8,4.7,2.5,5.0,1.0,0.0,43.0,0.5,NaN,4.0,4.0,0.4,0.1
2019-01-22,垫糳,程,13.2,NaN,0.18,NaN,0.3,4.5,5.7,3.5,13.0,3.0,0.0,46.0,0.5,NaN,38.0,30.0,0.7,0.2
2019-01-29,垫糳,程,14.7,NaN,0.2,NaN,0.3,5.2,6.0,2.0,5.0,2.0,0.0,44.0,0.5,NaN,1.0,1.0,0.4,0.0
2019-02-05,垫糳,程,16.0,NaN,0.19,NaN,0.6,3.3,3.9,1.9,0.0,1.0,0.0,23.0,0.0,NaN,2.0,7.0,0.6,0.0
2019-02-12,垫糳,程,15.8,NaN,0.21,NaN,0.3,3.1,3.6,7.4,0.0,1.0,0.0,62.0,0.5,NaN,1.0,10.0,0.4,0.2
2019-02-19,垫糳,程,14.2,NaN,0.2,NaN,0.3,4.1,4.9,3.9,5.0,3.0,0.0,65.0,0.5,NaN,1.0,2.0,0.4,0.1
2019-02-26,垫糳,程,16.7,NaN,0.23,NaN,0.7,5.0,5.8,4.6,5.0,6.0,0.0,53.0,0.0,NaN,1.0,7.0,0.4,0.2
2019-03-05,垫糳,程,12.4,NaN,0.22,NaN,0.3,5.7,6.8,2.8,5.0,1.0,0.0,51.0,0.5,NaN,4.0,4.0,0.6,0.1
2019-03-12,垫糳,程,15.1,NaN,0.22,NaN,0.3,4.4,5.4,3.0,5.0,3.0,0.0,32.0,0.0,NaN,10.0,3.0,0.4,0.1
2019-03-19,垫糳,程,14.4,NaN,0.19,NaN,0.3,4.3,5.7,2.1,5.0,4.0,0.0,48.0,0.5,NaN,1.0,3.0,0.4,0.1
2019-03-26,垫糳,程,15.7,NaN,0.19,NaN,0.0,3.3,4.4,2.1,12.0,7.0,0.0,50.0,0.5,NaN,1.0,1.0,0.4,0.1
2019-04-02,垫糳,程,17.6,NaN,0.2,NaN,0.0,4.3,4.6,2.1,10.0,6.0,0.0,49.0,0.5,NaN,3.0,1.0,0.4,0.1
2019-04-09,垫糳,程,18.2,NaN,0.22,NaN,0.3,4.0,5.3,2.1,5.0,6.0,0.0,41.0,0.5,NaN,5.0,1.0,0.4,0.3
2019-04-16,垫糳,程,18.7,NaN,0.23,NaN,0.8,6.6,7.8,1.7,10.0,15.0,0.0,40.0,1.0,NaN,1.0,1.0,0.4,0.1
2019-04-23,垫糳,程,23.9,NaN,0.17,NaN,0.0,2.7,3.7,1.8,5.0,6.0,0.0,36.0,1.5,NaN,0.0,3.0,0.4,0.2
2019-04-30,垫糳,程,18.9,NaN,0.16,NaN,0.3,3.9,4.7,3.4,5.0,1.0,0.0,43.0,0.0,NaN,31.0,2.0,0.6,0.3
2019-05-07,垫糳,程,18.7,NaN,0.18,NaN,0.0,4.6,5.3,2.8,5.0,1.0,0.0,56.0,0.0,NaN,6.0,10.0,0.5,0.3
2019-05-14,垫糳,程,23.0,NaN,0.19,NaN,0.3,6.0,6.8,1.7,5.0,1.0,0.0,53.0,0.5,NaN,1.0,2.0,0.4,0.0
2019-05-21,垫糳,程,22.1,NaN,0.19,NaN,0.0,4.5,4.5,2.3,5.0,2.0,0.0,34.0,0.5,NaN,5.0,8.0,0.4,0.2
2019-05-28,垫糳,程,22.2,NaN,0.14,NaN,0.3,3.0,4.4,1.9,5.0,1.0,0.0,48.0,0.5,NaN,0.0,0.0,0.5,0.1
