ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2019-01-01,锭,程,10.2,NaN,0.14,NaN,0.0,0.3,0.3,14.2,0.0,1.0,0.0,82.0,0.5,NaN,NaN,0.0,0.1,NaN
2019-01-08,锭,程,10.7,NaN,0.16,NaN,0.3,0.0,0.3,16.2,0.0,1.0,0.0,89.0,0.5,NaN,NaN,0.0,0.1,NaN
2019-01-15,锭,程,7.4,NaN,0.13,NaN,0.0,0.3,0.3,29.5,5.0,1.0,0.0,64.0,0.5,NaN,NaN,0.0,0.1,NaN
2019-01-22,锭,程,6.0,NaN,0.12,NaN,0.0,0.6,0.7,32.2,5.0,1.0,0.0,80.0,0.5,NaN,NaN,10.0,0.5,NaN
2019-01-29,锭,程,7.6,NaN,0.12,NaN,0.3,0.5,0.9,24.8,5.0,1.0,0.0,63.0,0.5,NaN,NaN,0.0,0.1,NaN
2019-02-05,锭,程,9.1,NaN,0.12,NaN,0.3,0.3,0.9,26.0,0.0,1.0,0.0,58.0,0.5,NaN,NaN,10.0,0.4,NaN
2019-02-12,锭,程,8.9,NaN,0.12,NaN,0.0,0.3,0.7,15.9,0.0,1.0,0.0,76.0,0.0,NaN,NaN,0.0,0.1,NaN
2019-02-19,锭,程,7.3,NaN,0.12,NaN,0.3,0.3,0.6,20.8,5.0,1.0,0.0,76.0,0.5,NaN,NaN,0.0,0.0,NaN
2019-02-26,锭,程,9.3,NaN,0.15,NaN,0.0,0.3,0.6,26.3,5.0,1.0,0.0,76.0,0.5,NaN,NaN,0.0,0.0,NaN
2019-03-05,锭,程,6.2,NaN,0.05,NaN,0.0,0.3,0.3,32.9,0.0,1.0,0.0,69.0,0.5,NaN,NaN,NaN,NaN,NaN
2019-03-12,锭,程,8.8,NaN,0.16,NaN,0.3,0.3,0.7,42.4,0.0,1.0,0.0,54.0,0.5,NaN,NaN,0.0,0.0,NaN
2019-03-19,锭,程,8.0,NaN,0.14,NaN,0.3,0.5,0.7,15.9,0.0,1.0,0.0,69.0,0.5,NaN,NaN,0.0,0.1,NaN
2019-03-26,锭,程,9.5,NaN,0.15,NaN,0.0,0.9,1.1,20.7,0.0,1.0,0.0,80.0,0.5,NaN,NaN,0.0,0.1,NaN
2019-04-02,锭,程,10.5,NaN,0.15,NaN,0.3,0.0,0.3,28.0,0.0,1.0,0.0,70.0,1.0,NaN,NaN,0.0,0.1,NaN
2019-04-09,锭,程,11.4,NaN,0.13,NaN,0.3,0.3,0.8,18.0,0.0,1.0,0.0,54.0,0.5,NaN,NaN,0.0,0.1,NaN
2019-04-16,锭,程,12.4,NaN,0.14,NaN,0.0,0.6,0.9,15.4,5.0,1.0,0.0,72.0,0.5,NaN,NaN,0.0,0.0,NaN
2019-04-23,锭,程,16.3,NaN,0.1,NaN,0.3,0.3,0.6,12.0,0.0,1.0,0.0,62.0,0.5,NaN,NaN,0.0,0.0,NaN
2019-04-30,锭,程,12.3,NaN,0.12,NaN,0.3,0.0,0.8,18.7,5.0,1.0,0.0,78.0,0.5,NaN,NaN,10.0,0.4,NaN
2019-05-07,锭,程,12.2,NaN,0.13,NaN,0.0,0.3,0.7,20.8,0.0,1.0,0.0,67.0,0.5,NaN,NaN,10.0,0.4,NaN
2019-05-14,锭,程,15.4,NaN,0.1,NaN,0.3,0.3,0.3,12.9,5.0,1.0,0.0,79.0,0.5,NaN,NaN,0.0,0.2,NaN
2019-05-21,锭,程,14.7,NaN,0.12,NaN,0.0,0.3,0.7,30.2,5.0,1.0,0.0,20.0,0.5,NaN,NaN,0.0,0.0,NaN
2019-05-28,锭,程,14.3,NaN,0.05,NaN,0.0,0.7,0.9,12.0,0.0,1.0,0.0,78.0,0.0,NaN,NaN,0.0,0.0,NaN
2019-06-04,锭,程,16.7,NaN,0.05,NaN,0.0,0.0,0.3,11.7,5.0,1.0,0.0,72.0,1.0,NaN,NaN,10.0,0.6,NaN
2019-06-11,锭,程,13.7,NaN,0.05,NaN,0.3,0.0,0.0,11.2,NaN,1.0,0.0,32.0,0.5,NaN,NaN,10.0,0.4,NaN
2019-06-18,锭,程,18.0,NaN,0.05,NaN,0.0,0.0,0.5,12.7,5.0,1.0,0.0,71.0,0.5,NaN,NaN,0.0,0.2,NaN
2019-06-25,锭,程,19.5,NaN,0.05,NaN,0.0,0.0,0.3,9.6,5.0,1.0,0.0,77.0,1.0,NaN,NaN,0.0,0.0,NaN
2019-07-02,锭,程,21.2,NaN,0.0,NaN,0.0,0.3,0.3,14.4,0.0,1.0,0.0,70.0,0.5,NaN,NaN,0.0,0.2,NaN
2019-07-09,锭,程,20.9,NaN,0.05,NaN,0.0,0.0,0.3,7.3,0.0,1.0,0.0,72.0,0.5,NaN,NaN,10.0,0.3,NaN
2019-07-16,锭,程,19.9,NaN,0.05,NaN,0.0,0.3,0.3,6.1,0.0,1.0,0.0,75.0,0.5,NaN,NaN,0.0,0.0,NaN
2019-07-23,锭,程,20.0,NaN,0.0,NaN,0.3,0.3,0.3,7.9,5.0,1.0,0.0,76.0,0.5,NaN,NaN,0.0,0.0,NaN
2019-07-30,锭,程,20.6,NaN,0.05,NaN,0.3,0.3,0.7,7.1,0.0,1.0,0.0,72.0,0.5,NaN,NaN,0.0,0.1,NaN
2019-08-06,锭,程,21.1,NaN,0.05,NaN,0.0,0.0,0.8,6.5,0.0,1.0,0.0,67.0,0.0,NaN,NaN,0.0,0.2,NaN
2019-08-13,锭,程,20.7,NaN,0.05,NaN,0.3,0.0,0.7,17.2,5.0,1.0,0.0,70.0,0.5,NaN,NaN,0.0,0.0,NaN
2019-08-20,锭,程,17.5,NaN,0.05,NaN,0.3,0.0,0.3,6.4,0.0,1.0,0.0,78.0,0.0,NaN,NaN,0.0,0.1,NaN
2019-08-27,锭,程,16.5,NaN,0.05,NaN,0.3,0.0,0.3,5.9,0.0,1.0,0.0,73.0,0.5,NaN,NaN,0.0,0.1,NaN
2019-09-03,锭,程,19.8,NaN,0.05,NaN,0.0,0.0,0.0,9.3,0.0,1.0,0.0,68.0,0.5,NaN,NaN,0.0,0.0,NaN
2019-09-10,锭,程,18.1,NaN,0.05,NaN,0.0,0.0,0.5,5.7,0.0,1.0,0.0,73.0,0.5,NaN,NaN,0.0,0.0,NaN
