ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2019-01-01,纒兼,程,14.5,NaN,0.15,NaN,0.3,2.3,3.3,2.3,5.0,1.0,0.0,68.0,0.5,NaN,0.0,7.0,0.4,0.1
2019-01-08,纒兼,程,15.7,NaN,0.27,NaN,0.3,3.7,4.0,2.4,5.0,1.0,0.0,64.0,0.5,NaN,1.0,2.0,0.5,0.1
2019-01-15,纒兼,程,12.3,NaN,0.25,NaN,0.6,3.0,3.9,2.8,5.0,1.0,0.0,47.0,0.0,NaN,3.0,6.0,0.4,0.2
2019-01-22,纒兼,程,11.3,NaN,0.15,NaN,0.3,2.2,2.4,4.4,18.0,1.0,0.0,51.0,1.6,NaN,2.0,2.0,0.4,0.1
2019-01-29,纒兼,程,12.2,NaN,0.19,NaN,0.8,3.4,4.4,3.3,11.0,2.0,0.0,50.0,0.5,NaN,4.0,0.0,0.4,0.4
2019-02-05,纒兼,程,13.5,NaN,0.15,NaN,0.3,2.8,4.1,9.4,5.0,1.0,0.0,32.0,0.5,NaN,0.0,3.0,0.6,0.4
2019-02-12,纒兼,程,13.8,NaN,0.18,NaN,0.3,3.2,3.7,8.0,5.0,1.0,0.0,55.0,1.0,NaN,10.0,7.0,0.4,0.1
2019-02-19,纒兼,程,11.9,NaN,0.15,NaN,0.3,4.5,5.1,2.7,5.0,1.0,0.0,67.0,0.5,NaN,2.0,0.0,0.5,0.1
2019-02-26,纒兼,程,15.1,NaN,0.22,NaN,0.6,4.8,6.2,6.6,12.0,1.0,0.0,62.0,0.5,NaN,1.0,1.0,0.5,0.3
2019-03-05,纒兼,程,10.6,NaN,0.2,NaN,0.3,3.5,4.1,7.8,5.0,1.0,0.0,52.0,0.5,NaN,0.0,2.0,0.5,0.2
2019-03-12,纒兼,程,13.0,NaN,0.18,NaN,0.5,2.4,3.2,7.4,12.0,1.0,0.0,33.0,0.5,NaN,2.0,1.0,0.4,0.1
2019-03-19,纒兼,程,12.7,NaN,0.18,NaN,0.3,3.5,4.0,5.2,12.0,1.0,0.0,53.0,1.0,NaN,5.0,3.0,0.5,0.5
2019-03-26,纒兼,程,14.1,NaN,0.16,NaN,0.3,1.7,2.6,7.8,11.0,1.0,0.0,57.0,1.4,NaN,4.0,1.0,0.5,0.5
2019-04-02,纒兼,程,15.8,NaN,0.2,NaN,0.3,3.1,5.1,3.2,21.0,1.0,0.0,53.0,0.0,NaN,3.0,9.0,0.6,0.2
2019-04-09,纒兼,程,15.7,NaN,0.19,NaN,0.3,2.5,3.1,6.8,5.0,1.0,0.0,55.0,0.5,NaN,1.0,5.0,0.5,0.1
2019-04-16,纒兼,程,17.3,NaN,0.16,NaN,0.3,3.7,4.1,3.5,11.0,1.0,0.0,51.0,0.5,NaN,5.0,0.0,0.4,0.1
