ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2019-01-01,竡,程,13.4,NaN,0.16,NaN,0.0,1.5,2.0,2.2,5.0,1.0,0.0,72.0,0.5,NaN,11.0,7.0,0.4,0.2
2019-01-08,竡,程,14.9,NaN,0.21,NaN,0.3,3.0,3.8,2.6,5.0,1.0,0.0,95.0,1.1,NaN,2.0,4.0,0.4,0.1
2019-01-15,竡,程,10.7,NaN,0.22,NaN,0.0,3.1,3.7,2.6,5.0,1.0,0.0,98.0,0.0,NaN,0.0,1.0,0.4,0.1
2019-01-22,竡,程,9.0,NaN,0.11,NaN,0.3,1.8,2.3,6.9,14.0,6.0,0.0,51.0,0.5,NaN,7.0,2.0,0.4,0.3
2019-01-29,竡,程,11.0,NaN,0.17,NaN,0.0,3.1,4.1,3.2,10.0,4.0,0.0,38.0,0.5,NaN,1.0,2.0,0.4,0.1
2019-02-05,竡,程,12.8,NaN,0.13,NaN,0.0,2.3,3.3,18.2,5.0,1.0,0.0,28.0,0.5,NaN,1.0,0.0,0.4,0.1
2019-02-12,竡,程,13.0,NaN,0.18,NaN,0.3,3.5,4.4,7.2,5.0,1.0,0.0,50.0,0.5,NaN,5.0,7.0,0.4,0.1
2019-02-19,竡,程,11.6,NaN,0.18,NaN,0.3,3.1,4.6,3.0,5.0,1.0,0.0,52.0,0.5,NaN,4.0,4.0,0.5,0.1
2019-02-26,竡,程,14.1,NaN,0.23,NaN,0.3,3.1,3.6,5.7,5.0,1.0,0.0,57.0,0.5,NaN,6.0,1.0,0.5,0.1
2019-03-05,竡,程,10.0,NaN,0.21,NaN,0.3,3.5,3.8,7.8,5.0,1.0,0.0,62.0,0.0,NaN,1.0,0.0,0.5,0.1
2019-03-12,竡,程,12.5,NaN,0.16,NaN,0.0,2.2,2.6,8.4,5.0,4.0,0.0,41.0,0.5,NaN,2.0,0.0,0.5,0.2
2019-03-19,竡,程,12.0,NaN,0.19,NaN,0.3,2.9,3.6,2.9,5.0,2.0,0.0,43.0,0.5,NaN,2.0,1.0,0.5,0.1
2019-03-26,竡,程,13.8,NaN,0.16,NaN,0.3,2.9,3.6,6.8,0.0,1.0,0.0,52.0,0.5,NaN,1.0,4.0,0.4,0.1
2019-04-02,竡,程,16.1,NaN,0.21,NaN,0.0,2.8,3.7,2.7,5.0,4.0,0.0,52.0,0.5,NaN,1.0,3.0,0.4,0.2
2019-04-09,竡,程,15.3,NaN,0.14,NaN,0.0,3.4,4.6,5.5,5.0,4.0,0.0,53.0,0.5,NaN,2.0,0.0,0.6,0.1
2019-04-16,竡,程,17.1,NaN,0.14,NaN,0.3,1.5,1.9,7.2,5.0,1.0,0.0,50.0,0.5,NaN,2.0,4.0,0.4,0.1
2019-04-23,竡,程,20.8,NaN,0.05,NaN,0.0,1.0,0.9,7.2,5.0,9.0,0.0,48.0,0.5,NaN,7.0,2.0,0.4,0.2
2019-04-30,竡,程,16.2,NaN,0.1,NaN,0.0,1.1,2.1,9.4,0.0,1.0,0.0,59.0,0.5,NaN,2.0,0.0,0.4,0.0
2019-05-07,竡,程,16.0,NaN,0.17,NaN,0.0,2.1,2.3,3.5,5.0,1.0,0.0,53.0,0.5,NaN,1.0,1.0,0.4,0.2
2019-05-14,竡,程,18.7,NaN,0.05,NaN,0.3,0.3,0.9,2.4,0.0,1.0,0.0,61.0,0.5,NaN,10.0,4.0,0.4,0.1
2019-05-21,竡,程,18.4,NaN,0.18,NaN,0.3,2.3,2.7,5.2,0.0,1.0,0.0,61.0,0.5,NaN,0.0,1.0,0.4,0.0
2019-05-28,竡,程,18.1,NaN,0.05,NaN,0.0,0.3,1.0,4.6,0.0,1.0,0.0,38.0,0.5,NaN,3.0,4.0,0.4,0.3
2019-06-04,竡,程,22.5,NaN,0.05,NaN,0.0,0.5,1.0,9.2,5.0,1.0,0.0,55.0,0.5,NaN,20.0,43.0,0.4,0.3
2019-06-11,竡,程,20.0,NaN,0.05,NaN,0.3,0.3,0.6,10.4,0.0,1.0,0.0,50.0,0.5,NaN,1.0,1.0,0.5,0.1
2019-06-18,竡,程,21.7,NaN,0.05,NaN,0.0,0.3,0.5,3.7,5.0,1.0,0.0,55.0,1.3,NaN,5.0,4.0,0.5,0.3
2019-06-25,竡,程,22.1,NaN,0.05,NaN,0.0,1.0,1.9,2.5,5.0,1.0,0.0,53.0,0.5,NaN,4.0,4.0,0.4,0.0
2019-07-02,竡,程,23.9,NaN,0.05,NaN,0.3,0.3,0.9,16.8,5.0,1.0,0.0,50.0,1.2,NaN,167.0,170.0,2.2,1.6
2019-07-09,竡,程,23.7,NaN,0.05,NaN,0.3,0.0,0.7,9.3,0.0,1.0,0.0,51.0,1.4,NaN,15.0,7.0,0.4,0.0
2019-07-16,竡,程,23.1,NaN,0.05,NaN,0.0,0.3,0.8,4.3,0.0,1.0,0.0,46.0,1.5,NaN,11.0,9.0,0.2,0.1
2019-07-23,竡,程,23.0,NaN,0.05,NaN,0.0,1.1,1.3,5.4,5.0,1.0,0.0,62.0,1.3,NaN,9.0,2.0,0.4,0.2
2019-07-30,竡,程,24.1,NaN,0.05,NaN,0.0,2.7,3.0,2.4,5.0,2.0,0.0,66.0,1.3,NaN,0.0,1.0,0.4,0.1
2019-08-06,竡,程,23.5,NaN,0.05,NaN,0.0,0.6,1.1,4.0,0.0,1.0,0.0,67.0,1.3,NaN,5.0,0.0,0.4,0.0
2019-08-13,竡,程,23.0,NaN,0.05,NaN,0.3,0.0,0.3,12.8,5.0,1.0,0.0,71.0,1.3,NaN,8.0,8.0,0.5,0.3
2019-08-20,竡,程,23.0,NaN,0.11,NaN,0.3,0.9,1.5,3.6,5.0,1.0,0.0,66.0,1.5,NaN,1.0,1.0,0.4,0.1
