ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2019-01-01,玡,程,27.5,2.28,1.24,0.69,20.7,51.0,57.7,88.9,99.0,74.0,0.2,91.0,6.2,2.94,359.0,360.0,4.3,3.4
2019-01-08,玡,程,28.1,2.32,1.64,0.41,18.2,37.3,53.4,102.7,126.0,80.0,0.0,92.0,18.0,2.58,359.0,360.0,4.6,3.9
2019-01-15,玡,程,26.0,2.27,0.97,0.4,11.7,30.3,40.9,84.7,149.0,96.0,0.4,91.0,7.1,2.61,360.0,358.0,4.8,3.8
2019-01-22,玡,程,24.7,2.24,1.07,0.35,18.9,35.8,44.5,86.1,292.0,126.0,0.0,90.0,5.1,2.53,360.0,360.0,4.8,4.4
2019-01-29,玡,程,28.5,2.39,1.34,0.53,14.7,46.6,48.9,109.8,118.0,76.0,0.0,90.0,6.7,2.88,360.0,359.0,4.7,4.0
2019-02-05,玡,程,29.9,2.35,1.04,0.45,15.2,26.9,40.8,79.9,101.0,78.0,2.2,93.0,6.1,2.73,360.0,359.0,4.9,4.4
2019-02-12,玡,程,28.5,2.24,0.92,0.41,12.3,33.0,37.3,80.0,104.0,79.0,0.0,88.0,5.8,2.58,356.0,359.0,5.6,4.5
2019-02-19,玡,程,28.4,2.18,0.97,0.42,19.6,33.3,49.4,80.1,104.0,63.0,1.8,93.0,7.8,2.55,359.0,359.0,6.3,5.6
2019-02-26,玡,程,27.3,2.19,1.03,0.26,17.0,32.1,48.7,89.8,126.0,90.0,2.0,92.0,13.5,2.4,360.0,359.0,5.5,4.5
2019-03-05,玡,程,29.6,2.21,1.39,0.55,26.8,56.7,83.5,76.0,106.0,77.0,6.8,95.0,8.1,2.65,358.0,359.0,5.8,4.7
2019-03-12,玡,程,28.3,2.26,1.02,0.41,17.6,38.1,49.8,94.5,121.0,85.0,0.2,90.0,7.5,2.55,359.0,359.0,4.8,3.9
2019-03-19,玡,程,29.6,2.38,0.99,0.54,13.0,36.4,49.2,109.3,124.0,79.0,1.2,92.0,7.1,2.91,359.0,358.0,4.8,3.9
2019-03-26,玡,程,28.3,2.13,0.99,0.43,17.6,33.3,45.3,90.0,101.0,68.0,0.0,90.0,8.4,2.46,360.0,360.0,5.4,5.1
2019-04-02,玡,程,28.7,2.12,0.83,0.27,9.1,30.7,34.0,88.5,105.0,79.0,0.8,89.0,5.6,2.37,357.0,360.0,5.5,5.1
2019-04-09,玡,程,30.2,2.35,0.94,0.28,16.6,33.8,47.7,91.2,99.0,49.0,0.0,90.0,7.4,2.61,358.0,359.0,4.8,4.4
2019-04-16,玡,程,32.1,2.2,0.91,0.38,19.0,33.5,39.8,93.1,99.0,52.0,17.0,93.0,7.6,2.56,360.0,358.0,4.3,3.8
2019-04-23,玡,程,31.6,2.17,0.72,0.25,10.3,25.0,31.8,95.3,74.0,42.0,0.0,90.0,7.8,2.4,355.0,358.0,4.9,4.6
2019-04-30,玡,程,30.6,2.23,0.84,0.31,9.7,41.1,48.3,81.6,72.0,33.0,41.6,97.0,4.0,2.52,359.0,358.0,4.1,3.8
2019-05-07,玡,程,31.2,2.27,1.15,0.43,14.7,40.6,48.4,95.2,96.0,62.0,0.6,97.0,5.0,2.56,358.0,360.0,4.7,4.0
2019-05-14,玡,程,32.7,2.02,0.67,0.23,10.2,23.4,28.5,45.5,49.0,24.0,13.2,94.0,4.8,2.23,359.0,358.0,5.2,4.6
2019-05-21,玡,程,31.9,2.15,1.05,0.38,15.7,30.3,46.0,99.9,106.0,35.0,11.8,91.0,11.5,2.37,358.0,359.0,4.1,3.7
2019-05-28,玡,程,32.3,2.25,0.78,0.3,9.6,25.8,29.8,92.2,88.0,24.0,3.0,93.0,4.8,2.51,359.0,357.0,4.3,4.0
2019-06-04,玡,程,35.5,2.18,1.05,0.48,35.9,29.6,59.4,35.2,45.0,17.0,14.6,92.0,14.8,2.59,357.0,359.0,4.9,3.7
2019-06-11,玡,程,35.6,2.36,0.95,0.45,20.2,27.5,43.5,91.7,55.0,22.0,37.6,94.0,11.8,2.6,359.0,360.0,4.3,3.6
2019-06-18,玡,程,36.1,2.18,1.1,0.52,18.8,34.1,44.1,47.1,47.0,17.0,6.4,89.0,5.8,2.38,359.0,357.0,5.2,4.1
2019-06-25,玡,程,36.0,2.21,1.43,0.43,21.3,32.9,52.7,56.7,33.0,25.0,59.2,93.0,9.7,2.36,358.0,358.0,5.7,4.7
2019-07-02,玡,程,32.0,2.2,1.81,0.76,48.6,28.3,68.9,35.8,42.0,21.0,26.6,95.0,6.9,2.8,360.0,358.0,6.0,3.5
2019-07-09,玡,程,33.1,2.09,1.3,0.54,34.7,27.1,58.3,35.2,46.0,20.0,14.8,96.0,4.4,2.54,359.0,358.0,5.9,4.0
2019-07-16,玡,程,34.1,2.29,1.7,0.65,36.6,33.2,61.7,69.7,64.0,40.0,28.2,97.0,7.1,2.72,360.0,357.0,5.8,4.6
2019-07-23,玡,程,33.3,2.13,0.6,0.26,16.6,36.9,53.5,74.4,38.0,23.0,1.8,91.0,11.0,2.3,358.0,352.0,4.4,4.2
2019-07-30,玡,程,33.5,2.13,0.85,0.5,10.6,27.3,35.0,83.6,59.0,41.0,51.4,95.0,7.2,2.32,359.0,360.0,4.9,4.1
2019-08-06,玡,程,33.3,2.3,0.81,0.3,16.5,26.0,37.1,87.3,88.0,32.0,12.2,93.0,13.1,2.57,360.0,360.0,7.8,7.0
2019-08-13,玡,程,31.6,2.18,1.69,0.73,31.6,39.6,59.2,38.0,47.0,23.0,23.4,96.0,10.4,2.76,359.0,359.0,5.3,5.5
2019-08-20,玡,程,32.1,2.4,0.83,0.34,15.0,32.6,47.6,71.3,74.0,51.0,28.6,95.0,10.6,2.55,358.0,359.0,6.4,5.5
2019-08-27,玡,程,33.2,2.1,0.69,0.36,31.0,28.9,47.0,75.9,58.0,46.0,5.8,90.0,10.1,2.33,358.0,359.0,5.0,4.2
2019-09-03,玡,程,31.9,2.12,0.82,0.37,21.2,23.6,44.1,64.8,47.0,31.0,42.0,95.0,6.5,2.49,360.0,358.0,4.4,3.7
2019-09-10,玡,程,32.0,2.09,1.56,0.51,9.3,39.8,46.6,83.4,57.0,47.0,32.6,92.0,8.8,2.59,358.0,360.0,5.3,3.8
2019-09-17,玡,程,31.8,2.24,0.65,0.24,7.6,22.0,27.1,101.5,180.0,49.0,0.0,83.0,5.9,2.42,360.0,359.0,7.5,5.9
2019-09-24,玡,程,32.0,2.27,0.83,0.36,6.2,27.4,30.0,111.7,124.0,51.0,0.2,87.0,7.0,2.62,360.0,358.0,5.8,4.7
2019-10-01,玡,程,31.7,2.23,0.99,0.33,15.5,30.3,34.2,109.9,81.0,61.0,0.6,88.0,4.5,2.39,359.0,359.0,5.8,5.5
2019-10-08,玡,程,30.8,2.07,0.52,0.2,5.0,16.7,21.7,78.3,114.0,48.0,5.4,92.0,4.2,2.21,356.0,359.0,4.5,3.9
2019-10-15,玡,程,30.4,2.18,0.72,0.35,14.8,29.3,42.0,77.1,156.0,47.0,0.0,83.0,6.6,2.46,358.0,359.0,4.8,4.1
2019-10-22,玡,程,29.5,2.21,0.85,0.62,10.8,34.1,42.6,84.2,86.0,43.0,0.0,86.0,5.3,2.47,360.0,359.0,5.2,4.2
2019-10-29,玡,程,30.2,2.29,0.98,0.8,12.2,39.4,45.1,102.6,232.0,70.0,0.4,88.0,7.5,2.73,360.0,360.0,5.5,4.1
2019-11-05,玡,程,28.8,2.23,0.84,0.49,11.4,32.0,38.3,102.2,170.0,67.0,0.4,84.0,6.9,2.52,357.0,360.0,4.2,3.4
2019-11-12,玡,程,30.3,2.21,1.0,0.39,7.4,32.6,40.0,104.1,154.0,60.0,0.0,85.0,6.3,2.5,354.0,355.0,4.6,4.4
2019-11-19,玡,程,28.7,2.16,1.02,0.39,15.8,40.6,47.4,87.0,125.0,53.0,0.0,90.0,6.3,2.55,360.0,356.0,5.0,3.8
