ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2019-01-01,く猌,程,17.3,1.99,0.36,0.07,0.3,8.3,9.9,2.2,31.0,7.0,0.0,62.0,1.6,2.07,6.0,6.0,0.4,0.1
2019-01-08,く猌,程,18.4,2.0,0.36,0.06,0.0,9.7,11.8,2.3,39.0,14.0,0.0,58.0,1.9,2.09,0.0,33.0,0.4,0.2
2019-01-15,く猌,程,15.4,2.0,0.33,0.08,0.0,6.4,7.2,3.7,17.0,13.0,0.0,46.0,1.5,2.07,1.0,2.0,0.5,0.1
2019-01-22,く猌,程,12.5,1.97,0.29,0.05,0.0,10.2,10.4,3.0,37.0,19.0,0.0,48.0,1.3,2.02,52.0,42.0,0.4,0.2
2019-01-29,く猌,程,16.5,1.9,0.2,0.04,0.0,5.8,6.0,2.5,19.0,2.0,0.0,43.0,1.7,1.94,6.0,9.0,0.4,0.1
2019-02-05,く猌,程,17.6,1.87,0.24,0.02,0.0,3.1,3.6,6.4,14.0,9.0,0.0,29.0,1.3,1.9,1.0,36.0,0.4,0.1
2019-02-12,く猌,程,17.3,1.88,0.18,0.03,0.0,6.2,6.3,2.9,19.0,2.0,0.0,54.0,1.5,1.92,5.0,14.0,0.4,0.1
2019-02-19,く猌,程,17.5,1.82,0.12,0.02,0.0,5.4,5.5,2.9,12.0,1.0,0.0,47.0,1.4,1.85,14.0,1.0,0.4,0.1
2019-02-26,く猌,程,18.6,1.9,0.25,0.03,0.3,4.9,5.8,3.0,16.0,5.0,0.0,58.0,1.5,1.93,11.0,6.0,0.4,0.3
2019-03-05,く猌,程,15.5,1.87,0.21,0.01,0.0,5.3,7.0,3.0,5.0,1.0,0.0,41.0,1.2,1.9,2.0,3.0,0.4,0.0
2019-03-12,く猌,程,17.4,1.91,0.22,0.03,0.0,6.9,7.6,2.6,24.0,9.0,0.0,51.0,1.8,1.95,1.0,6.0,0.4,0.1
2019-03-19,く猌,程,17.3,1.84,0.17,0.01,0.3,5.8,7.3,2.5,18.0,2.0,0.0,57.0,1.3,1.86,2.0,0.0,0.4,0.3
2019-03-26,く猌,程,19.7,1.84,0.18,0.01,0.3,5.2,6.9,2.4,14.0,2.0,0.0,55.0,1.4,1.85,0.0,2.0,0.4,0.2
2019-04-02,く猌,程,19.5,1.9,0.28,0.02,0.3,4.3,4.6,5.0,25.0,6.0,0.0,54.0,1.1,1.93,4.0,4.0,0.4,0.1
2019-04-09,く猌,程,21.9,1.83,0.2,0.01,0.0,4.2,6.4,4.9,15.0,9.0,0.0,58.0,0.5,1.85,6.0,17.0,0.6,0.1
2019-04-16,く猌,程,21.1,1.78,0.17,0.01,0.0,5.3,6.3,4.7,5.0,1.0,0.0,48.0,1.6,1.8,0.0,12.0,0.4,0.1
2019-04-23,く猌,程,24.9,1.77,0.05,0.01,0.0,3.2,4.1,3.2,10.0,1.0,0.0,47.0,1.1,1.79,6.0,3.0,0.4,0.1
2019-04-30,く猌,程,21.5,1.79,0.05,0.02,0.0,2.3,3.7,6.4,5.0,2.0,0.0,60.0,1.4,1.81,0.0,2.0,0.4,0.1
2019-05-07,く猌,程,21.3,1.86,0.21,0.02,0.0,3.5,4.1,3.0,22.0,3.0,0.0,60.0,1.1,1.88,1.0,5.0,0.4,0.2
2019-05-14,く猌,程,23.4,1.76,0.05,0.01,0.0,2.2,3.0,4.1,5.0,1.0,0.0,62.0,1.6,1.76,18.0,11.0,0.4,0.2
2019-05-21,く猌,程,23.5,1.8,0.19,0.02,0.3,4.9,5.1,2.3,5.0,1.0,0.0,51.0,1.7,1.85,1.0,16.0,0.4,0.0
2019-05-28,く猌,程,24.8,1.74,0.05,0.01,0.0,2.9,4.2,2.1,5.0,1.0,0.0,59.0,1.1,1.75,3.0,26.0,0.4,0.2
2019-06-04,く猌,程,24.8,1.77,0.05,0.01,0.0,0.3,1.1,2.7,5.0,1.0,0.0,56.0,0.5,1.77,14.0,36.0,0.4,0.1
2019-06-11,く猌,程,25.0,1.78,0.11,0.02,0.3,1.0,1.3,2.3,5.0,1.0,0.0,60.0,1.6,1.84,1.0,1.0,0.4,0.0
2019-06-18,く猌,程,26.5,1.76,0.05,0.01,0.0,1.7,3.2,2.5,5.0,1.0,0.0,56.0,1.4,1.77,5.0,3.0,0.4,0.2
2019-06-25,く猌,程,24.4,1.78,0.14,0.01,0.3,2.7,3.9,3.9,0.0,1.0,0.0,63.0,1.9,1.8,10.0,6.0,0.5,0.2
2019-07-02,く猌,程,25.4,1.78,0.11,0.02,0.0,1.1,1.7,2.1,0.0,1.0,0.0,68.0,1.1,1.8,3.0,6.0,0.4,0.1
2019-07-09,く猌,程,25.2,1.77,0.05,0.01,0.3,2.3,3.1,4.5,0.0,1.0,0.0,63.0,1.3,1.78,9.0,2.0,0.6,0.2
2019-07-16,く猌,程,24.1,1.78,0.12,0.02,0.3,1.9,2.2,2.4,0.0,1.0,0.0,62.0,1.1,1.82,1.0,9.0,0.4,0.1
2019-07-23,く猌,程,26.2,1.75,0.11,0.01,0.0,3.6,4.0,3.0,5.0,1.0,0.0,58.0,1.5,1.76,1.0,5.0,0.4,0.1
2019-07-30,く猌,程,25.6,1.78,0.1,0.01,0.3,2.2,2.9,4.0,5.0,1.0,0.0,60.0,1.3,1.79,8.0,2.0,0.4,0.2
2019-08-06,く猌,程,26.5,1.76,0.05,0.0,0.3,0.8,1.0,5.0,5.0,1.0,0.0,69.0,1.0,1.78,4.0,11.0,0.4,0.1
2019-08-13,く猌,程,25.1,1.8,0.05,0.01,0.0,1.0,1.2,2.7,5.0,1.0,0.0,71.0,1.3,1.81,3.0,1.0,0.5,0.3
2019-08-20,く猌,程,25.1,1.79,0.1,0.01,0.3,0.3,0.6,3.8,5.0,1.0,0.0,62.0,1.4,1.81,9.0,18.0,0.6,0.2
2019-08-27,く猌,程,25.3,1.77,0.11,0.01,0.0,4.0,4.9,2.7,5.0,1.0,0.0,66.0,1.4,1.78,3.0,0.0,0.4,0.1
2019-09-03,く猌,程,25.4,1.72,0.05,0.01,0.3,2.4,3.0,2.4,5.0,1.0,0.0,65.0,1.1,1.77,20.0,14.0,0.5,0.3
2019-09-10,く猌,程,25.1,1.76,0.13,0.01,0.3,2.5,2.9,7.0,5.0,3.0,0.0,60.0,1.3,1.78,5.0,21.0,0.4,0.3
2019-09-17,く猌,程,23.8,1.86,0.18,0.02,0.3,5.0,5.3,6.9,16.0,6.0,0.0,47.0,1.2,1.88,2.0,6.0,0.5,0.2
2019-09-24,く猌,程,24.6,1.81,0.15,0.03,0.0,4.8,5.1,11.2,18.0,7.0,0.0,57.0,1.5,1.86,6.0,6.0,0.4,0.1
2019-10-01,く猌,程,25.0,1.78,0.1,0.02,0.3,1.7,2.1,10.1,15.0,6.0,0.0,52.0,1.5,1.8,0.0,9.0,0.6,0.2
2019-10-08,く猌,程,25.2,1.85,0.18,0.02,0.0,4.1,4.7,NaN,21.0,10.0,0.0,61.0,0.5,1.86,11.0,14.0,0.5,0.1
2019-10-15,く猌,程,22.6,1.86,0.21,0.03,0.0,6.6,6.6,NaN,41.0,17.0,0.0,52.0,1.5,1.9,1.0,0.0,0.4,0.4
2019-10-22,く猌,程,23.6,1.87,0.24,0.03,0.0,5.9,6.0,NaN,32.0,16.0,0.0,54.0,2.0,1.91,1.0,11.0,0.4,0.1
2019-10-29,く猌,程,22.5,1.85,0.23,0.03,0.3,6.0,6.5,3.0,34.0,14.0,0.0,58.0,1.8,1.89,15.0,6.0,0.6,0.2
2019-11-05,く猌,程,19.7,1.84,0.21,0.04,0.3,6.9,7.4,3.3,31.0,12.0,0.0,49.0,2.1,1.88,5.0,23.0,0.5,0.2
2019-11-12,く猌,程,20.7,1.84,0.25,0.04,0.3,6.9,7.9,4.9,36.0,15.0,0.0,44.0,1.5,1.89,2.0,1.0,0.4,0.1
2019-11-19,く猌,程,19.6,1.81,0.18,0.03,0.3,5.7,6.4,2.5,18.0,10.0,0.0,57.0,1.2,1.83,8.0,38.0,0.4,0.2
