ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2019-01-01,奸,程,18.0,NaN,0.19,NaN,0.0,6.0,6.6,1.8,25.0,5.0,0.0,58.0,1.2,NaN,6.0,1.0,0.4,0.1
2019-01-08,奸,程,18.9,NaN,0.27,NaN,0.0,6.6,7.0,1.9,32.0,15.0,0.0,52.0,0.5,NaN,3.0,7.0,0.4,0.1
2019-01-15,奸,程,15.7,NaN,0.3,NaN,0.0,5.9,6.4,3.1,25.0,20.0,0.0,54.0,0.5,NaN,6.0,1.0,0.4,0.1
2019-01-22,奸,程,12.9,NaN,0.23,NaN,0.3,6.8,6.9,3.8,56.0,19.0,0.0,46.0,0.5,NaN,1.0,1.0,0.4,0.3
2019-01-29,奸,程,15.2,NaN,0.18,NaN,0.3,2.1,2.9,4.5,14.0,1.0,0.0,34.0,0.5,NaN,2.0,1.0,0.4,0.1
2019-02-05,奸,程,16.6,NaN,0.16,NaN,0.3,1.4,3.3,5.8,15.0,5.0,0.0,23.0,0.5,NaN,3.0,1.0,0.4,0.1
2019-02-12,奸,程,18.3,NaN,0.13,NaN,0.3,2.4,4.3,4.9,11.0,1.0,0.0,40.0,0.5,NaN,1.0,4.0,0.4,0.2
2019-02-19,奸,程,18.8,NaN,0.1,NaN,0.3,1.7,2.3,6.0,14.0,1.0,0.0,42.0,1.3,NaN,1.0,10.0,0.4,0.3
2019-02-26,奸,程,17.9,NaN,0.18,NaN,0.3,1.5,1.9,6.4,14.0,4.0,0.0,46.0,0.5,NaN,1.0,2.0,0.4,0.0
2019-03-05,奸,程,17.6,NaN,0.15,NaN,0.3,2.6,3.2,2.4,10.0,4.0,0.0,30.0,0.5,NaN,0.0,6.0,0.4,0.0
2019-03-12,奸,程,18.0,NaN,0.23,NaN,0.3,4.1,5.8,1.3,32.0,10.0,0.0,34.0,0.5,NaN,1.0,2.0,0.4,0.1
2019-03-19,奸,程,17.9,NaN,0.14,NaN,0.0,2.5,2.8,1.7,14.0,1.0,0.0,39.0,0.5,NaN,1.0,0.0,0.4,0.2
2019-03-26,奸,程,19.1,NaN,0.18,NaN,0.3,2.1,4.5,1.8,21.0,1.0,0.0,50.0,1.0,NaN,3.0,4.0,0.4,0.1
2019-04-02,奸,程,20.5,NaN,0.28,NaN,0.3,4.0,5.2,2.9,35.0,16.0,0.0,38.0,0.5,NaN,2.0,1.0,0.4,0.1
2019-04-09,奸,程,21.3,NaN,0.14,NaN,0.5,1.7,3.3,3.3,15.0,7.0,0.0,26.0,0.5,NaN,8.0,2.0,0.5,0.1
2019-04-16,奸,程,21.9,NaN,0.18,NaN,0.3,3.1,4.4,3.1,5.0,1.0,0.0,40.0,0.5,NaN,1.0,0.0,0.4,0.1
2019-04-23,奸,程,22.5,NaN,0.05,NaN,0.5,0.9,2.4,2.2,16.0,1.0,0.0,41.0,0.5,NaN,9.0,1.0,0.4,0.1
2019-04-30,奸,程,21.6,NaN,0.12,NaN,0.3,2.1,3.4,8.7,5.0,2.0,0.0,51.0,0.5,NaN,2.0,2.0,0.4,0.1
2019-05-07,奸,程,21.8,NaN,0.2,NaN,0.3,3.4,4.5,6.7,16.0,2.0,0.0,51.0,0.5,NaN,8.0,9.0,0.4,0.0
2019-05-14,奸,程,22.9,NaN,0.11,NaN,0.5,2.3,3.6,1.5,5.0,1.0,0.0,48.0,0.5,NaN,1.0,1.0,0.4,0.1
2019-05-21,奸,程,22.8,NaN,0.12,NaN,0.0,3.0,3.8,8.0,5.0,1.0,0.0,44.0,0.5,NaN,0.0,0.0,0.4,0.0
2019-05-28,奸,程,24.4,NaN,0.05,NaN,0.3,1.1,1.7,1.6,5.0,1.0,0.0,37.0,0.5,NaN,0.0,1.0,0.4,0.1
2019-06-04,奸,程,24.4,NaN,0.05,NaN,0.3,1.0,1.9,1.4,5.0,1.0,0.0,46.0,0.5,NaN,1.0,2.0,0.4,0.0
2019-06-11,奸,程,24.9,NaN,0.05,NaN,0.3,1.2,2.3,3.6,5.0,1.0,0.0,51.0,0.5,NaN,0.0,8.0,0.4,0.1
2019-06-18,奸,程,25.2,NaN,0.05,NaN,0.3,1.3,1.8,1.5,5.0,1.0,0.0,43.0,0.5,NaN,2.0,1.0,0.4,0.2
2019-06-25,奸,程,25.3,NaN,0.05,NaN,0.3,0.0,0.3,3.7,5.0,1.0,0.0,56.0,0.5,NaN,12.0,7.0,0.4,0.2
2019-07-02,奸,程,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-07-09,奸,程,24.8,NaN,0.05,NaN,0.3,0.3,1.2,2.4,5.0,1.0,0.0,45.0,0.0,NaN,0.0,18.0,0.4,0.0
2019-07-16,奸,程,23.7,NaN,0.05,NaN,0.9,0.0,1.7,3.3,0.0,1.0,0.0,55.0,0.5,NaN,1.0,8.0,0.4,0.1
2019-07-23,奸,程,24.7,NaN,0.05,NaN,0.3,0.3,2.2,2.6,0.0,1.0,0.0,50.0,0.5,NaN,1.0,0.0,0.4,0.1
2019-07-30,奸,程,24.5,NaN,0.05,NaN,0.3,1.0,1.9,3.0,5.0,1.0,0.0,46.0,0.5,NaN,1.0,1.0,0.4,0.1
2019-08-06,奸,程,25.4,NaN,0.05,NaN,0.3,0.8,1.7,2.6,5.0,1.0,0.0,55.0,0.0,NaN,1.0,0.0,0.4,0.2
2019-08-13,奸,程,24.5,NaN,0.05,NaN,0.3,0.3,0.3,3.7,5.0,1.0,0.0,64.0,0.5,NaN,2.0,11.0,0.4,0.1
2019-08-20,奸,程,24.4,NaN,0.05,NaN,0.3,0.0,0.3,3.5,5.0,3.0,0.0,55.0,1.1,NaN,4.0,1.0,0.4,0.1
2019-08-27,奸,程,24.0,NaN,0.05,NaN,0.3,0.3,2.1,2.3,5.0,1.0,0.0,57.0,0.5,NaN,0.0,4.0,0.4,0.0
2019-09-03,奸,程,24.2,NaN,0.05,NaN,0.3,0.3,1.4,4.5,0.0,1.0,0.0,59.0,0.5,NaN,8.0,17.0,0.4,0.0
2019-09-10,奸,程,23.7,NaN,0.13,NaN,0.3,1.1,2.5,7.0,5.0,3.0,0.0,53.0,0.5,NaN,4.0,10.0,0.5,0.2
2019-09-17,奸,程,23.6,NaN,0.18,NaN,0.3,0.9,2.1,8.4,19.0,8.0,0.0,55.0,0.5,NaN,1.0,1.0,0.4,0.1
2019-09-24,奸,程,22.9,NaN,0.13,NaN,0.3,1.9,3.3,10.6,22.0,7.0,0.0,52.0,0.5,NaN,8.0,6.0,0.4,0.0
2019-10-01,奸,程,23.8,NaN,0.05,NaN,0.3,1.2,2.0,5.5,14.0,3.0,0.0,50.0,0.5,NaN,7.0,13.0,0.4,0.2
2019-10-08,奸,程,23.7,NaN,0.17,NaN,0.0,1.3,3.4,8.9,24.0,10.0,0.0,60.0,0.5,NaN,31.0,14.0,0.4,0.1
2019-10-15,奸,程,22.4,NaN,0.13,NaN,0.0,1.0,1.9,9.2,14.0,7.0,0.0,55.0,0.5,NaN,11.0,7.0,0.4,0.0
2019-10-22,奸,程,21.7,NaN,0.21,NaN,0.0,1.8,3.4,12.1,27.0,15.0,0.0,52.0,0.5,NaN,38.0,4.0,0.4,0.4
2019-10-29,奸,程,22.3,NaN,0.28,NaN,0.0,2.9,4.4,3.3,33.0,21.0,0.0,58.0,1.0,NaN,2.0,16.0,0.4,0.0
2019-11-05,奸,程,18.9,NaN,0.15,NaN,0.3,2.7,3.9,3.3,18.0,10.0,0.0,50.0,0.5,NaN,4.0,5.0,0.4,0.0
2019-11-12,奸,程,18.7,NaN,0.21,NaN,0.3,2.8,3.7,7.9,21.0,11.0,0.0,40.0,0.5,NaN,1.0,4.0,0.4,0.2
2019-11-19,奸,程,19.4,NaN,0.2,NaN,0.0,4.4,5.8,3.8,20.0,9.0,0.0,53.0,0.5,NaN,1.0,0.0,0.4,0.0
2019-11-26,奸,程,16.3,NaN,0.23,NaN,0.0,4.8,5.2,2.6,29.0,13.0,0.0,52.0,0.5,NaN,6.0,1.0,0.4,0.1
2019-12-03,奸,程,12.5,NaN,0.18,NaN,0.0,2.1,2.7,3.5,10.0,7.0,0.0,45.0,0.5,NaN,2.0,2.0,0.4,0.1
2019-12-10,奸,程,13.2,NaN,0.15,NaN,0.0,3.1,3.4,3.7,21.0,8.0,0.0,36.0,0.5,NaN,14.0,0.0,0.4,0.1
2019-12-17,奸,程,18.2,NaN,0.2,NaN,0.0,5.0,5.6,1.3,19.0,6.0,0.0,47.0,0.5,NaN,2.0,3.0,0.4,0.1
2019-12-24,奸,程,18.1,NaN,0.24,NaN,0.0,4.9,7.1,1.2,5.0,10.0,0.0,47.0,0.5,NaN,7.0,5.0,0.4,0.1
