ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2020-01-01,┚,程,26.7,2.35,2.57,1.27,87.1,72.8,147.1,73.8,106.0,73.0,0.0,90.0,4.9,3.44,359.0,359.0,3.5,3.0
2020-01-08,┚,程,24.9,2.17,1.29,0.48,37.4,43.3,69.3,60.1,69.0,40.0,0.0,88.0,7.3,2.61,359.0,359.0,3.9,3.0
2020-01-15,┚,程,24.8,2.08,1.21,0.4,66.3,48.1,102.5,64.4,63.0,45.0,0.0,85.0,4.3,2.47,360.0,360.0,4.5,3.2
2020-01-22,┚,程,27.9,2.58,2.05,0.84,59.0,58.8,114.7,65.1,102.0,72.0,6.4,91.0,8.7,3.32,360.0,359.0,4.5,2.9
2020-01-29,┚,程,22.5,2.17,0.97,0.35,30.4,42.2,58.7,65.1,64.0,55.0,0.4,86.0,3.6,2.52,360.0,360.0,4.1,2.9
2020-02-05,┚,程,25.2,2.02,1.03,0.56,29.2,54.0,62.0,69.6,81.0,40.0,0.4,88.0,5.6,2.43,360.0,359.0,4.6,3.1
2020-02-12,┚,程,29.1,2.56,1.63,0.83,45.8,68.6,77.4,81.9,96.0,69.0,0.6,88.0,7.6,3.33,359.0,357.0,4.8,3.6
2020-02-19,┚,程,28.6,2.2,1.25,0.63,40.8,43.3,74.0,68.2,123.0,70.0,0.0,90.0,6.0,2.67,359.0,358.0,4.1,3.1
2020-02-26,┚,程,28.2,2.41,1.4,0.67,69.3,47.0,105.5,61.0,101.0,48.0,0.0,85.0,8.3,2.92,360.0,359.0,3.8,3.2
2020-03-04,┚,程,31.6,2.3,1.05,0.56,37.9,41.6,70.9,59.5,81.0,41.0,7.6,90.0,17.3,2.81,358.0,360.0,4.9,3.5
2020-03-11,┚,程,28.0,2.23,1.01,0.5,19.5,47.4,52.4,88.9,84.0,50.0,8.2,89.0,8.4,2.48,359.0,354.0,3.8,2.9
2020-03-18,┚,程,29.6,2.17,1.15,0.52,40.8,52.5,72.1,67.1,81.0,52.0,2.0,88.0,7.4,2.61,360.0,359.0,3.7,2.9
2020-03-25,┚,程,32.0,2.2,1.0,0.51,22.9,42.9,55.3,73.6,84.0,47.0,1.4,87.0,4.7,2.63,360.0,359.0,5.0,3.8
2020-04-01,┚,程,25.5,1.84,0.78,0.37,12.6,38.8,49.9,52.1,51.0,28.0,4.6,92.0,3.1,2.2,359.0,360.0,4.6,3.0
2020-04-08,┚,程,31.8,2.09,0.81,0.4,26.3,54.3,58.5,74.7,72.0,44.0,2.0,85.0,4.8,2.48,360.0,360.0,4.8,2.9
2020-04-15,┚,程,31.8,2.1,1.13,0.62,21.3,68.1,72.5,77.4,77.0,61.0,0.0,84.0,12.0,2.67,353.0,356.0,3.4,2.7
2020-04-22,┚,程,32.2,2.37,1.06,0.75,35.1,47.5,75.5,66.8,74.0,36.0,3.2,86.0,3.4,3.12,360.0,359.0,3.8,2.9
2020-04-29,┚,程,34.7,2.08,0.85,0.37,10.4,39.6,42.2,81.0,75.0,39.0,0.0,95.0,6.2,2.41,352.0,358.0,3.7,3.0
2020-05-06,┚,程,36.0,1.85,0.78,0.28,10.5,27.9,29.3,57.7,57.0,34.0,0.0,98.0,6.9,2.12,359.0,360.0,4.1,3.3
2020-05-13,┚,程,34.4,1.99,0.84,0.42,13.3,36.6,43.9,93.3,65.0,34.0,24.2,99.0,6.6,2.34,360.0,358.0,4.3,3.4
2020-05-20,┚,程,35.0,2.03,0.88,0.41,15.8,35.6,40.8,65.9,42.0,21.0,22.6,95.0,6.2,2.4,358.0,358.0,3.4,2.7
2020-05-27,┚,程,36.4,1.95,0.74,0.38,9.7,32.4,37.0,53.0,46.0,33.0,13.6,93.0,3.7,2.23,355.0,345.0,5.0,3.8
2020-06-03,┚,程,36.0,1.9,0.81,0.33,38.5,24.4,52.9,37.1,29.0,14.0,20.6,90.7,3.1,2.21,322.0,355.0,4.4,3.08
2020-06-10,┚,程,36.9,1.83,0.6,0.27,14.7,22.0,27.5,56.5,32.0,17.0,24.8,91.1,3.9,2.07,359.0,351.0,3.94,3.05
2020-06-17,┚,程,36.8,1.7,0.4,0.15,9.4,16.8,19.8,42.6,41.0,29.0,1.2,83.2,3.7,1.81,270.0,277.0,3.87,2.99
2020-06-24,┚,程,37.6,1.79,0.33,0.13,5.7,17.6,20.8,42.4,28.0,17.0,4.0,86.3,3.5,1.89,276.0,284.0,4.46,3.32
2020-07-01,┚,程,35.9,1.83,0.71,0.33,12.2,26.2,30.8,48.1,58.0,15.0,20.4,88.9,3.3,2.0,300.0,319.0,4.03,2.8
2020-07-08,┚,程,38.1,1.75,0.4,0.16,14.1,17.6,30.9,59.7,35.0,19.0,8.4,85.1,7.6,1.82,319.0,345.0,4.23,3.19
2020-07-15,┚,程,37.7,1.8,0.58,0.18,15.1,14.7,25.5,52.4,30.0,18.0,13.0,87.2,7.4,1.92,346.0,359.0,3.58,3.08
2020-07-22,┚,程,37.6,1.92,0.58,0.36,13.8,24.5,31.3,59.4,32.0,19.0,0.4,85.5,8.2,2.19,336.0,342.0,3.87,3.05
2020-07-29,┚,程,38.1,1.98,0.48,0.2,11.0,25.7,28.0,84.5,47.0,34.0,41.4,92.2,7.4,2.12,358.0,356.0,3.97,3.01
2020-08-05,┚,程,36.6,2.3,0.66,0.36,26.0,29.8,47.3,68.9,41.0,19.0,3.6,92.0,9.8,2.54,357.0,356.0,4.4,3.4
2020-08-12,┚,程,36.3,2.3,0.88,0.38,16.5,31.7,38.7,96.4,63.0,41.0,39.8,92.0,18.1,2.5,355.0,358.0,3.7,3.0
2020-08-19,┚,程,36.8,2.35,0.57,0.35,9.2,23.5,29.4,85.9,63.0,42.0,0.8,84.0,10.4,2.48,355.0,359.0,4.4,3.3
2020-08-26,┚,程,37.8,2.5,0.51,0.26,8.5,19.9,24.5,76.7,38.0,30.0,10.4,91.0,5.8,2.76,360.0,359.0,4.5,3.2
2020-09-02,┚,程,35.6,2.35,0.79,0.27,14.1,26.6,32.3,110.0,59.0,41.0,7.8,89.0,12.6,2.56,359.0,360.0,4.1,3.3
2020-09-09,┚,程,34.6,2.25,0.66,0.28,17.2,25.6,33.9,80.1,57.0,41.0,23.6,92.0,8.7,2.46,354.0,359.0,4.1,3.1
2020-09-16,┚,程,35.8,2.25,0.73,0.33,7.9,26.6,32.8,83.2,56.0,36.0,0.0,86.0,7.1,2.57,359.0,359.0,4.3,3.5
2020-09-23,┚,程,33.9,2.14,0.66,0.34,19.5,28.8,41.1,99.5,63.0,29.0,3.2,92.0,3.8,2.43,360.0,360.0,4.0,3.4
2020-09-30,┚,程,33.8,2.24,0.66,0.26,8.5,25.2,30.4,91.0,55.0,37.0,0.0,87.0,6.3,2.49,359.0,359.0,4.3,3.4
2020-10-07,┚,程,32.7,2.06,0.5,0.52,4.6,24.1,26.8,72.4,47.0,22.0,0.0,90.0,3.6,2.3,360.0,360.0,4.0,3.3
2020-10-14,┚,程,31.8,2.01,0.69,0.29,16.8,27.1,40.7,83.5,62.0,38.0,0.0,85.0,4.6,2.3,360.0,360.0,4.3,3.1
2020-10-21,┚,程,32.2,2.19,0.84,0.46,60.1,34.6,93.2,75.1,56.0,30.0,0.6,90.0,4.3,2.55,358.0,360.0,5.1,3.7
2020-10-28,┚,程,32.7,2.35,0.86,0.44,32.6,36.3,64.3,68.8,88.0,36.0,0.0,78.0,5.3,2.75,360.0,359.0,4.0,3.2
2020-11-04,┚,程,30.1,2.05,0.73,0.29,14.6,33.4,42.3,65.7,56.0,41.0,0.4,88.0,3.7,2.31,360.0,359.0,4.4,3.0
2020-11-11,┚,程,30.2,2.29,1.1,0.51,41.8,44.6,65.4,68.7,89.0,51.0,0.6,84.0,9.5,2.68,359.0,357.0,3.1,2.6
2020-11-18,┚,程,32.5,2.46,1.21,0.73,37.7,48.4,75.4,62.3,84.0,54.0,0.0,86.0,4.0,3.14,360.0,359.0,4.2,3.0
2020-11-25,┚,程,29.3,2.31,0.97,0.58,32.1,36.0,63.7,73.3,65.0,40.0,0.0,83.0,3.5,2.8,359.0,360.0,3.8,3.0
2020-12-02,┚,程,26.6,1.97,0.42,0.16,4.3,18.4,20.3,43.3,46.0,17.0,0.4,80.0,2.8,2.1,360.0,360.0,4.7,3.4
2020-12-09,┚,程,26.2,2.27,0.9,0.54,28.2,33.5,58.0,59.4,67.0,47.0,6.8,90.0,3.2,2.63,360.0,358.0,3.7,2.7
2020-12-16,┚,程,25.5,2.32,0.73,0.45,39.4,32.0,61.5,50.7,46.0,24.0,0.4,81.0,3.1,2.77,360.0,358.0,4.9,3.6
2020-12-23,┚,程,28.2,2.25,1.01,0.5,26.7,39.1,54.5,48.2,73.0,41.0,1.8,89.0,3.8,2.59,360.0,358.0,6.2,4.2
