ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2020-01-01,,程,NaN,4.8,3.84,1.11,139.7,65.9,179.1,NaN,69.0,55.0,0.0,NaN,5.8,5.58,NaN,NaN,NaN,NaN
2020-01-08,,程,NaN,3.22,3.98,1.12,197.7,64.9,232.3,NaN,65.0,36.0,3.2,NaN,6.3,3.79,NaN,NaN,NaN,NaN
2020-01-15,,程,NaN,2.39,4.38,1.26,144.9,57.0,192.2,NaN,75.0,47.0,0.4,NaN,5.1,3.35,NaN,NaN,NaN,NaN
2020-01-22,,程,NaN,5.77,2.93,1.16,121.6,90.8,163.9,NaN,94.0,63.0,5.0,NaN,5.7,6.3,NaN,NaN,NaN,NaN
2020-01-29,,程,NaN,2.51,3.72,1.17,174.9,55.7,213.9,NaN,66.0,42.0,3.0,NaN,5.8,3.24,NaN,NaN,NaN,NaN
2020-02-05,,程,NaN,2.73,4.35,1.16,164.3,87.4,209.3,NaN,81.0,57.0,2.2,NaN,5.2,3.57,NaN,NaN,NaN,NaN
2020-02-12,,程,NaN,4.18,4.0,1.16,178.5,61.1,217.9,NaN,77.0,60.0,3.6,NaN,6.0,5.03,NaN,NaN,NaN,NaN
2020-02-19,,程,NaN,3.23,5.03,1.38,223.5,69.8,262.4,NaN,96.0,71.0,0.0,NaN,6.2,3.54,NaN,NaN,NaN,NaN
2020-02-26,,程,NaN,3.11,3.37,1.0,166.3,51.5,206.6,NaN,79.0,54.0,0.0,NaN,4.9,3.62,NaN,NaN,NaN,NaN
2020-03-04,,程,NaN,3.75,3.79,1.29,140.5,54.9,195.3,NaN,67.0,46.0,2.8,NaN,6.4,4.3,NaN,NaN,NaN,NaN
2020-03-11,,程,NaN,2.8,3.67,1.11,159.7,61.3,211.1,NaN,81.0,37.0,19.8,NaN,52.2,3.79,NaN,NaN,NaN,NaN
2020-03-18,,程,NaN,4.98,4.94,1.61,186.6,57.0,218.7,NaN,85.0,52.0,1.6,NaN,6.2,5.43,NaN,NaN,NaN,NaN
