ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2020-01-01,狶,程,24.5,NaN,1.11,NaN,55.9,53.6,105.1,59.0,83.0,53.0,0.0,98.0,7.9,NaN,342.0,346.0,5.2,4.2
2020-01-08,狶,程,23.6,NaN,0.83,NaN,18.4,49.3,66.9,62.9,57.0,35.0,2.0,97.0,5.7,NaN,359.0,358.0,6.2,5.9
2020-01-15,狶,程,20.4,NaN,0.71,NaN,7.1,32.9,35.5,50.7,56.0,42.0,2.2,98.0,2.8,NaN,358.0,357.0,5.1,4.5
2020-01-22,狶,程,24.6,NaN,1.25,NaN,45.7,70.6,88.6,84.2,72.0,50.0,5.8,99.0,5.2,NaN,359.0,358.0,5.5,4.5
2020-01-29,狶,程,19.2,NaN,0.65,NaN,25.0,28.3,53.0,55.9,51.0,44.0,1.6,98.0,2.4,NaN,360.0,358.0,5.3,4.6
2020-02-05,狶,程,22.2,NaN,0.89,NaN,61.5,40.7,97.4,49.8,66.0,39.0,2.0,99.0,5.5,NaN,359.0,351.0,5.8,5.2
2020-02-12,狶,程,25.9,NaN,1.17,NaN,39.1,57.3,77.6,70.2,81.0,51.0,9.8,98.0,5.0,NaN,356.0,360.0,6.5,5.8
2020-02-19,狶,程,26.3,NaN,1.17,NaN,72.5,44.8,113.8,72.1,89.0,75.0,0.0,98.0,5.8,NaN,356.0,350.0,6.4,5.1
2020-02-26,狶,程,25.2,NaN,0.92,NaN,42.8,43.2,78.1,55.6,91.0,44.0,0.6,98.0,6.4,NaN,355.0,359.0,5.8,5.1
2020-03-04,狶,程,25.5,NaN,1.12,NaN,39.8,50.7,88.2,63.8,65.0,40.0,17.6,98.0,4.7,NaN,348.0,355.0,5.7,5.4
2020-03-11,狶,程,23.3,NaN,0.92,NaN,35.9,46.8,78.1,83.1,65.0,35.0,6.6,98.0,4.7,NaN,359.0,359.0,6.0,4.8
