ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2020-01-01,狶,程,13.1,NaN,0.14,NaN,0.3,2.2,2.6,1.9,5.0,2.0,0.0,51.0,0.5,NaN,49.0,43.0,0.7,0.2
2020-01-08,狶,程,11.8,NaN,0.17,NaN,0.0,2.4,3.3,2.9,5.0,2.0,0.0,59.0,0.5,NaN,13.0,11.0,0.8,0.3
2020-01-15,狶,程,10.7,NaN,0.17,NaN,0.5,2.5,3.4,17.1,5.0,1.0,0.0,58.0,0.5,NaN,6.0,4.0,0.5,0.4
2020-01-22,狶,程,9.6,NaN,0.17,NaN,0.3,0.7,1.3,3.6,0.0,1.0,0.0,56.0,0.5,NaN,1.0,2.0,0.5,0.1
2020-01-29,狶,程,9.2,NaN,0.15,NaN,0.3,1.4,2.1,5.2,5.0,4.0,0.0,48.0,0.5,NaN,2.0,7.0,0.6,0.3
2020-02-05,狶,程,12.1,NaN,0.12,NaN,0.5,0.7,1.7,2.9,5.0,1.0,0.0,55.0,0.5,NaN,6.0,1.0,0.6,0.2
2020-02-12,狶,程,8.1,NaN,0.19,NaN,0.3,1.0,2.0,2.2,0.0,1.0,0.0,49.0,0.5,NaN,0.0,3.0,0.5,0.2
2020-02-19,狶,程,12.0,NaN,0.15,NaN,0.3,1.9,2.5,5.3,5.0,4.0,0.0,51.0,0.5,NaN,16.0,13.0,0.5,0.1
2020-02-26,狶,程,13.4,NaN,0.19,NaN,0.7,0.6,2.1,4.5,5.0,4.0,0.0,58.0,0.5,NaN,1.0,1.0,0.5,0.2
2020-03-04,狶,程,12.3,NaN,0.16,NaN,0.0,1.7,2.4,2.5,5.0,2.0,0.0,63.0,0.5,NaN,4.0,10.0,0.6,0.3
2020-03-11,狶,程,13.1,NaN,0.18,NaN,0.3,1.0,1.3,6.8,5.0,1.0,0.0,33.0,0.5,NaN,4.0,2.0,0.7,0.3
2020-03-18,狶,程,16.8,NaN,0.15,NaN,0.3,2.7,2.9,3.2,5.0,6.0,0.0,52.0,0.5,NaN,2.0,1.0,0.5,0.4
2020-03-25,狶,程,12.6,NaN,0.15,NaN,0.3,1.2,1.9,2.2,5.0,1.0,0.0,53.0,0.5,NaN,4.0,4.0,0.5,0.2
2020-04-01,狶,程,14.0,NaN,0.13,NaN,0.3,1.3,1.7,21.0,0.0,2.0,0.0,64.0,0.0,NaN,13.0,5.0,1.1,0.7
