ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2020-01-01,αゎ,程,14.4,NaN,0.2,NaN,0.3,3.4,3.9,1.1,5.0,1.0,0.0,45.0,0.5,NaN,8.0,4.0,0.4,0.1
2020-01-08,αゎ,程,13.7,NaN,0.23,NaN,0.3,3.8,5.8,1.7,5.0,1.0,0.0,50.0,0.0,NaN,18.0,12.0,0.4,0.0
2020-01-15,αゎ,程,12.8,NaN,0.2,NaN,0.0,4.9,6.3,2.4,5.0,1.0,0.0,51.0,0.5,NaN,14.0,4.0,0.5,0.1
2020-01-22,αゎ,程,11.7,NaN,0.21,NaN,0.0,2.9,2.8,0.5,5.0,1.0,0.0,48.0,0.0,NaN,1.0,7.0,0.4,0.1
2020-01-29,αゎ,程,7.7,NaN,0.2,NaN,0.3,2.2,3.8,1.4,5.0,1.0,0.0,32.0,0.5,NaN,2.0,6.0,0.5,0.1
2020-02-05,αゎ,程,11.7,NaN,0.18,NaN,0.3,3.4,4.9,1.8,5.0,1.0,0.0,49.0,0.5,NaN,5.0,11.0,0.4,0.1
2020-02-12,αゎ,程,9.7,NaN,0.23,NaN,0.6,2.6,3.9,2.3,5.0,1.0,0.0,26.0,0.5,NaN,9.0,2.0,0.4,0.2
2020-02-19,αゎ,程,12.2,NaN,0.21,NaN,0.3,4.3,5.1,3.1,5.0,1.0,0.0,37.0,0.5,NaN,10.0,12.0,0.5,0.0
2020-02-26,αゎ,程,15.1,NaN,0.25,NaN,0.3,1.8,3.1,3.0,5.0,3.0,0.0,48.0,0.5,NaN,2.0,1.0,0.4,0.1
2020-03-04,αゎ,程,14.2,NaN,0.21,NaN,0.0,3.8,4.5,1.2,5.0,1.0,0.0,55.0,0.0,NaN,12.0,14.0,0.4,0.1
2020-03-11,αゎ,程,11.8,NaN,0.21,NaN,0.0,3.9,4.1,2.1,5.0,1.0,0.0,18.0,0.5,NaN,3.0,0.0,0.5,0.2
2020-03-18,αゎ,程,17.6,NaN,0.17,NaN,0.0,6.5,6.8,3.1,13.0,8.0,0.0,35.0,0.5,NaN,2.0,1.0,0.4,0.1
2020-03-25,αゎ,程,14.2,NaN,0.18,NaN,0.0,5.3,5.2,1.5,5.0,1.0,0.0,33.0,0.5,NaN,5.0,5.0,0.4,0.1
2020-04-01,αゎ,程,15.7,NaN,0.15,NaN,0.0,4.9,4.9,6.1,5.0,3.0,0.0,63.0,0.0,NaN,8.0,15.0,0.5,0.3
2020-04-08,αゎ,程,10.9,NaN,0.26,NaN,0.0,5.1,6.4,4.3,5.0,1.0,0.0,23.0,0.0,NaN,6.0,3.0,0.5,0.1
2020-04-15,αゎ,程,13.8,NaN,0.26,NaN,0.0,6.9,8.2,2.2,5.0,1.0,0.0,20.0,0.5,NaN,0.0,1.0,0.4,0.0
2020-04-22,αゎ,程,15.7,NaN,0.19,NaN,0.0,4.9,5.1,2.6,5.0,1.0,0.0,53.0,0.5,NaN,21.0,0.0,0.4,0.1
2020-04-29,αゎ,程,19.3,NaN,0.21,NaN,0.0,4.7,5.6,4.6,20.0,9.0,0.0,28.0,0.5,NaN,2.0,2.0,0.5,0.0
