ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2020-01-01,芠,程,14.5,NaN,0.14,NaN,0.0,3.7,4.3,2.1,5.0,4.0,0.0,57.0,0.5,NaN,5.0,5.0,0.4,0.2
2020-01-08,芠,程,13.6,NaN,0.18,NaN,0.0,2.5,2.8,2.6,5.0,1.0,0.0,59.0,0.0,NaN,0.0,0.0,0.6,0.2
2020-01-15,芠,程,10.2,NaN,0.19,NaN,0.0,1.4,1.4,3.6,5.0,1.0,0.0,53.0,0.5,NaN,1.0,4.0,0.6,0.4
2020-01-22,芠,程,10.5,NaN,0.17,NaN,0.0,1.2,1.2,2.3,5.0,1.0,0.0,58.0,0.0,NaN,3.0,3.0,0.4,0.1
2020-01-29,芠,程,8.4,NaN,0.12,NaN,0.0,1.1,1.0,12.3,11.0,3.0,0.0,26.0,0.0,NaN,11.0,10.0,0.4,0.2
2020-02-05,芠,程,13.0,NaN,0.12,NaN,0.0,1.1,1.2,8.4,10.0,2.0,0.0,41.0,0.0,NaN,7.0,1.0,0.5,0.3
2020-02-12,芠,程,9.4,NaN,0.13,NaN,0.0,1.9,2.5,2.0,0.0,1.0,0.0,45.0,0.5,NaN,3.0,1.0,0.4,0.2
2020-02-19,芠,程,12.1,NaN,0.15,NaN,0.0,2.9,3.0,4.1,16.0,5.0,0.0,46.0,0.5,NaN,4.0,0.0,0.4,0.1
2020-02-26,芠,程,15.0,NaN,0.22,NaN,0.0,2.2,2.7,2.2,12.0,7.0,0.0,57.0,0.0,NaN,1.0,1.0,0.4,0.1
2020-03-04,芠,程,13.3,NaN,0.15,NaN,0.0,0.5,0.8,6.0,5.0,3.0,0.0,69.0,0.0,NaN,1.0,1.0,0.5,0.3
2020-03-11,芠,程,12.6,NaN,0.2,NaN,0.0,3.8,4.2,4.8,5.0,1.0,0.0,18.0,0.0,NaN,14.0,4.0,0.5,0.1
2020-03-18,芠,程,17.4,NaN,0.13,NaN,0.0,2.1,2.6,2.6,17.0,10.0,0.0,61.0,1.0,NaN,2.0,9.0,0.4,0.2
2020-03-25,芠,程,13.6,NaN,0.13,NaN,0.0,3.5,3.7,4.7,5.0,1.0,0.0,60.0,0.5,NaN,1.0,1.0,0.4,0.2
2020-04-01,芠,程,15.1,NaN,0.16,NaN,0.0,1.0,1.2,27.5,5.0,1.0,0.0,60.0,0.5,NaN,3.0,2.0,1.1,1.1
2020-04-08,芠,程,11.6,NaN,0.15,NaN,0.0,3.2,3.7,21.6,5.0,1.0,0.0,23.0,0.5,NaN,0.0,1.0,0.6,0.5
2020-04-15,芠,程,16.0,NaN,0.17,NaN,0.0,2.3,2.8,6.5,5.0,1.0,0.0,47.0,0.0,NaN,3.0,3.0,0.4,0.3
2020-04-22,芠,程,15.6,NaN,0.15,NaN,0.0,3.3,3.7,2.3,5.0,2.0,0.0,50.0,0.0,NaN,0.0,4.0,0.4,0.2
