ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2020-01-01,,程,26.9,NaN,0.66,NaN,27.2,22.9,44.4,46.7,48.0,27.0,2.2,96.0,3.9,NaN,356.0,360.0,6.4,5.3
2020-01-08,,程,24.7,NaN,1.26,NaN,29.2,26.3,55.4,56.6,102.0,35.0,1.0,93.0,3.7,NaN,359.0,355.0,5.5,5.1
2020-01-15,,程,23.4,NaN,0.63,NaN,13.6,27.1,33.8,51.7,75.0,27.0,0.6,95.0,2.8,NaN,358.0,359.0,4.0,3.2
2020-01-22,,程,26.3,NaN,0.8,NaN,29.7,27.2,54.1,56.5,75.0,48.0,4.2,95.0,3.7,NaN,360.0,359.0,5.5,4.2
2020-01-29,,程,22.0,NaN,0.53,NaN,23.1,27.7,42.1,59.5,51.0,40.0,0.2,94.0,5.6,NaN,360.0,359.0,6.3,5.4
2020-02-05,,程,23.2,NaN,0.57,NaN,37.6,31.5,58.9,50.8,115.0,25.0,2.6,96.0,5.2,NaN,353.0,358.0,4.1,3.4
2020-02-12,,程,27.7,NaN,0.64,NaN,27.1,22.3,49.3,60.5,76.0,21.0,0.6,94.0,3.7,NaN,360.0,359.0,4.8,3.9
2020-02-19,,程,28.8,NaN,0.6,NaN,22.9,21.3,43.0,53.1,89.0,32.0,17.6,98.0,4.0,NaN,358.0,355.0,6.4,4.4
2020-02-26,,程,28.6,NaN,0.54,NaN,14.4,22.1,33.9,62.7,65.0,28.0,3.0,97.0,5.7,NaN,359.0,359.0,4.6,3.5
2020-03-04,,程,28.7,NaN,0.87,NaN,46.3,25.3,60.5,55.4,76.0,29.0,3.6,97.0,2.9,NaN,355.0,357.0,5.9,4.4
2020-03-11,,程,25.5,NaN,0.62,NaN,15.3,27.1,34.7,73.3,121.0,25.0,1.4,93.0,2.7,NaN,351.0,360.0,5.0,4.2
2020-03-18,,程,29.5,NaN,0.69,NaN,14.5,33.6,46.7,59.3,81.0,45.0,3.4,96.0,3.7,NaN,359.0,360.0,3.3,2.6
2020-03-25,,程,30.9,NaN,0.58,NaN,27.8,28.1,49.7,43.6,50.0,27.0,24.2,96.0,4.4,NaN,360.0,360.0,4.4,4.0
2020-04-01,,程,23.6,NaN,0.48,NaN,15.8,19.0,33.1,57.5,49.0,27.0,4.2,96.0,2.8,NaN,359.0,358.0,4.3,4.4
2020-04-08,,程,26.2,NaN,0.61,NaN,11.7,22.1,29.6,75.8,82.0,33.0,3.0,94.0,2.5,NaN,360.0,359.0,5.1,4.6
2020-04-15,,程,31.0,NaN,0.56,NaN,11.0,25.6,32.6,64.1,76.0,32.0,4.0,98.0,3.2,NaN,354.0,360.0,4.3,4.0
2020-04-22,,程,26.1,NaN,0.46,NaN,14.1,21.0,35.1,58.5,51.0,22.0,10.6,98.0,3.4,NaN,358.0,352.0,4.5,3.3
2020-04-29,,程,32.2,NaN,0.56,NaN,13.2,25.7,35.4,52.9,50.0,27.0,0.0,93.0,3.5,NaN,359.0,358.0,5.4,4.6
2020-05-06,,程,33.3,NaN,0.67,NaN,10.9,19.1,26.8,50.5,46.0,25.0,7.8,97.0,5.8,NaN,358.0,360.0,3.7,3.3
2020-05-13,,程,34.0,NaN,0.6,NaN,27.6,21.7,43.9,72.2,70.0,37.0,16.4,95.0,4.0,NaN,360.0,355.0,6.6,6.2
2020-05-20,,程,31.4,NaN,0.67,NaN,14.7,30.0,43.7,53.4,57.0,14.0,9.0,99.0,3.5,NaN,356.0,359.0,3.3,2.7
2020-05-27,,程,33.1,NaN,0.5,NaN,15.1,18.9,29.4,43.5,32.0,13.0,21.0,98.0,3.3,NaN,358.0,356.0,4.8,4.4
2020-06-03,,程,34.1,NaN,0.48,NaN,12.8,15.7,25.8,46.1,42.0,22.0,22.8,95.7,4.2,NaN,336.0,360.0,3.4,2.63
2020-06-10,,程,35.4,NaN,0.57,NaN,22.4,20.1,35.1,50.4,47.0,22.0,0.2,95.1,6.2,NaN,359.0,360.0,5.84,5.03
2020-06-17,,程,36.4,NaN,0.64,NaN,17.4,26.4,43.9,54.8,46.0,21.0,0.0,90.4,4.7,NaN,357.0,349.0,4.15,3.77
2020-06-24,,程,37.6,NaN,0.52,NaN,19.8,18.0,32.6,51.7,49.0,20.0,0.2,90.5,3.7,NaN,359.0,359.0,3.91,3.34
2020-07-01,,程,36.9,NaN,0.54,NaN,20.3,19.8,38.6,49.7,50.0,21.0,12.2,94.5,6.6,NaN,360.0,360.0,5.46,3.22
2020-07-08,,程,37.9,NaN,0.47,NaN,10.7,23.1,30.0,50.9,51.0,19.0,2.2,92.6,4.6,NaN,359.0,348.0,4.65,3.96
2020-07-15,,程,37.3,NaN,0.59,NaN,27.4,17.3,38.3,49.0,44.0,20.0,1.2,93.5,5.1,NaN,355.0,349.0,5.01,4.49
2020-07-22,,程,37.8,NaN,0.47,NaN,17.5,17.4,30.0,52.4,50.0,19.0,2.8,83.3,3.7,NaN,353.0,348.0,5.02,4.11
2020-07-29,,程,35.6,NaN,0.36,NaN,26.2,17.1,43.3,26.6,34.0,18.0,8.8,87.4,3.1,NaN,346.0,356.0,7.18,6.3
2020-08-05,,程,36.5,NaN,0.35,NaN,16.5,13.8,25.9,44.5,61.0,36.0,0.8,87.3,5.4,NaN,352.0,357.0,6.3,5.5
2020-08-12,,程,36.2,NaN,0.4,NaN,25.0,15.8,35.8,36.2,64.0,14.0,3.4,87.0,3.7,NaN,348.0,359.0,6.4,6.1
2020-08-19,,程,37.8,NaN,0.64,NaN,28.4,19.6,46.1,49.8,49.0,30.0,13.8,90.0,5.3,NaN,352.0,359.0,7.5,6.1
2020-08-26,,程,34.6,NaN,0.73,NaN,17.9,22.0,37.4,47.9,51.0,20.0,13.0,89.0,5.9,NaN,352.0,360.0,5.2,4.1
2020-09-02,,程,37.3,NaN,0.59,NaN,23.3,17.8,36.0,58.7,62.0,24.0,0.0,83.0,5.8,NaN,358.0,360.0,6.3,4.8
2020-09-09,,程,34.0,NaN,0.54,NaN,18.9,21.2,39.2,55.0,42.0,32.0,2.6,90.0,4.3,NaN,358.0,360.0,3.6,3.3
2020-09-16,,程,35.6,NaN,0.52,NaN,19.2,12.6,29.0,60.5,46.0,16.0,3.4,88.0,3.8,NaN,359.0,357.0,4.3,4.0
2020-09-23,,程,30.2,NaN,0.62,NaN,14.3,22.0,34.2,61.6,42.0,18.0,3.2,92.0,3.0,NaN,347.0,359.0,3.3,2.6
2020-09-30,,程,31.3,NaN,0.86,NaN,20.2,23.4,43.5,53.5,43.0,17.0,2.0,91.0,3.4,NaN,359.0,360.0,4.2,3.8
2020-10-07,,程,30.6,NaN,0.4,NaN,10.7,16.8,22.3,45.4,38.0,28.0,44.2,94.0,4.3,NaN,360.0,358.0,5.2,4.4
2020-10-14,,程,27.8,NaN,0.43,NaN,8.8,21.2,27.5,56.1,46.0,22.0,37.4,93.0,3.5,NaN,358.0,359.0,4.2,4.1
2020-10-21,,程,28.1,NaN,0.59,NaN,28.5,21.6,45.4,50.5,59.0,23.0,21.8,94.0,3.6,NaN,357.0,357.0,4.0,3.1
2020-10-28,,程,27.7,NaN,0.44,NaN,11.7,21.9,29.7,53.2,96.0,36.0,1.8,90.0,2.3,NaN,358.0,359.0,5.1,4.6
2020-11-04,,程,31.3,NaN,0.7,NaN,32.6,19.8,49.9,67.9,60.0,27.0,4.0,93.0,4.9,NaN,347.0,356.0,5.8,4.0
2020-11-11,,程,26.3,NaN,0.53,NaN,55.9,25.5,75.5,40.0,40.0,18.0,15.0,94.0,4.3,NaN,360.0,359.0,3.7,2.6
2020-11-18,,程,30.8,NaN,0.71,NaN,19.6,20.8,34.1,51.7,46.0,14.0,15.2,93.0,4.3,NaN,360.0,356.0,5.3,4.7
2020-11-25,,程,27.5,NaN,0.45,NaN,22.6,18.5,32.9,40.8,37.0,15.0,21.4,92.0,12.9,NaN,358.0,360.0,4.3,3.3
2020-12-02,,程,21.0,NaN,0.63,NaN,15.8,21.9,36.6,44.0,25.0,13.0,16.6,99.0,2.6,NaN,353.0,359.0,2.9,2.6
2020-12-09,,程,22.4,NaN,0.75,NaN,26.7,21.0,42.5,52.0,39.0,31.0,18.8,98.0,2.8,NaN,360.0,359.0,2.8,2.4
2020-12-16,,程,24.1,NaN,0.61,NaN,25.2,26.6,39.0,39.7,22.0,10.0,12.8,98.0,3.5,NaN,355.0,359.0,3.9,2.7
