ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2020-01-01,穝λ,程,25.2,2.48,2.08,0.65,38.6,58.2,90.8,71.2,93.0,51.0,0.0,90.0,9.1,2.93,337.0,327.0,3.7,3.3
2020-01-08,穝λ,程,24.2,2.2,1.44,0.45,49.4,36.8,79.3,63.3,57.0,35.0,8.6,87.0,4.5,2.56,359.0,356.0,4.8,3.6
2020-01-15,穝λ,程,24.0,2.19,1.56,0.6,21.3,50.0,71.3,64.6,74.0,52.0,0.0,87.0,4.4,2.76,343.0,309.0,4.4,3.2
2020-01-22,穝λ,程,27.4,2.55,2.48,0.78,39.9,52.0,84.3,70.8,92.0,65.0,35.2,89.0,5.9,3.17,323.0,329.0,4.6,3.0
2020-01-29,穝λ,程,20.5,2.12,0.77,0.25,21.4,33.6,50.1,59.7,104.0,82.0,3.4,86.0,6.0,2.35,344.0,321.0,4.7,3.6
2020-02-05,穝λ,程,25.2,2.08,1.06,0.35,20.2,35.3,53.8,67.9,84.0,51.0,7.0,89.0,3.9,2.39,327.0,325.0,5.4,4.0
2020-02-12,穝λ,程,28.6,2.29,1.93,0.75,29.3,60.3,75.7,76.0,76.0,50.0,41.0,89.0,5.2,3.04,355.0,351.0,5.6,4.2
2020-02-19,穝λ,程,27.2,2.26,1.44,0.44,31.1,45.1,67.5,68.3,111.0,50.0,0.0,87.0,7.5,2.52,354.0,347.0,4.5,3.5
2020-02-26,穝λ,程,26.4,2.44,1.23,0.44,36.4,43.1,63.7,64.5,112.0,45.0,0.0,83.0,6.1,2.72,338.0,360.0,5.4,3.9
2020-03-04,穝λ,程,25.7,2.38,1.34,0.48,16.6,40.3,48.6,68.5,85.0,41.0,24.2,88.0,3.3,2.76,349.0,357.0,5.9,4.6
2020-03-11,穝λ,程,25.8,2.18,1.09,0.37,31.0,33.9,57.6,81.6,90.0,52.0,5.0,89.0,3.9,2.55,358.0,354.0,5.1,3.6
2020-03-18,穝λ,程,29.0,2.3,1.43,0.44,32.9,34.8,61.5,69.4,84.0,60.0,1.2,85.0,5.3,2.72,334.0,358.0,4.9,4.0
2020-03-25,穝λ,程,31.0,2.51,0.76,0.44,30.4,31.3,59.1,68.2,76.0,43.0,7.2,87.0,4.2,2.89,348.0,356.0,5.0,3.3
2020-04-01,穝λ,程,23.7,1.95,0.48,0.24,4.7,27.9,29.4,63.0,58.0,32.0,10.0,89.0,4.7,2.16,289.0,346.0,4.7,3.4
2020-04-08,穝λ,程,28.5,2.21,0.81,0.25,9.0,34.6,37.0,85.5,64.0,40.0,7.8,89.0,3.7,2.41,353.0,330.0,4.0,3.1
2020-04-15,穝λ,程,29.5,2.25,1.45,0.54,18.6,58.2,62.8,85.7,63.0,39.0,0.2,83.0,4.2,2.68,356.0,357.0,5.3,4.0
2020-04-22,穝λ,程,29.0,2.24,0.83,0.33,13.4,34.8,37.1,76.5,56.0,37.0,4.0,87.0,2.7,2.48,354.0,355.0,5.5,3.7
2020-04-29,穝λ,程,31.3,2.29,1.05,0.4,6.7,48.8,51.6,93.3,64.0,45.0,0.4,83.0,6.3,2.51,356.0,352.0,6.3,5.0
2020-05-06,穝λ,程,33.3,1.95,0.6,0.31,14.4,27.9,30.0,70.0,104.0,30.0,20.0,85.0,7.8,2.23,317.0,355.0,5.6,4.6
2020-05-13,穝λ,程,32.2,2.15,0.66,0.24,14.1,23.5,34.3,97.7,96.0,39.0,18.8,86.0,3.5,2.28,318.0,314.0,4.6,4.1
2020-05-20,穝λ,程,31.0,2.04,0.78,0.27,17.4,25.5,37.4,68.5,35.0,21.0,28.4,92.0,3.5,2.23,359.0,353.0,4.4,3.8
2020-05-27,穝λ,程,32.5,2.3,0.82,0.46,25.0,33.8,44.8,69.3,34.0,21.0,27.4,91.0,5.1,2.7,354.0,345.0,5.7,5.1
2020-06-03,穝λ,程,33.3,1.96,0.83,0.3,18.8,22.9,40.3,40.4,40.0,20.0,14.2,87.6,4.3,2.17,291.0,294.0,7.5,5.5
2020-06-10,穝λ,程,33.5,1.92,0.78,0.26,35.3,18.3,50.7,62.5,46.0,21.0,17.2,82.9,4.8,2.15,348.0,335.0,6.11,4.8
2020-06-17,穝λ,程,34.8,1.95,0.48,0.18,6.3,19.5,25.8,43.5,39.0,22.0,0.0,73.3,3.9,2.13,255.0,306.0,7.48,5.4
2020-06-24,穝λ,程,34.3,1.85,0.36,0.22,4.8,14.3,16.2,48.8,42.0,13.0,0.0,74.3,5.3,1.95,257.0,266.0,7.01,5.3
2020-07-01,穝λ,程,34.0,1.88,0.48,0.16,16.3,18.2,26.0,58.5,37.0,19.0,0.4,76.5,5.7,2.0,261.0,282.0,5.98,4.7
