ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2020-01-01,籓狥,程,18.0,NaN,0.17,NaN,0.0,0.8,1.0,12.9,0.0,1.0,0.0,50.0,0.5,NaN,0.0,1.0,0.5,0.2
2020-01-08,籓狥,程,17.0,NaN,0.14,NaN,0.0,1.2,1.0,15.3,5.0,1.0,0.0,49.0,0.5,NaN,4.0,1.0,0.6,0.2
2020-01-15,籓狥,程,16.3,NaN,0.22,NaN,0.0,1.1,0.9,19.7,5.0,1.0,0.0,52.0,0.5,NaN,7.0,0.0,0.5,0.3
2020-01-22,籓狥,程,16.9,NaN,0.19,NaN,0.0,1.0,1.2,6.6,5.0,1.0,0.0,54.0,0.5,NaN,0.0,2.0,0.5,0.1
2020-01-29,籓狥,程,13.4,NaN,0.16,NaN,0.0,1.0,1.0,15.1,5.0,1.0,0.0,41.0,0.5,NaN,5.0,4.0,0.5,0.2
2020-02-05,籓狥,程,16.2,NaN,0.2,NaN,0.0,1.2,0.8,16.5,5.0,1.0,0.0,55.0,0.5,NaN,1.0,2.0,0.4,0.3
2020-02-12,籓狥,程,13.3,NaN,0.17,NaN,0.0,1.4,1.0,6.4,0.0,1.0,0.0,55.0,0.5,NaN,0.0,6.0,0.5,0.2
2020-02-19,籓狥,程,14.3,NaN,0.19,NaN,0.0,1.1,1.1,13.2,5.0,2.0,0.0,52.0,0.5,NaN,1.0,12.0,0.6,0.4
2020-02-26,籓狥,程,18.8,NaN,0.16,NaN,0.0,1.3,1.7,8.1,5.0,1.0,0.0,63.0,0.5,NaN,2.0,4.0,0.6,0.3
2020-03-04,籓狥,程,18.3,NaN,0.21,NaN,0.0,1.1,1.3,9.8,0.0,1.0,0.0,40.0,0.5,NaN,0.0,1.0,0.5,0.2
2020-03-11,籓狥,程,16.5,NaN,0.21,NaN,0.0,1.2,1.0,12.8,5.0,1.0,0.0,47.0,0.5,NaN,2.0,2.0,0.6,0.3
2020-03-18,籓狥,程,20.4,NaN,0.23,NaN,0.0,0.9,1.1,13.5,5.0,1.0,0.0,58.0,0.5,NaN,6.0,1.0,0.6,0.4
2020-03-25,籓狥,程,19.1,NaN,0.18,NaN,0.0,0.7,0.8,8.9,5.0,1.0,0.0,62.0,0.5,NaN,3.0,1.0,0.5,0.1
2020-04-01,籓狥,程,19.1,NaN,0.21,NaN,0.0,0.8,1.2,14.8,5.0,1.0,0.0,63.0,0.5,NaN,6.0,2.0,0.9,0.7
2020-04-08,籓狥,程,17.0,NaN,0.19,NaN,0.0,1.3,0.9,26.2,5.0,1.0,0.0,36.0,0.5,NaN,1.0,1.0,0.8,0.6
2020-04-15,籓狥,程,18.7,NaN,0.17,NaN,0.0,1.1,1.0,6.8,5.0,1.0,0.0,47.0,0.5,NaN,2.0,4.0,0.6,0.2
2020-04-22,籓狥,程,19.7,NaN,0.19,NaN,0.0,1.0,1.0,22.1,5.0,1.0,0.0,53.0,1.0,NaN,8.0,2.0,0.7,0.5
2020-04-29,籓狥,程,20.6,NaN,0.17,NaN,0.0,1.0,0.8,5.5,5.0,1.0,0.0,54.0,0.5,NaN,7.0,12.0,0.5,0.3
2020-05-06,籓狥,程,24.7,NaN,0.15,NaN,0.0,1.2,1.1,9.7,5.0,1.0,0.0,62.0,0.5,NaN,4.0,0.0,0.5,0.2
2020-05-13,籓狥,程,24.0,NaN,0.11,NaN,0.0,1.2,1.3,3.5,5.0,1.0,0.0,60.0,0.5,NaN,3.0,1.0,0.6,0.1
2020-05-20,籓狥,程,24.7,NaN,0.17,NaN,0.0,0.9,1.2,6.9,5.0,1.0,0.0,70.0,0.5,NaN,2.0,2.0,0.5,0.1
2020-05-27,籓狥,程,25.5,NaN,0.13,NaN,0.0,1.2,1.1,6.4,5.0,1.0,0.0,60.0,0.5,NaN,1.0,2.0,0.5,0.1
2020-06-03,籓狥,程,25.7,NaN,0.11,NaN,0.0,1.6,1.1,5.3,5.0,1.0,0.0,49.7,0.5,NaN,0.0,1.0,0.62,0.04
2020-06-10,籓狥,程,26.0,NaN,0.1,NaN,0.0,1.2,0.9,4.1,5.0,1.0,0.0,56.1,0.5,NaN,1.0,8.0,0.52,0.08
2020-06-17,籓狥,程,27.4,NaN,0.13,NaN,0.0,1.6,1.8,9.3,11.0,1.0,0.0,52.8,1.0,NaN,3.0,0.0,0.5,0.17
2020-06-24,籓狥,程,26.9,NaN,0.11,NaN,0.0,1.3,1.2,4.2,5.0,1.0,0.0,52.9,0.5,NaN,4.0,16.0,0.66,0.33
2020-07-01,籓狥,程,27.5,NaN,0.11,NaN,0.0,1.7,1.6,3.5,5.0,1.0,0.0,53.6,0.5,NaN,1.0,1.0,0.53,0.14
2020-07-08,籓狥,程,28.1,NaN,0.05,NaN,0.0,1.4,1.3,7.4,5.0,1.0,0.0,47.3,0.5,NaN,4.0,2.0,0.67,0.18
2020-07-15,籓狥,程,26.7,NaN,0.1,NaN,0.0,1.4,1.3,3.9,5.0,1.0,0.0,51.3,0.5,NaN,17.0,2.0,0.6,0.14
2020-07-22,籓狥,程,26.1,NaN,0.05,NaN,0.0,1.2,1.3,3.4,0.0,1.0,0.0,57.1,0.5,NaN,23.0,1.0,0.6,0.2
2020-07-29,籓狥,程,25.4,NaN,0.05,NaN,0.0,1.0,0.9,4.7,5.0,1.0,0.0,54.3,0.5,NaN,4.0,6.0,0.73,0.43
2020-08-05,籓狥,程,25.7,NaN,0.1,NaN,0.0,1.4,1.1,3.5,5.0,1.0,0.0,54.0,0.5,NaN,1.0,0.0,0.5,0.2
2020-08-12,籓狥,程,25.7,NaN,0.05,NaN,0.0,1.0,1.0,2.6,5.0,1.0,0.0,58.0,0.5,NaN,1.0,1.0,0.5,0.4
2020-08-19,籓狥,程,26.2,NaN,0.1,NaN,0.0,1.3,1.1,5.3,5.0,1.0,0.0,50.0,0.5,NaN,5.0,3.0,0.6,0.3
2020-08-26,籓狥,程,25.9,NaN,0.1,NaN,0.0,1.4,1.5,4.1,5.0,1.0,0.0,53.0,0.5,NaN,1.0,0.0,0.6,0.3
2020-09-02,籓狥,程,24.8,NaN,0.16,NaN,0.0,1.3,0.8,13.3,14.0,7.0,0.0,44.0,0.5,NaN,8.0,5.0,0.6,0.2
2020-09-09,籓狥,程,25.3,NaN,0.12,NaN,0.0,1.0,1.2,4.9,5.0,1.0,0.0,60.0,0.5,NaN,26.0,1.0,0.7,0.2
2020-09-16,籓狥,程,25.8,NaN,0.1,NaN,0.0,1.0,1.4,3.2,5.0,1.0,0.0,58.0,0.0,NaN,8.0,3.0,0.6,0.2
2020-09-23,籓狥,程,23.7,NaN,0.17,NaN,0.0,1.4,1.0,22.3,5.0,1.0,0.0,62.0,0.0,NaN,8.0,8.0,0.7,0.4
2020-09-30,籓狥,程,23.4,NaN,0.16,NaN,0.0,0.9,0.9,19.8,5.0,1.0,0.0,47.0,0.5,NaN,1.0,2.0,0.7,0.5
2020-10-07,籓狥,程,23.0,NaN,0.05,NaN,0.0,1.2,1.0,6.5,5.0,1.0,0.0,44.0,0.5,NaN,1.0,4.0,1.0,0.4
2020-10-14,籓狥,程,23.6,NaN,0.1,NaN,0.0,0.6,0.3,14.1,5.0,1.0,0.0,57.0,0.5,NaN,1.0,0.0,1.0,0.4
