ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2020-01-01,浆,程,16.8,NaN,0.13,NaN,0.0,0.6,1.1,8.4,5.0,1.0,0.0,55.0,0.5,NaN,13.0,18.0,0.4,0.1
2020-01-08,浆,程,16.0,NaN,0.14,NaN,0.0,0.6,2.4,3.9,5.0,1.0,0.0,58.0,0.5,NaN,0.0,6.0,0.4,0.1
2020-01-15,浆,程,15.5,NaN,0.22,NaN,0.0,2.0,2.2,7.2,5.0,1.0,0.0,62.0,0.5,NaN,1.0,4.0,0.4,0.2
2020-01-22,浆,程,15.5,NaN,0.17,NaN,0.0,0.7,1.2,7.8,5.0,1.0,0.0,54.0,0.0,NaN,2.0,5.0,0.4,0.2
2020-01-29,浆,程,12.2,NaN,0.14,NaN,0.3,1.0,1.9,11.8,5.0,1.0,0.0,40.0,0.5,NaN,1.0,2.0,0.4,0.3
2020-02-05,浆,程,14.8,NaN,0.18,NaN,0.0,1.3,1.8,9.7,5.0,1.0,0.0,58.0,0.5,NaN,7.0,4.0,0.4,0.2
2020-02-12,浆,程,13.1,NaN,0.12,NaN,0.0,0.8,1.3,9.8,5.0,2.0,0.0,46.0,0.5,NaN,4.0,5.0,0.4,0.2
2020-02-19,浆,程,13.7,NaN,0.17,NaN,0.0,1.1,0.8,10.9,5.0,1.0,0.0,52.0,0.5,NaN,2.0,1.0,0.4,0.3
2020-02-26,浆,程,18.2,NaN,0.13,NaN,0.0,0.8,1.9,4.1,5.0,1.0,0.0,58.0,0.5,NaN,6.0,15.0,0.4,0.1
2020-03-04,浆,程,16.5,NaN,0.18,NaN,0.0,1.0,2.3,5.3,5.0,1.0,0.0,57.0,0.5,NaN,0.0,1.0,0.4,0.2
2020-03-11,浆,程,15.5,NaN,0.18,NaN,0.0,0.9,0.8,3.7,5.0,1.0,0.0,40.0,0.5,NaN,7.0,1.0,0.4,0.1
2020-03-18,浆,程,17.8,NaN,0.18,NaN,0.0,1.0,2.1,11.2,10.0,1.0,0.0,58.0,0.0,NaN,0.0,2.0,0.4,0.2
2020-03-25,浆,程,17.0,NaN,0.18,NaN,0.0,1.2,1.3,8.7,5.0,1.0,0.0,58.0,0.5,NaN,8.0,0.0,0.4,0.0
2020-04-01,浆,程,17.8,NaN,0.2,NaN,0.0,1.7,2.3,2.1,5.0,1.0,0.0,58.0,0.0,NaN,6.0,1.0,0.4,0.1
2020-04-08,浆,程,15.2,NaN,0.2,NaN,0.3,0.6,1.9,17.0,5.0,2.0,0.0,37.0,0.5,NaN,9.0,5.0,0.4,0.1
2020-04-15,浆,程,17.5,NaN,0.13,NaN,0.0,0.3,0.8,10.8,12.0,6.0,0.0,49.0,0.5,NaN,1.0,5.0,0.4,0.2
2020-04-22,浆,程,17.4,NaN,0.16,NaN,0.0,0.9,2.7,12.2,5.0,1.0,0.0,56.0,0.5,NaN,4.0,2.0,0.4,0.3
2020-04-29,浆,程,18.7,NaN,0.12,NaN,0.3,0.0,1.7,6.1,5.0,3.0,0.0,57.0,0.5,NaN,31.0,14.0,0.4,0.1
2020-05-06,浆,程,23.1,NaN,0.13,NaN,0.0,1.2,2.3,8.0,5.0,2.0,0.0,65.0,0.5,NaN,4.0,10.0,0.4,0.1
2020-05-13,浆,程,22.5,NaN,0.05,NaN,0.3,0.6,2.2,4.9,5.0,1.0,0.0,57.0,0.5,NaN,7.0,13.0,0.4,0.0
2020-05-20,浆,程,23.3,NaN,0.13,NaN,0.0,0.8,0.6,3.9,5.0,1.0,0.0,64.0,0.5,NaN,0.0,1.0,0.4,0.0
2020-05-27,浆,程,23.6,NaN,0.11,NaN,0.0,0.9,2.0,6.5,0.0,1.0,0.0,60.0,0.0,NaN,0.0,1.0,0.4,0.2
2020-06-03,浆,程,25.1,NaN,0.1,NaN,0.0,0.0,1.1,7.2,5.0,1.0,0.0,49.0,0.5,NaN,11.0,8.0,0.42,0.24
2020-06-10,浆,程,25.6,NaN,0.05,NaN,0.0,0.0,0.3,6.8,5.0,1.0,0.0,54.8,0.5,NaN,29.0,47.0,0.42,0.15
2020-06-17,浆,程,26.2,NaN,0.05,NaN,0.0,0.7,1.4,11.7,5.0,3.0,0.0,51.1,0.5,NaN,34.0,31.0,0.42,0.19
2020-06-24,浆,程,26.3,NaN,0.05,NaN,0.0,0.6,1.2,5.9,10.0,1.0,0.0,55.4,0.5,NaN,1.0,7.0,0.42,0.29
2020-07-01,浆,程,25.9,NaN,0.05,NaN,0.3,0.0,1.1,5.0,11.0,1.0,0.0,59.3,0.5,NaN,1.0,3.0,0.42,0.11
2020-07-08,浆,程,26.5,NaN,0.05,NaN,0.3,0.3,1.7,3.7,5.0,1.0,0.0,48.7,0.5,NaN,17.0,23.0,0.42,0.2
2020-07-15,浆,程,25.1,NaN,0.05,NaN,0.0,0.6,1.0,5.4,5.0,1.0,0.0,55.1,0.0,NaN,21.0,1.0,0.42,0.07
2020-07-22,浆,程,26.2,NaN,0.05,NaN,0.0,0.7,1.8,6.6,5.0,1.0,0.0,53.6,0.0,NaN,8.0,1.0,0.42,0.12
