ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2020-01-01,籓﹁,程,15.1,1.69,0.12,0.0,0.0,3.3,3.3,2.1,5.0,3.0,0.0,75.0,1.2,1.68,2.0,0.0,0.4,0.2
2020-01-08,籓﹁,程,14.9,1.66,0.19,0.0,0.0,3.3,4.1,2.5,19.0,7.0,0.0,76.0,0.5,1.66,2.0,1.0,0.7,1.0
2020-01-15,籓﹁,程,13.8,1.68,0.19,0.0,0.0,2.7,3.0,13.8,12.0,5.0,0.0,78.0,0.5,1.69,4.0,1.0,1.2,1.7
2020-01-22,籓﹁,程,13.6,1.7,0.17,0.0,0.0,1.6,3.2,2.9,5.0,1.0,0.0,75.0,0.5,1.73,3.0,2.0,0.4,0.6
2020-01-29,籓﹁,程,9.7,1.72,0.1,0.0,0.0,3.7,4.4,10.5,10.0,6.0,0.0,45.0,0.5,1.71,0.0,1.0,1.5,1.0
2020-02-05,籓﹁,程,12.5,1.71,0.14,0.0,0.3,3.1,5.1,14.2,10.0,4.0,0.0,67.0,0.5,1.72,1.0,1.0,1.3,0.9
2020-02-12,籓﹁,程,11.8,1.65,0.1,0.0,0.0,3.1,3.8,2.7,12.0,2.0,0.0,45.0,0.5,1.64,1.0,0.0,0.9,0.7
2020-02-19,籓﹁,程,11.5,1.68,0.15,0.0,0.3,1.7,2.6,5.8,25.0,10.0,0.0,50.0,0.5,1.69,2.0,1.0,0.9,1.1
2020-02-26,籓﹁,程,17.6,1.66,0.16,0.0,0.0,3.0,3.4,3.4,18.0,6.0,0.0,58.0,0.5,1.68,0.0,0.0,0.4,0.4
2020-03-04,籓﹁,程,14.7,1.65,0.12,0.0,0.0,2.7,3.1,6.1,10.0,5.0,0.0,60.0,0.5,1.65,0.0,1.0,0.8,0.1
2020-03-11,籓﹁,程,15.6,1.7,0.21,0.0,0.0,4.0,4.7,3.8,12.0,5.0,0.0,42.0,0.5,1.73,2.0,1.0,0.5,0.2
2020-03-18,籓﹁,程,18.8,1.71,0.16,0.0,0.0,2.9,4.2,5.9,18.0,12.0,0.0,54.0,0.5,1.7,1.0,3.0,0.5,0.5
2020-03-25,籓﹁,程,16.7,1.64,0.14,0.0,0.6,0.0,3.9,7.0,12.0,4.0,0.0,53.0,0.5,1.64,3.0,2.0,0.7,0.3
