¤é´Á,¦a°Ï,²Î­p¸ê®Æ,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2020-01-01,¥ªÀç,¥­§¡­È,20.838095238095235,2.0240450310559006,0.5108410973084886,0.16882763975155277,2.4908008658008662,17.657305194805193,20.15459956709957,34.467158385093164,57.90800865800866,32.370129870129865,0.0,79.61904761904762,2.6011128364389235,2.192942546583851,239.91666666666669,235.99404761904762,1.8345238095238094,1.6232142857142857
2020-01-08,¥ªÀç,¥­§¡­È,21.17440476190476,2.065104460756635,0.5992404306220095,0.18076852209575317,2.5209281894576008,19.143204099821748,21.658033486121724,30.653860813099946,63.927348014304535,30.686594202898554,0.0,73.79761904761905,2.9386507276095375,2.2461870296624302,262.271645021645,264.7129446640316,2.198527197440241,1.985335497835498
2020-01-15,¥ªÀç,¥­§¡­È,19.297023809523807,2.0655357142857143,0.55504917184265,0.16814699792960658,2.9303571428571433,18.71154761904762,21.64404761904762,31.604684265010352,60.66278467908903,32.079192546583855,0.0,74.59523809523809,2.8455486542443067,2.23236801242236,291.82142857142856,277.4940476190476,2.332142857142857,2.0821428571428573
2020-01-22,¥ªÀç,¥­§¡­È,21.314880952380953,2.0348214285714286,0.5025000000000001,0.12297619047619043,1.5017857142857143,13.623214285714285,15.133928571428571,32.24761904761905,38.54166666666667,21.113095238095237,0.0976190476190476,77.24404761904762,2.2523809523809524,2.1577380952380953,232.28571428571428,224.4880952380952,2.245238095238095,1.9666666666666666
2020-01-29,¥ªÀç,¥­§¡­È,17.12,2.013678571428571,0.46148809523809525,0.12782142857142853,1.5393840579710145,14.816211180124226,16.364466873706004,38.19761904761905,45.199724855617305,25.40579126387397,0.0,61.61547619047618,2.1708333333333334,2.141142857142857,251.625,240.44246031746027,2.3676587301587304,2.1139285714285716
2020-02-05,¥ªÀç,¥­§¡­È,19.315476190476186,2.022704451345756,0.4729503105590062,0.14905020703933744,2.4229554865424427,17.515320910973085,19.936568322981365,32.2190734989648,57.570910973084885,27.891563146997928,0.0,72.70238095238095,2.5308229813664593,2.1710481366459624,277.9107142857143,261.86309523809524,2.3059523809523808,2.0702380952380954
2020-02-12,¥ªÀç,¥­§¡­È,22.23154761904762,1.9705952380952378,0.3880952380952381,0.12624999999999995,3.507531055900621,14.406909937888198,17.914415113871634,23.42440476190476,35.1845238095238,14.714285714285714,0.015476190476190473,69.98809523809523,2.523214285714286,2.096309523809524,195.6488095238095,184.36904761904762,2.4910714285714284,2.082142857142857
2020-02-19,¥ªÀç,¥­§¡­È,20.874611801242235,2.023410973084886,0.4447748447204969,0.14077380952380947,1.6964544513457558,15.21910677314404,16.912352114758946,41.191057312252966,61.80615942028986,32.56987577639752,0.0,73.85921325051761,2.4548395445134576,2.1638819875776396,256.7355072463768,241.02976190476187,2.036309523809524,1.8252587991718427
2020-02-26,¥ªÀç,¥­§¡­È,24.00714285714286,2.004479813664596,0.42199275362318833,0.13222826086956518,1.9774068322981366,14.70339026915114,16.679114906832297,36.39138198757764,55.308488612836435,27.653985507246375,0.0,71.2202380952381,2.7192287784679086,2.1364078674948237,256.1607142857143,240.73214285714286,2.3535714285714286,2.0863095238095237
2020-03-04,¥ªÀç,¥­§¡­È,23.436309523809523,2.006190476190476,0.4236309523809524,0.13047619047619044,1.9791666666666665,14.206547619047617,16.19107142857143,35.447023809523806,43.0,22.839285714285715,0.10833333333333332,71.61904761904762,2.773214285714286,2.136547619047619,253.45833333333331,239.35119047619045,2.1166666666666667,1.8785714285714286
2020-03-11,¥ªÀç,¥­§¡­È,22.48630952380952,2.027282608695652,0.4644099378881988,0.15454192546583848,1.7088738314825274,14.829883305100696,16.518871792458746,41.849242424242426,47.17883022774327,24.424689440993784,0.029761904761904757,66.05952380952381,2.662525879917184,2.1814699792960663,245.54761904761904,232.21428571428572,2.057142857142857,1.750595238095238
2020-03-18,¥ªÀç,¥­§¡­È,24.728571428571428,2.020238095238095,0.4732142857142857,0.15160714285714283,1.161024844720497,14.115916149068322,15.26438923395445,44.214285714285715,59.350414078674945,32.67468944099379,0.0,71.79761904761905,3.020238095238095,2.171607142857143,242.75595238095235,248.95833333333331,2.1119047619047615,1.8559523809523808
2020-03-25,¥ªÀç,¥­§¡­È,26.068648328896778,1.956172360248447,0.37359989648033126,0.11448240165631465,1.7029503105590063,12.366330227743273,14.055874741200828,33.43936335403727,39.45626293995859,19.924171842650104,0.06785714285714285,70.23136645962732,2.855072463768116,2.0697541407867495,227.95238095238093,218.41071428571428,2.4440476190476192,2.0678571428571426
2020-04-01,¥ªÀç,¥­§¡­È,23.348809523809525,2.032202380952381,0.45303571428571426,0.13249999999999995,1.7001190476190475,14.105833333333333,15.807261904761905,35.308229813664596,48.780020703933744,26.999482401656312,0.2595238095238095,73.08333333333333,2.604166666666667,2.1645833333333333,268.36309523809524,266.625,2.4053571428571425,2.1589285714285715
2020-04-08,¥ªÀç,¥­§¡­È,23.25090579710145,1.9986775362318838,0.40986801242236026,0.12978778467908897,1.135429606625259,13.00758281573499,14.16063664596273,54.00701345755694,51.38095238095237,26.13690476190476,0.0012422360248447143,62.12655279503105,2.5784161490683233,2.128276397515528,256.98343685300205,229.8392857142857,2.499404761904762,2.2449534161490683
2020-04-15,¥ªÀç,¥­§¡­È,25.616071428571427,1.9353390269151138,0.3583747412008282,0.11344720496894409,1.3682860100561964,11.017358030168591,12.393263827270038,42.22950075287032,38.56512328251459,19.951369282891022,0.0,71.46428571428571,2.578312629399586,2.0482893374741202,194.95833333333331,202.28907867494823,2.1946687370600415,1.9005952380952382
2020-04-22,¥ªÀç,¥­§¡­È,24.29345238095238,2.007700851507651,0.4055201863354037,0.11378734102336582,1.1700409149166913,12.20532140392389,13.378902937986789,47.95623111632837,44.34057971014492,24.466023365868086,0.0,73.19047619047619,2.9329236239950522,2.121025584146702,197.21212121212122,194.65800865800864,2.33982683982684,2.1268939393939394
2020-04-29,¥ªÀç,¥­§¡­È,27.619642857142857,1.8889880952380949,0.24660714285714283,0.06630952380952379,1.2880952380952382,7.2005952380952385,8.480357142857143,36.86011904761905,31.06366459627329,14.090579710144926,0.0,73.625,2.460119047619048,1.9546428571428571,235.07738095238093,236.7738095238095,2.2940476190476184,2.045238095238095
2020-05-06,¥ªÀç,¥­§¡­È,29.438744588744587,1.7989069264069266,0.19335497835497834,0.036271645021644996,1.156439393939394,5.664448051948052,6.823863636363636,25.020562770562773,17.988095238095237,8.33203933747412,0.0011904761904761858,75.85984848484848,1.953300865800866,1.8328246753246753,277.814935064935,274.26190476190476,2.3642857142857143,2.1844155844155844
2020-05-13,¥ªÀç,¥­§¡­È,28.66753246753247,1.8647132034632035,0.3069487577639752,0.08747294372294369,1.5710403726708075,10.193918219461697,11.771040372670809,32.77949134199134,30.430194805194805,12.422619047619047,0.16428571428571428,70.75595238095238,2.4256469979296065,1.951720779220779,212.39285714285714,209.65838509316768,2.223473084886128,1.9458333333333333
2020-05-20,¥ªÀç,¥­§¡­È,26.89345238095238,1.8704813664596271,0.3414803312629399,0.11278985507246375,3.2898237028671815,13.651570832549094,16.924255756320974,27.9883658008658,17.432900432900432,7.193614995405277,2.730072463768116,84.63690476190474,2.107427536231884,1.9825983436853,195.67857142857142,192.16666666666666,1.838095238095238,1.4672619047619049
2020-05-27,¥ªÀç,¥­§¡­È,28.708333333333336,1.8092391304347828,0.2465269151138716,0.08315993788819873,1.4873706004140785,9.079225820763089,10.558344424726412,19.2787784679089,13.5351966873706,4.440476190476191,1.0011904761904762,80.30357142857143,2.12712215320911,1.891506211180124,227.07792207792207,226.97851966873708,1.9508799171842648,1.726569264069264
2020-06-03,¥ªÀç,¥­§¡­È,28.9,1.7855020703933746,0.21925465838509314,0.0941149068322981,3.1140033879164313,7.978154997176737,11.092800677583286,15.32797619047619,12.696687370600415,4.148550724637681,0.44523809523809527,75.85000000000001,2.209653612433115,1.8778260869565215,220.06547619047618,207.23214285714283,1.805595238095238,1.4860119047619047
2020-06-10,¥ªÀç,¥­§¡­È,30.433928571428574,1.7953571428571427,0.21148809523809523,0.06994047619047614,2.4036749482401656,6.830538302277432,9.232453416149069,20.781547619047622,17.389233954451345,4.963744588744589,0.0011904761904761858,69.08095238095238,1.8690476190476188,1.8645238095238095,196.46428571428572,197.03571428571428,2.6062499999999997,2.1439880952380954
2020-06-17,¥ªÀç,¥­§¡­È,30.126785714285713,1.760573593073593,0.11927573203194318,0.037651515151515116,1.8288524105294293,3.6874593315587103,5.520256580893227,18.050077639751553,9.036020139281009,3.6912525879917184,0.0035714285714285574,72.62083333333332,2.2064404022478556,1.795914502164502,259.57142857142856,258.51190476190476,2.126845238095238,1.8759523809523808
2020-06-24,¥ªÀç,¥­§¡­È,30.34642857142857,1.776607142857143,0.1682738095238095,0.05321428571428569,2.525,5.2684523809523816,7.781547619047619,16.008928571428573,11.273809523809524,3.642857142857143,0.1738095238095238,72.39761904761905,2.1714285714285713,1.828571428571428,196.45238095238093,198.34523809523807,2.3731547619047615,1.8516666666666666
2020-07-01,¥ªÀç,¥­§¡­È,30.501190476190477,1.8079270186335403,0.20574534161490682,0.0669384057971014,2.8101190476190476,6.194772256728778,9.005460662525879,16.895962732919255,12.858695652173912,4.9066205533596845,0.2662525879917184,74.61071428571428,2.7249741200828157,1.8735481366459628,195.3392857142857,194.7142857142857,1.9756547619047617,1.6403571428571428
2020-07-08,¥ªÀç,¥­§¡­È,31.197619047619046,1.7589026915113872,0.13141045548654237,0.04848602484472044,2.0780797101449275,4.296557971014493,6.363897515527951,17.589208074534163,9.578416149068323,3.847049689440994,0.0035714285714285574,71.45416666666667,2.3351190476190475,1.804914596273292,231.5892857142857,240.5535714285714,2.111190476190476,1.827142857142857
2020-07-15,¥ªÀç,¥­§¡­È,30.40595238095238,1.7956547619047618,0.22385351966873704,0.10198757763975151,3.1576345755693582,7.973188405797101,11.134446169772257,17.59748964803313,12.947722567287785,5.179089026915114,0.24166666666666667,74.41964285714286,2.6718426501035197,1.896620082815735,177.25,179.80357142857142,1.856547619047619,1.5467261904761906
2020-07-22,¥ªÀç,¥­§¡­È,30.70416666666667,1.7983722943722944,0.22588095238095238,0.08813528138528133,2.2396825396825397,8.11357142857143,10.341388888888888,20.000239641311072,13.595779220779221,6.198593073593074,0.059523809523809486,74.59761904761903,2.4409353741496598,1.885858225108225,171.4853896103896,177.28726708074535,2.000879917184265,1.6089989177489177
2020-07-29,¥ªÀç,¥­§¡­È,28.322619047619046,1.8465683229813663,0.34349637681159423,0.163853519668737,3.73398033126294,13.189829192546584,16.915450310559006,22.162707039337473,21.030797101449277,11.70238095238095,1.0928571428571427,82.91904761904762,2.9749482401656313,2.0100000000000002,160.38095238095235,161.45238095238093,1.8227380952380952,1.4052976190476192
2020-08-05,¥ªÀç,¥­§¡­È,30.063328157349893,1.818609307359307,0.26501623376623373,0.162288961038961,2.489069264069264,9.882792207792209,12.369426406926406,27.22516233766234,23.366412572934312,8.978985507246376,0.08928571428571427,76.84642857142856,2.6659632034632037,1.9795833333333335,166.19155844155844,179.532867494824,2.50768115942029,2.118566017316017
2020-08-12,¥ªÀç,¥­§¡­È,29.386904761904763,1.8246765010351969,0.29123447204968944,0.14379917184265006,3.004140786749482,10.825569358178054,13.823706004140787,25.79179606625259,25.148033126293992,10.294772256728779,0.6273809523809524,78.02380952380952,2.7244565217391306,1.9682298136645964,153.375,153.44047619047618,1.9744047619047618,1.6464285714285716
2020-08-19,¥ªÀç,¥­§¡­È,29.178571428571427,1.8046428571428572,0.26809523809523805,0.10107142857142855,2.519280538302278,9.861645962732918,12.37427536231884,22.288095238095234,20.99611801242236,9.656573498964804,0.5357142857142857,81.64880952380952,2.4297619047619046,1.904940476190476,174.20238095238096,185.53571428571428,1.9636904761904763,1.6035714285714284
