ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2020-01-01,玡,程,17.2,1.8,0.26,0.03,0.3,3.9,4.4,2.4,24.0,1.0,0.0,57.0,0.5,1.85,0.0,0.0,0.5,0.3
2020-01-08,玡,程,15.5,1.81,0.29,0.05,1.0,5.8,8.2,2.6,16.0,10.0,0.0,31.0,0.5,1.88,0.0,1.0,0.6,0.5
2020-01-15,玡,程,13.8,1.81,0.27,0.05,0.6,6.3,8.7,1.9,24.0,9.0,0.0,44.0,1.3,1.86,1.0,2.0,0.5,0.4
2020-01-22,玡,程,14.9,1.78,0.24,0.04,1.0,4.3,5.8,3.6,5.0,1.0,0.0,50.0,0.5,1.83,3.0,0.0,0.5,0.2
2020-01-29,玡,程,10.2,1.82,0.3,0.04,0.3,3.6,4.9,6.7,10.0,6.0,0.0,34.0,1.4,1.86,1.0,1.0,0.8,0.4
2020-02-05,玡,程,15.1,1.81,0.24,0.04,0.6,4.5,6.7,5.6,27.0,15.0,0.0,54.0,0.5,1.87,1.0,4.0,0.5,0.4
2020-02-12,玡,程,11.7,1.79,0.13,0.02,0.0,2.5,3.4,2.4,14.0,6.0,0.0,38.0,0.5,1.83,0.0,0.0,0.5,0.2
2020-02-19,玡,程,14.2,1.81,0.25,0.0,0.0,3.9,5.3,8.8,31.0,16.0,0.0,44.0,0.5,1.82,0.0,0.0,0.9,0.4
2020-02-26,玡,程,19.9,1.79,0.18,0.0,0.9,2.4,4.9,7.3,5.0,3.0,0.0,51.0,0.5,1.81,0.0,2.0,0.5,0.3
2020-03-04,玡,程,18.3,1.78,0.16,0.0,0.3,1.0,2.0,4.4,10.0,7.0,0.0,55.0,1.3,1.8,0.0,2.0,0.7,0.1
2020-03-11,玡,程,18.0,1.83,0.21,0.01,0.7,2.8,4.8,7.2,5.0,7.0,0.0,46.0,0.5,1.85,1.0,1.0,0.8,0.2
2020-03-18,玡,程,21.4,1.82,0.25,0.01,0.9,2.2,4.9,16.2,26.0,14.0,0.0,50.0,0.5,1.83,0.0,0.0,0.5,0.5
2020-03-25,玡,程,18.5,1.77,0.17,0.01,0.3,2.3,4.1,3.0,12.0,5.0,0.0,49.0,0.5,1.78,1.0,1.0,0.5,0.5
2020-04-01,玡,程,19.9,1.83,0.26,0.02,0.7,5.0,6.4,7.0,16.0,12.0,0.0,54.0,0.5,1.86,0.0,0.0,0.5,0.1
2020-04-08,玡,程,17.3,1.83,0.23,0.02,0.3,4.4,5.3,9.0,5.0,11.0,0.0,27.0,0.5,1.87,0.0,0.0,0.5,0.5
2020-04-15,玡,程,20.8,1.76,0.18,0.0,0.7,1.8,4.2,9.7,13.0,6.0,0.0,42.0,1.3,1.77,0.0,1.0,0.5,0.4
2020-04-22,玡,程,20.5,1.82,0.23,0.01,1.1,2.6,4.2,20.9,21.0,9.0,0.0,49.0,0.5,1.84,1.0,1.0,0.6,0.5
2020-04-29,玡,程,24.3,1.72,0.12,0.0,0.6,1.3,2.6,9.4,10.0,3.0,0.0,44.0,0.5,1.73,7.0,3.0,0.5,0.4
2020-05-06,玡,程,26.2,1.36,0.05,0.0,0.6,0.3,1.6,3.3,5.0,1.0,0.0,58.0,0.5,1.35,1.0,1.0,0.6,0.4
2020-05-13,玡,程,24.7,1.69,0.1,0.0,0.3,0.6,1.8,2.4,5.0,2.0,0.0,50.0,0.0,1.7,0.0,0.0,0.6,0.4
2020-05-20,玡,程,24.4,1.65,0.11,0.0,1.0,1.4,3.3,2.4,0.0,1.0,0.0,62.0,0.5,1.67,3.0,10.0,0.5,0.1
2020-05-27,玡,程,25.8,1.49,0.05,0.0,0.6,0.9,2.1,1.4,5.0,1.0,0.0,60.0,1.0,1.5,16.0,6.0,0.5,0.1
2020-06-03,玡,程,24.5,1.67,0.05,0.0,0.3,0.8,1.9,2.0,0.0,1.0,0.0,55.0,0.5,1.66,1.0,1.0,0.47,0.2
2020-06-10,玡,程,28.0,1.68,0.1,0.0,0.5,1.2,4.0,4.2,5.0,1.0,0.0,46.6,1.7,1.68,23.0,9.0,0.48,0.24
2020-06-17,玡,程,27.9,1.68,0.05,0.0,0.0,0.3,1.6,4.0,5.0,1.0,0.0,60.6,0.5,1.67,24.0,34.0,0.47,0.19
2020-06-24,玡,程,25.3,1.68,0.05,0.0,0.3,0.8,2.4,3.2,5.0,1.0,0.0,59.9,1.3,1.67,19.0,10.0,0.47,0.1
2020-07-01,玡,程,28.0,1.68,0.05,0.0,0.3,1.3,2.4,3.1,5.0,1.0,0.0,61.1,1.4,1.68,4.0,0.0,0.49,0.1
2020-07-08,玡,程,28.8,1.66,0.05,0.0,0.3,0.8,1.8,4.7,5.0,1.0,0.0,56.9,2.2,1.65,12.0,2.0,0.56,0.34
2020-07-15,玡,程,27.7,1.68,0.05,0.0,0.3,1.0,1.9,2.6,5.0,1.0,0.0,51.4,1.7,1.67,3.0,1.0,0.53,0.08
2020-07-22,玡,程,26.1,1.67,0.05,0.0,0.3,1.5,3.0,2.8,5.0,1.0,0.0,58.0,1.9,1.67,5.0,1.0,0.53,0.09
