ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2020-01-01,緻,程,16.2,NaN,0.24,NaN,0.3,2.4,3.9,0.5,17.0,11.0,0.0,51.0,0.0,NaN,6.0,1.0,0.4,0.0
2020-01-08,緻,程,15.3,NaN,0.2,NaN,0.3,3.4,4.8,0.5,16.0,5.0,0.0,32.0,0.0,NaN,1.0,0.0,0.4,0.1
2020-01-15,緻,程,14.0,NaN,0.22,NaN,0.0,3.4,4.4,2.0,16.0,9.0,0.0,31.0,0.5,NaN,6.0,2.0,0.4,0.1
2020-01-22,緻,程,15.9,NaN,0.18,NaN,0.0,2.3,2.6,5.6,5.0,1.0,0.0,43.0,0.5,NaN,3.0,1.0,0.4,0.0
2020-01-29,緻,程,9.3,NaN,0.19,NaN,0.0,1.5,2.3,3.1,14.0,7.0,0.0,29.0,0.5,NaN,1.0,4.0,0.4,0.0
2020-02-05,緻,程,14.4,NaN,0.26,NaN,0.3,3.4,4.4,1.2,21.0,11.0,0.0,52.0,0.5,NaN,4.0,5.0,0.4,0.0
2020-02-12,緻,程,11.9,NaN,0.12,NaN,0.3,1.7,3.1,2.0,5.0,3.0,0.0,43.0,0.5,NaN,1.0,2.0,0.4,0.1
2020-02-19,緻,程,13.0,NaN,0.23,NaN,0.3,2.6,4.0,4.8,24.0,13.0,0.0,43.0,0.5,NaN,5.0,0.0,0.4,0.1
2020-02-26,緻,程,18.7,NaN,0.18,NaN,0.0,2.5,4.0,4.8,16.0,8.0,0.0,39.0,0.5,NaN,18.0,8.0,0.4,0.1
2020-03-04,緻,程,17.9,NaN,0.14,NaN,0.0,2.4,2.8,4.4,10.0,2.0,0.0,48.0,1.2,NaN,1.0,1.0,0.4,0.1
2020-03-11,緻,程,16.5,NaN,0.18,NaN,0.0,3.2,3.8,1.6,5.0,1.0,0.0,42.0,0.5,NaN,2.0,2.0,0.4,0.0
2020-03-18,緻,程,18.6,NaN,0.24,NaN,0.0,3.2,3.7,2.8,24.0,16.0,0.0,49.0,1.1,NaN,3.0,1.0,0.4,0.1
2020-03-25,緻,程,18.1,NaN,0.17,NaN,0.0,1.6,2.6,1.9,5.0,6.0,0.0,45.0,0.5,NaN,4.0,8.0,0.4,0.0
2020-04-01,緻,程,18.9,NaN,0.2,NaN,0.0,2.3,2.7,6.8,5.0,4.0,0.0,53.0,0.0,NaN,0.0,2.0,0.4,0.1
2020-04-08,緻,程,15.9,NaN,0.24,NaN,0.0,2.6,3.1,7.6,12.0,7.0,0.0,32.0,0.5,NaN,8.0,2.0,0.4,0.1
2020-04-15,緻,程,17.2,NaN,0.19,NaN,0.0,3.1,3.3,1.7,11.0,8.0,0.0,35.0,0.0,NaN,7.0,0.0,0.4,0.1
2020-04-22,緻,程,19.6,NaN,0.24,NaN,0.3,4.2,4.7,8.5,5.0,7.0,0.0,46.0,0.5,NaN,5.0,1.0,0.4,0.0
2020-04-29,緻,程,21.8,NaN,0.12,NaN,0.0,1.8,1.9,1.2,12.0,6.0,0.0,42.0,0.5,NaN,5.0,2.0,0.4,0.1
2020-05-06,緻,程,24.3,NaN,0.05,NaN,0.0,1.2,1.4,1.8,5.0,3.0,0.0,49.0,0.0,NaN,4.0,4.0,0.4,0.1
2020-05-13,緻,程,23.8,NaN,0.1,NaN,0.0,1.9,2.0,3.3,5.0,1.0,0.0,48.0,0.5,NaN,7.0,5.0,0.4,0.1
2020-05-20,緻,程,23.7,NaN,0.05,NaN,0.0,0.6,1.0,6.6,0.0,1.0,0.0,56.0,0.0,NaN,0.0,1.0,0.4,0.0
2020-05-27,緻,程,24.1,NaN,0.05,NaN,0.0,0.3,0.3,2.1,5.0,1.0,0.0,52.0,0.5,NaN,18.0,5.0,0.4,0.1
2020-06-03,緻,程,23.4,NaN,0.05,NaN,0.0,0.7,0.8,1.7,5.0,1.0,0.0,49.8,0.5,NaN,2.0,6.0,0.4,0.07
2020-06-10,緻,程,24.8,NaN,0.05,NaN,0.0,0.3,0.7,2.8,5.0,1.0,0.0,49.8,0.5,NaN,17.0,4.0,0.4,0.1
2020-06-17,緻,程,25.6,NaN,0.05,NaN,0.0,0.3,0.3,2.7,5.0,1.0,0.0,50.7,0.5,NaN,1.0,0.0,0.4,0.16
2020-06-24,緻,程,25.4,NaN,0.05,NaN,0.0,1.0,1.7,2.6,5.0,1.0,0.0,50.4,0.5,NaN,7.0,2.0,0.4,0.08
2020-07-01,緻,程,24.9,NaN,0.05,NaN,0.0,0.8,0.8,1.5,5.0,1.0,0.0,54.3,0.5,NaN,24.0,2.0,0.4,0.25
2020-07-08,緻,程,25.8,NaN,0.05,NaN,0.0,0.0,0.3,3.6,5.0,1.0,0.0,47.2,0.5,NaN,10.0,1.0,0.4,0.09
2020-07-15,緻,程,24.2,NaN,0.05,NaN,0.0,0.3,0.3,1.6,5.0,1.0,0.0,49.3,0.5,NaN,6.0,1.0,0.42,0.09
2020-07-22,緻,程,24.7,NaN,0.05,NaN,0.0,0.0,0.3,3.1,0.0,1.0,0.0,54.8,0.5,NaN,14.0,13.0,0.41,0.09
2020-07-29,緻,程,23.8,NaN,0.05,NaN,0.0,0.0,0.3,4.2,0.0,1.0,0.0,60.4,0.0,NaN,2.0,0.0,0.44,0.07
2020-08-05,緻,程,24.2,NaN,0.05,NaN,0.0,0.0,0.3,2.6,5.0,1.0,0.0,56.9,0.5,NaN,7.0,1.0,0.4,0.1
2020-08-12,緻,程,24.3,NaN,0.05,NaN,0.0,0.0,0.0,3.3,5.0,1.0,0.0,53.0,0.5,NaN,16.0,0.0,0.4,0.1
2020-08-19,緻,程,24.8,NaN,0.05,NaN,0.0,0.5,1.0,5.5,5.0,1.0,0.0,58.0,0.5,NaN,3.0,3.0,0.4,0.0
2020-08-26,緻,程,23.8,NaN,0.05,NaN,0.0,0.0,0.3,4.8,0.0,1.0,0.0,58.0,0.5,NaN,5.0,5.0,0.4,0.1
2020-09-02,緻,程,22.8,NaN,0.15,NaN,0.0,0.3,0.6,7.6,5.0,1.0,0.0,40.0,0.5,NaN,5.0,2.0,0.4,0.1
2020-09-09,緻,程,25.4,NaN,0.13,NaN,0.0,0.3,1.3,1.0,5.0,3.0,0.0,49.0,0.5,NaN,2.0,1.0,0.4,0.1
2020-09-16,緻,程,25.0,NaN,0.13,NaN,0.0,1.0,1.2,4.8,5.0,1.0,0.0,54.0,0.5,NaN,14.0,0.0,0.4,0.1
2020-09-23,緻,程,25.1,NaN,0.22,NaN,0.0,1.3,1.0,7.4,18.0,6.0,0.0,54.0,1.0,NaN,4.0,5.0,0.4,0.1
2020-09-30,緻,程,24.0,NaN,0.18,NaN,0.0,2.0,2.3,7.9,16.0,6.0,0.0,48.0,0.5,NaN,12.0,3.0,0.4,0.1
2020-10-07,緻,程,23.2,NaN,0.2,NaN,0.0,2.6,2.7,5.1,23.0,10.0,0.0,53.0,0.5,NaN,18.0,2.0,0.4,0.1
2020-10-14,緻,程,22.5,NaN,0.17,NaN,0.0,2.6,3.3,2.0,15.0,9.0,0.0,50.0,0.5,NaN,3.0,2.0,0.4,0.1
2020-10-21,緻,程,21.3,NaN,0.18,NaN,0.0,4.1,4.1,1.5,14.0,7.0,0.0,54.0,0.0,NaN,0.0,2.0,0.4,0.0
2020-10-28,緻,程,20.5,NaN,0.18,NaN,0.0,3.3,4.0,3.9,14.0,8.0,0.0,43.0,0.5,NaN,2.0,2.0,0.4,0.0
2020-11-04,緻,程,20.2,NaN,0.17,NaN,0.0,3.2,3.6,0.5,12.0,7.0,0.0,53.0,0.5,NaN,4.0,5.0,0.4,0.0
2020-11-11,緻,程,19.8,NaN,0.15,NaN,0.0,2.5,2.7,0.5,22.0,9.0,0.0,55.0,0.0,NaN,0.0,0.0,0.4,0.0
2020-11-18,緻,程,21.6,NaN,0.12,NaN,0.0,3.3,4.0,0.5,16.0,10.0,0.0,54.0,0.0,NaN,3.0,0.0,0.4,0.1
2020-11-25,緻,程,19.1,NaN,0.21,NaN,0.0,3.6,4.6,0.5,23.0,13.0,0.0,54.0,0.5,NaN,16.0,2.0,0.4,0.1
2020-12-02,緻,程,18.4,NaN,0.23,NaN,0.0,4.6,5.3,3.1,22.0,9.0,0.0,53.0,0.5,NaN,5.0,5.0,0.4,0.1
