ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2021-01-01,伦,程,8.8,1.74,0.15,0.02,0.0,2.0,2.8,10.5,3.0,1.0,0.0,45.0,0.0,1.78,1.0,0.0,0.4,0.2
2021-01-08,伦,程,6.5,1.75,0.16,0.02,0.7,1.9,3.9,5.7,3.0,4.0,0.0,30.0,0.0,1.81,3.0,0.0,0.4,0.1
2021-01-15,伦,程,10.2,1.71,0.14,0.01,0.0,1.2,3.7,4.0,2.0,4.0,0.0,22.0,0.0,1.74,0.0,1.0,0.4,0.2
2021-01-22,伦,程,12.6,1.68,0.09,0.03,0.0,3.9,5.8,2.3,9.0,5.0,0.0,49.0,0.0,1.77,0.0,2.0,0.4,0.0
2021-01-29,伦,程,12.4,1.76,0.27,0.04,0.0,1.9,4.2,7.3,16.0,9.0,0.0,24.0,0.0,1.82,1.0,3.0,0.4,0.0
2021-02-05,伦,程,12.7,1.71,0.13,0.01,0.0,3.9,5.4,5.8,2.0,4.0,0.0,34.0,0.3,1.72,1.0,2.0,0.4,0.0
2021-02-12,伦,程,12.7,1.73,0.15,0.01,0.0,2.1,2.7,7.4,5.0,5.0,0.0,26.0,0.3,1.75,0.0,1.0,0.4,0.0
2021-02-19,伦,程,11.3,1.72,0.17,0.03,0.0,1.7,2.1,3.4,18.0,12.0,0.0,16.0,0.4,1.78,6.0,6.0,0.4,0.0
2021-02-26,伦,程,14.7,1.7,0.15,0.03,0.0,4.0,3.9,5.2,3.0,5.0,0.0,45.0,0.6,1.74,0.0,1.0,0.4,0.1
2021-03-05,伦,程,15.8,1.71,0.16,0.0,1.2,3.0,4.2,2.0,3.0,4.0,0.0,50.0,0.6,1.7,1.0,2.0,0.4,0.1
2021-03-12,伦,程,16.4,1.71,0.19,0.03,0.0,2.9,5.0,1.7,17.0,10.0,0.0,44.0,0.8,1.77,3.0,0.0,0.4,0.1
2021-03-19,伦,程,11.7,1.72,0.18,0.01,0.0,2.6,2.3,2.4,6.0,6.0,0.0,45.0,0.7,1.76,1.0,0.0,0.4,0.0
2021-03-26,伦,程,16.8,1.71,0.19,0.01,0.1,2.3,2.5,1.9,20.0,13.0,0.0,46.0,0.7,1.74,14.0,17.0,0.4,0.0
2021-04-02,伦,程,16.9,1.68,0.17,0.02,0.3,3.4,4.4,2.6,8.0,7.0,0.0,37.0,0.3,1.73,1.0,1.0,0.4,0.1
2021-04-09,伦,程,15.6,1.74,0.15,0.01,0.0,2.0,3.3,6.6,4.0,5.0,0.0,50.0,0.6,1.77,0.0,2.0,0.4,0.1
2021-04-16,伦,程,18.8,1.75,0.21,0.04,0.0,4.5,6.0,6.7,13.0,10.0,0.0,37.0,0.8,1.81,2.0,0.0,0.4,0.2
2021-04-23,伦,程,19.2,1.69,0.11,0.02,0.0,3.9,4.0,6.2,4.0,2.0,0.0,51.0,0.6,1.72,1.0,2.0,0.4,0.0
2021-04-30,伦,程,18.1,1.69,0.2,0.03,0.0,3.6,5.5,2.9,11.0,4.0,0.0,44.0,1.0,1.77,2.0,8.0,0.4,0.0
2021-05-07,伦,程,22.5,1.64,0.12,0.02,0.0,3.5,6.9,3.2,13.0,9.0,0.0,39.0,0.9,1.68,31.0,5.0,0.4,0.2
2021-05-14,伦,程,24.2,1.63,0.08,0.02,0.0,2.2,2.4,1.6,10.0,6.0,0.0,40.0,0.9,1.67,89.0,83.0,0.9,0.3
2021-05-21,伦,程,25.3,1.62,0.1,0.01,0.0,2.3,3.1,7.5,9.0,3.0,0.0,44.0,0.8,1.65,2.0,1.0,0.6,0.2
2021-05-28,伦,程,23.9,1.61,0.07,0.0,0.0,0.8,1.8,4.6,1.0,0.0,0.0,45.0,0.5,1.61,3.0,1.0,0.4,0.0
2021-06-04,伦,程,23.2,1.64,0.08,0.0,0.6,0.6,2.7,7.9,2.0,0.0,0.0,51.0,0.9,1.67,2.0,8.0,0.4,0.0
2021-06-11,伦,程,24.8,1.62,0.05,0.0,0.0,1.4,1.9,7.0,9.0,2.0,0.0,47.0,0.7,1.63,4.0,5.0,0.4,0.3
2021-06-18,伦,程,24.1,1.63,0.07,0.0,0.0,0.6,1.1,12.7,3.0,0.0,0.0,49.0,0.8,1.63,29.0,0.0,0.7,0.4
2021-06-25,伦,程,23.4,1.62,0.07,0.0,0.0,0.3,0.5,13.8,3.0,0.0,0.0,47.0,0.8,1.62,105.0,111.0,0.6,0.9
2021-07-02,伦,程,25.1,1.61,0.04,0.0,0.0,1.1,2.4,5.5,10.0,3.0,0.0,45.0,1.0,1.62,1.0,4.0,0.6,0.2
2021-07-09,伦,程,23.7,1.63,0.05,0.02,0.0,2.2,1.8,2.2,9.0,1.0,0.0,51.0,0.7,1.68,5.0,10.0,0.5,0.4
2021-07-16,伦,程,23.6,1.64,0.03,0.05,0.0,1.6,2.5,6.9,2.0,0.0,0.0,58.0,0.5,1.71,0.0,0.0,0.2,0.1
2021-07-23,伦,程,24.8,1.64,0.06,0.0,0.5,1.2,2.1,10.7,4.0,0.0,0.0,56.0,0.0,1.7,6.0,3.0,1.0,0.6
2021-07-30,伦,程,24.0,1.69,0.12,0.0,0.1,1.1,2.1,8.5,0.0,0.0,0.0,63.0,0.3,1.72,26.0,3.0,0.3,0.3
2021-08-06,伦,程,23.8,1.7,0.1,0.0,0.7,1.5,2.4,6.2,0.0,0.0,0.0,63.0,0.2,1.72,71.0,49.0,0.3,0.3
2021-08-13,伦,程,23.9,1.71,0.09,0.03,0.8,1.4,2.4,1.6,4.0,0.0,0.0,62.0,0.3,1.76,1.0,1.0,0.2,0.3
2021-08-20,伦,程,22.9,1.7,0.09,0.01,0.8,1.7,2.9,6.1,8.0,1.0,0.0,58.0,0.7,1.72,16.0,14.0,0.2,0.1
2021-08-27,伦,程,25.1,1.72,0.12,0.04,0.6,2.4,3.4,2.0,16.0,8.0,0.0,59.0,0.7,1.77,0.0,7.0,0.2,0.2
2021-09-03,伦,程,24.1,1.71,0.12,0.01,0.7,2.6,3.6,3.4,4.0,2.0,0.0,59.0,0.0,1.74,4.0,1.0,0.3,0.2
