ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2021-01-01,,程,22.0,2.05,0.99,0.42,13.2,34.0,47.2,44.6,30.0,19.0,2.2,94.0,2.8,2.34,358.0,359.0,2.2,1.5
2021-01-08,,程,21.6,1.99,1.39,0.83,97.1,43.1,134.1,54.0,77.0,45.0,4.2,92.0,9.4,2.72,359.0,359.0,2.5,2.0
2021-01-15,,程,29.8,2.22,1.37,0.96,125.2,60.2,166.4,90.5,102.0,46.0,0.2,90.0,6.9,3.0,358.0,359.0,3.6,2.1
2021-01-22,,程,25.5,2.03,1.1,0.37,68.6,33.2,90.9,58.1,52.0,34.0,0.2,90.0,3.4,2.4,359.0,359.0,3.2,3.2
2021-01-29,,程,24.4,2.21,1.62,0.81,99.9,61.0,138.6,80.9,117.0,54.0,0.0,88.0,8.8,2.98,359.0,359.0,2.7,2.2
2021-02-05,,程,27.0,2.28,1.1,0.43,73.6,43.3,104.5,98.2,105.0,65.0,5.4,92.0,6.1,2.64,359.0,359.0,3.0,2.5
2021-02-12,,程,25.4,2.04,0.62,0.18,21.1,24.8,35.7,69.6,78.0,39.0,3.4,93.0,4.7,2.22,359.0,359.0,3.3,3.4
2021-02-19,,程,28.5,2.19,1.53,0.63,67.2,56.1,105.3,108.8,134.0,93.0,0.0,90.0,6.5,2.74,359.0,356.0,3.0,2.2
2021-02-26,,程,26.6,2.29,1.19,0.78,46.6,50.6,85.4,59.7,70.0,49.0,8.8,92.0,5.5,3.05,358.0,359.0,2.7,2.1
2021-03-05,,程,27.7,2.44,1.32,0.79,48.0,54.3,89.8,68.6,97.0,52.0,9.2,93.0,5.5,3.14,359.0,359.0,3.1,2.3
2021-03-12,,程,30.1,2.36,1.49,0.97,66.2,51.8,91.6,111.8,91.0,70.0,0.0,89.0,8.1,3.33,358.0,359.0,3.1,2.5
2021-03-19,,程,27.9,2.22,0.94,0.53,40.8,50.2,77.3,66.0,81.0,55.0,3.4,92.0,5.9,2.68,358.0,360.0,3.1,1.9
2021-03-26,,程,30.5,2.42,1.2,0.66,34.7,53.2,62.6,92.8,117.0,65.0,0.2,91.0,7.4,3.02,359.0,359.0,3.4,2.4
2021-04-02,,程,31.7,2.21,0.87,0.43,43.4,37.9,67.0,78.6,67.0,46.0,0.4,89.0,11.5,2.64,359.0,358.0,3.4,2.5
2021-04-09,,程,30.3,2.14,0.86,0.47,49.1,31.0,72.8,89.9,60.0,43.0,0.6,90.0,5.8,2.57,358.0,358.0,3.0,2.3
2021-04-16,,程,30.9,2.03,0.55,0.18,4.7,20.8,25.5,81.7,238.0,60.0,1.4,91.0,4.2,2.15,358.0,359.0,3.1,2.1
2021-04-23,,程,29.2,2.16,1.0,0.54,26.5,41.7,57.1,75.3,45.0,30.0,11.0,93.0,4.5,2.7,358.0,358.0,3.4,2.6
2021-04-30,,程,32.4,2.4,1.29,0.71,43.8,43.0,68.3,124.5,83.0,39.0,4.4,92.0,5.8,2.94,354.0,359.0,3.1,2.5
2021-05-07,,程,36.5,2.1,0.99,0.57,35.4,41.7,57.1,89.4,63.0,35.0,0.4,89.0,9.9,2.54,357.0,355.0,3.9,3.1
2021-05-14,,程,36.2,2.17,0.59,0.42,21.6,34.6,43.8,92.6,60.0,47.0,0.0,86.0,5.6,2.45,359.0,359.0,3.1,2.8
2021-05-21,,程,37.2,2.11,0.47,0.34,22.2,24.7,39.1,84.2,49.0,31.0,14.0,88.0,4.3,2.42,359.0,358.0,4.3,3.1
2021-05-28,,程,37.9,2.14,0.75,0.44,36.0,28.4,53.9,91.0,57.0,22.0,16.0,92.0,4.0,2.55,357.0,358.0,4.0,2.5
2021-06-04,,程,34.6,2.05,0.52,0.33,28.2,26.7,46.5,69.8,44.0,20.0,60.2,91.0,3.7,2.26,359.0,359.0,3.1,3.2
2021-06-11,,程,36.8,1.95,0.45,0.23,21.0,25.0,33.4,73.5,54.0,18.0,1.0,88.0,4.0,2.17,352.0,328.0,5.4,3.0
2021-06-18,,程,37.0,1.95,0.53,0.48,24.5,26.0,45.6,55.7,82.0,65.0,10.0,91.0,6.2,2.33,355.0,358.0,4.5,2.8
2021-06-25,,程,36.9,1.99,0.6,1.23,24.1,26.9,43.4,65.1,44.0,24.0,2.8,92.0,3.6,3.01,356.0,359.0,4.2,2.5
2021-07-02,,程,37.5,1.95,0.47,0.43,23.8,24.3,35.8,97.8,56.0,52.0,16.6,89.0,3.9,2.31,350.0,354.0,3.7,2.7
2021-07-09,,程,37.0,1.98,0.62,0.54,27.9,36.1,48.8,73.0,51.0,23.0,33.0,89.0,5.6,2.4,355.0,352.0,3.2,2.7
2021-07-16,,程,37.0,1.99,0.6,0.4,18.8,19.4,31.2,76.4,38.0,19.0,15.0,95.0,3.4,2.38,359.0,359.0,4.0,2.9
2021-07-23,,程,38.5,2.18,0.68,0.46,19.2,31.6,38.9,101.2,84.0,76.0,36.0,95.0,3.9,2.56,356.0,354.0,4.9,3.6
2021-07-30,,程,36.5,2.28,0.89,0.73,33.9,36.9,48.5,71.3,42.0,21.0,29.5,95.0,3.4,2.82,356.0,358.0,3.5,2.3
2021-08-06,,程,35.7,2.36,0.76,0.58,40.6,27.5,60.9,88.2,44.0,30.0,27.0,99.0,5.7,2.7,358.0,359.0,3.3,2.7
2021-08-13,,程,35.3,2.2,0.84,0.43,38.7,38.2,55.4,96.6,46.0,26.0,37.0,99.0,NaN,2.59,343.0,348.0,3.8,3.1
2021-08-20,,程,35.8,2.21,0.84,0.41,33.0,38.7,51.4,110.2,41.0,26.0,38.0,98.0,4.0,2.6,358.0,360.0,3.9,3.2
2021-08-27,,程,36.7,2.15,0.68,0.39,30.0,31.5,53.8,103.5,62.0,30.0,7.0,93.0,3.0,2.48,350.0,349.0,2.9,2.3
2021-09-03,,程,36.2,2.17,0.66,0.45,37.0,31.5,49.6,96.1,38.0,27.0,30.0,97.0,2.1,2.5,357.0,354.0,3.4,2.8
2021-09-10,,程,35.8,2.22,0.78,0.57,27.0,35.8,59.9,86.8,39.0,28.0,21.5,98.0,3.3,2.65,347.0,358.0,3.9,4.0
2021-09-17,,程,35.8,2.24,0.79,0.38,42.9,33.3,68.3,99.2,49.0,28.0,5.0,95.0,4.1,2.59,359.0,359.0,3.2,2.4
2021-09-24,,程,34.3,2.19,0.69,1.09,26.2,30.0,52.3,116.7,55.0,28.0,0.0,90.0,5.1,3.16,359.0,359.0,3.8,2.6
2021-10-01,,程,34.7,2.27,0.64,0.36,24.1,27.0,49.2,92.4,66.0,42.0,1.5,94.0,4.1,2.63,358.0,358.0,4.4,2.2
2021-10-08,,程,33.7,2.06,0.54,0.37,4.8,16.4,18.5,33.2,36.0,14.0,14.5,97.0,1.2,2.36,358.0,354.0,3.3,2.7
2021-10-15,,程,33.4,2.21,0.56,0.24,4.3,32.8,35.2,40.9,29.0,18.0,4.5,99.0,6.8,2.44,358.0,359.0,3.8,2.5
2021-10-22,,程,27.5,2.2,0.67,0.24,3.4,29.3,31.5,53.1,33.0,15.0,6.5,100.0,1.9,2.42,359.0,358.0,2.8,2.1
2021-10-29,,程,27.3,2.21,0.69,0.37,4.4,27.7,29.4,51.0,41.0,22.0,1.0,94.0,4.6,2.58,358.0,360.0,2.7,2.1
2021-11-05,,程,29.9,2.49,1.24,1.73,57.5,58.6,78.8,68.1,64.0,38.0,14.5,99.0,4.4,4.1,359.0,359.0,3.9,3.0
2021-11-12,,程,28.3,2.22,0.8,0.48,14.2,38.9,44.6,59.1,35.0,18.0,4.5,99.0,2.1,2.62,359.0,358.0,2.9,2.2
2021-11-19,,程,28.6,2.28,0.86,0.44,32.2,31.6,62.4,83.3,60.0,34.0,6.5,100.0,4.5,2.69,357.0,359.0,2.3,2.3
2021-11-26,,程,28.1,2.29,0.63,0.52,19.6,31.0,42.0,52.7,60.0,35.0,2.0,90.0,2.0,2.68,359.0,358.0,3.5,2.9
2021-12-03,,程,24.4,2.23,1.09,0.42,51.6,37.2,88.8,55.6,42.0,18.0,6.0,92.0,2.0,2.65,359.0,358.0,2.9,2.0
2021-12-10,,程,28.0,2.33,1.28,0.82,104.9,59.8,127.8,88.1,59.0,45.0,3.0,91.0,8.2,3.08,357.0,359.0,2.9,2.5
2021-12-17,,程,23.1,2.33,1.11,0.79,64.4,48.7,90.7,48.9,72.0,50.0,3.5,94.0,2.4,3.06,355.0,359.0,3.0,1.9
2021-12-24,,程,20.3,2.31,0.89,0.5,52.9,37.0,71.4,51.4,67.0,47.0,1.5,95.0,2.6,2.65,359.0,359.0,3.3,2.2
