ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2021-01-01,穝┍,程,22.2,NaN,0.67,NaN,15.1,27.3,34.2,43.5,34.0,15.0,2.0,92.0,2.5,NaN,290.0,333.0,4.0,2.6
2021-01-08,穝┍,程,21.5,NaN,1.09,NaN,39.3,44.3,65.1,53.3,64.0,36.0,2.4,91.0,6.4,NaN,339.0,358.0,3.7,3.4
2021-01-15,穝┍,程,29.1,NaN,1.1,NaN,63.3,50.2,79.8,84.1,93.0,41.0,0.2,84.0,3.3,NaN,350.0,359.0,4.9,4.1
2021-01-22,穝┍,程,25.3,NaN,0.85,NaN,12.2,28.1,30.8,62.6,48.0,31.0,2.6,91.0,4.0,NaN,354.0,348.0,3.7,2.8
2021-01-29,穝┍,程,24.7,NaN,1.12,NaN,38.4,55.1,73.5,82.9,120.0,53.0,0.0,83.0,3.9,NaN,355.0,353.0,5.3,4.9
2021-02-05,穝┍,程,27.7,NaN,0.93,NaN,8.0,42.9,46.2,100.9,92.0,53.0,6.0,90.0,4.6,NaN,359.0,354.0,5.3,5.1
2021-02-12,穝┍,程,25.3,NaN,0.7,NaN,10.1,23.7,33.9,57.6,71.0,37.0,3.6,92.0,3.2,NaN,330.0,334.0,4.0,3.8
2021-02-19,穝┍,程,28.0,NaN,1.43,NaN,28.4,60.0,77.6,107.9,106.0,80.0,0.0,85.0,4.5,NaN,358.0,359.0,5.0,4.6
2021-02-26,穝┍,程,26.9,NaN,1.24,NaN,38.9,49.9,81.8,65.4,64.0,53.0,4.4,91.0,5.0,NaN,358.0,359.0,3.3,3.0
2021-03-05,穝┍,程,27.8,NaN,1.09,NaN,32.5,47.6,77.3,97.1,66.0,44.0,5.4,91.0,3.3,NaN,355.0,359.0,5.2,3.1
2021-03-12,穝┍,程,30.0,NaN,1.54,NaN,53.5,43.3,94.1,93.7,72.0,51.0,0.0,89.0,10.2,NaN,359.0,359.0,4.6,3.7
2021-03-19,穝┍,程,27.6,NaN,1.41,NaN,40.1,38.6,77.4,63.4,87.0,54.0,3.0,91.0,5.6,NaN,355.0,355.0,4.0,3.1
2021-03-26,穝┍,程,30.1,NaN,1.14,NaN,35.2,47.6,54.6,131.8,97.0,64.0,0.4,90.0,6.7,NaN,359.0,359.0,3.3,3.1
2021-04-02,穝┍,程,31.5,NaN,0.71,NaN,11.3,30.3,41.6,94.8,63.0,45.0,0.2,87.0,3.7,NaN,358.0,351.0,4.1,4.7
2021-04-09,穝┍,程,29.6,NaN,0.88,NaN,9.0,34.7,38.4,104.0,127.0,52.0,1.2,89.0,50.7,NaN,348.0,357.0,4.6,3.8
2021-04-16,穝┍,程,30.1,NaN,0.54,NaN,4.8,17.4,19.4,86.2,239.0,69.0,0.2,87.0,5.9,NaN,175.0,353.0,5.9,5.0
2021-04-23,穝┍,程,28.7,NaN,0.78,NaN,9.8,36.3,42.8,61.2,31.0,20.0,11.4,91.0,3.5,NaN,358.0,354.0,6.5,6.1
2021-04-30,穝┍,程,32.3,NaN,0.89,NaN,14.0,45.2,48.1,131.4,82.0,38.0,6.6,85.0,6.1,NaN,356.0,357.0,4.9,4.4
2021-05-07,穝┍,程,36.2,NaN,0.71,NaN,17.9,32.3,36.3,98.8,62.0,30.0,0.0,86.0,7.5,NaN,359.0,359.0,4.0,3.2
2021-05-14,穝┍,程,35.2,NaN,0.55,NaN,8.4,24.1,26.0,108.6,53.0,35.0,30.4,85.0,7.3,NaN,357.0,358.0,3.4,2.6
2021-05-21,穝┍,程,37.0,NaN,0.52,NaN,6.3,16.1,18.4,89.3,42.0,26.0,9.0,88.0,5.5,NaN,357.0,356.0,4.2,3.2
2021-05-28,穝┍,程,37.5,NaN,0.47,NaN,9.2,20.7,23.8,93.5,45.0,23.0,13.6,90.0,5.6,NaN,356.0,352.0,4.5,3.5
2021-06-04,穝┍,程,34.1,NaN,0.5,NaN,8.9,17.6,21.1,75.9,32.0,18.0,62.4,90.0,3.6,NaN,353.0,359.0,4.1,4.3
2021-06-11,穝┍,程,36.3,NaN,0.44,NaN,6.0,15.4,17.7,74.8,42.0,15.0,0.4,85.0,4.6,NaN,356.0,357.0,5.1,4.9
2021-06-18,穝┍,程,36.3,NaN,0.5,NaN,5.6,20.6,24.4,56.5,35.0,14.0,6.8,90.0,3.4,NaN,353.0,349.0,5.7,3.8
