ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2021-01-01,猀,程,9.1,1.88,0.17,0.02,0.2,3.5,4.0,2.4,1.0,1.0,0.0,55.0,0.0,1.91,13.0,6.0,0.4,0.1
2021-01-08,猀,程,7.2,1.87,0.18,0.03,0.6,3.9,5.4,1.1,9.0,7.0,0.0,36.0,0.0,1.92,23.0,18.0,0.4,0.2
2021-01-15,猀,程,11.6,1.85,0.15,0.01,0.0,3.6,4.3,1.3,6.0,6.0,0.0,26.0,0.0,1.89,22.0,10.0,0.4,0.2
2021-01-22,猀,程,14.5,1.82,0.2,0.05,0.0,5.8,6.7,2.6,2.0,0.0,0.0,52.0,0.0,1.89,4.0,20.0,0.4,0.1
2021-01-29,猀,程,14.2,1.86,0.17,0.02,0.0,3.6,4.6,1.3,13.0,4.0,0.0,42.0,0.0,1.89,9.0,10.0,0.4,0.0
2021-02-05,猀,程,15.1,1.85,0.17,0.02,0.0,3.5,5.9,1.5,5.0,0.0,0.0,44.0,0.6,1.88,31.0,16.0,0.4,0.0
2021-02-12,猀,程,12.2,1.84,0.12,0.01,0.0,2.3,4.7,1.4,1.0,3.0,0.0,33.0,0.0,1.85,15.0,14.0,0.5,0.1
2021-02-19,猀,程,11.9,1.85,0.18,0.03,0.0,4.8,4.5,1.4,9.0,5.0,0.0,26.0,0.4,1.91,25.0,2.0,0.4,0.0
2021-02-26,猀,程,14.1,1.9,0.16,0.03,0.0,4.1,5.4,1.0,3.0,3.0,0.0,55.0,0.0,1.95,33.0,13.0,0.5,0.1
2021-03-05,猀,程,16.4,1.88,0.18,0.02,0.0,2.8,3.8,1.2,2.0,3.0,0.0,52.0,0.5,1.95,4.0,19.0,0.5,0.2
2021-03-12,猀,程,17.5,1.88,0.24,0.03,0.0,5.3,6.2,1.2,15.0,9.0,0.0,39.0,0.0,1.92,5.0,4.0,0.4,0.2
2021-03-19,猀,程,12.1,1.87,0.19,0.02,0.0,5.1,5.5,1.1,0.0,2.0,0.0,57.0,0.0,1.93,20.0,27.0,0.4,0.1
2021-03-26,猀,程,17.6,1.86,0.21,0.04,0.0,6.8,8.4,0.9,12.0,7.0,0.0,47.0,0.0,1.95,18.0,5.0,0.4,0.0
2021-04-02,猀,程,16.2,1.87,0.17,0.02,0.0,5.9,7.1,1.0,2.0,4.0,0.0,42.0,0.6,1.91,4.0,15.0,0.4,0.1
2021-04-09,猀,程,15.8,1.86,0.17,0.02,0.0,4.2,5.6,1.4,2.0,4.0,0.0,49.0,0.0,1.88,2.0,4.0,0.4,0.1
2021-04-16,猀,程,18.8,1.83,0.17,0.02,0.0,3.1,4.4,9.6,0.0,2.0,0.0,41.0,0.0,1.86,39.0,27.0,0.9,0.6
2021-04-23,猀,程,16.6,1.83,0.12,0.0,0.0,1.9,2.2,1.3,2.0,4.0,0.0,48.0,0.0,1.86,10.0,15.0,0.4,0.2
