ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2021-01-01,打,程,8.5,NaN,0.15,NaN,0.1,1.6,2.9,21.0,0.0,2.0,0.0,56.0,0.8,NaN,27.0,18.0,1.3,0.3
2021-01-08,打,程,6.0,NaN,0.2,NaN,0.0,3.9,5.3,1.9,11.0,0.0,0.0,33.0,0.9,NaN,8.0,5.0,0.5,0.2
2021-01-15,打,程,11.1,NaN,0.13,NaN,0.0,2.4,3.4,1.5,5.0,4.0,0.0,44.0,0.8,NaN,3.0,1.0,0.4,0.1
2021-01-22,打,程,13.6,NaN,0.14,NaN,0.0,4.1,4.2,1.7,9.0,4.0,0.0,62.0,0.9,NaN,7.0,10.0,0.6,0.1
2021-01-29,打,程,12.6,NaN,0.18,NaN,0.8,3.1,4.3,2.6,21.0,9.0,0.0,39.0,1.0,NaN,18.0,4.0,0.4,0.2
2021-02-05,打,程,13.4,NaN,0.16,NaN,0.0,3.0,4.5,1.6,2.0,2.0,0.0,55.0,1.0,NaN,0.0,3.0,0.4,0.1
2021-02-12,打,程,12.5,NaN,0.08,NaN,0.0,2.6,3.2,4.4,5.0,4.0,0.0,36.0,0.8,NaN,0.0,0.0,0.4,0.0
2021-02-19,打,程,10.8,NaN,0.13,NaN,0.0,2.8,3.6,1.4,14.0,8.0,0.0,42.0,1.0,NaN,4.0,0.0,0.4,0.3
2021-02-26,打,程,13.0,NaN,0.12,NaN,0.0,2.2,3.3,2.2,5.0,4.0,0.0,60.0,0.9,NaN,4.0,1.0,0.4,0.2
2021-03-05,打,程,14.0,NaN,0.14,NaN,0.3,3.2,4.6,1.8,8.0,5.0,0.0,59.0,1.7,NaN,2.0,0.0,0.6,0.1
2021-03-12,打,程,16.3,NaN,0.21,NaN,0.0,2.8,3.3,2.5,19.0,4.0,0.0,49.0,1.8,NaN,2.0,9.0,0.4,0.1
2021-03-19,打,程,10.7,NaN,0.15,NaN,0.0,4.0,5.2,1.8,5.0,2.0,0.0,64.0,2.0,NaN,10.0,1.0,0.5,0.0
2021-03-26,打,程,15.5,NaN,0.08,NaN,0.0,3.2,4.2,2.1,19.0,7.0,0.0,58.0,1.7,NaN,0.0,2.0,0.4,0.1
2021-04-02,打,程,15.5,NaN,0.13,NaN,0.0,3.6,4.5,1.2,6.0,5.0,0.0,49.0,2.0,NaN,1.0,6.0,0.8,0.3
2021-04-09,打,程,15.6,NaN,0.14,NaN,0.0,3.0,3.7,2.9,5.0,2.0,0.0,64.0,1.1,NaN,9.0,17.0,0.6,0.7
2021-04-16,打,程,18.2,NaN,0.12,NaN,0.0,3.3,4.2,6.9,6.0,2.0,0.0,40.0,0.9,NaN,7.0,6.0,0.4,0.3
2021-04-23,打,程,18.3,NaN,0.13,NaN,0.0,2.7,3.7,2.9,9.0,4.0,0.0,45.0,1.0,NaN,4.0,5.0,0.4,0.2
2021-04-30,打,程,17.9,NaN,0.09,NaN,0.0,2.8,2.8,1.0,8.0,1.0,0.0,61.0,1.1,NaN,3.0,6.0,0.4,0.1
2021-05-07,打,程,23.6,NaN,0.07,NaN,0.6,2.1,3.6,1.9,11.0,4.0,0.0,61.0,0.7,NaN,5.0,2.0,0.6,0.4
2021-05-14,打,程,26.1,NaN,0.04,NaN,0.0,0.9,2.1,1.1,11.0,1.0,0.0,64.0,1.2,NaN,102.0,99.0,0.4,0.3
2021-05-21,打,程,24.9,NaN,0.06,NaN,0.0,1.8,1.6,2.2,9.0,0.0,0.0,61.0,1.3,NaN,4.0,2.0,0.4,0.4
2021-05-28,打,程,23.5,NaN,0.05,NaN,0.0,1.7,2.9,2.4,4.0,0.0,0.0,65.0,1.1,NaN,2.0,3.0,0.5,0.0
2021-06-04,打,程,22.3,NaN,0.07,NaN,0.0,2.0,1.9,2.7,5.0,0.0,0.0,59.0,1.3,NaN,0.0,0.0,0.4,0.0
2021-06-11,打,程,26.6,NaN,0.04,NaN,0.0,1.3,2.5,5.7,7.0,2.0,0.0,53.0,0.9,NaN,9.0,10.0,0.5,0.5
2021-06-18,打,程,23.5,NaN,0.07,NaN,0.0,2.4,2.9,11.6,6.0,2.0,0.0,59.0,1.2,NaN,0.0,9.0,0.5,0.2
2021-06-25,打,程,24.6,NaN,0.08,NaN,0.0,1.4,1.2,3.5,4.0,2.0,0.0,59.0,0.8,NaN,9.0,24.0,0.4,0.3
2021-07-02,打,程,27.3,NaN,0.04,NaN,0.0,0.0,1.1,0.7,7.0,2.0,0.0,59.0,0.5,NaN,9.0,1.0,0.5,0.3
2021-07-09,打,程,26.6,NaN,0.04,NaN,0.0,1.1,1.4,0.9,8.0,2.0,0.0,59.0,0.0,NaN,2.0,3.0,0.5,0.0
2021-07-16,打,程,26.4,NaN,0.05,NaN,0.0,1.7,2.0,2.4,8.0,1.0,0.0,29.0,0.5,NaN,5.0,12.0,0.5,0.1
2021-07-23,打,程,25.5,NaN,0.05,NaN,0.0,0.8,1.0,9.1,9.0,1.0,0.0,53.0,0.0,NaN,0.0,3.0,0.4,0.7
2021-07-30,打,程,25.8,NaN,0.12,NaN,0.0,1.5,1.7,1.0,4.0,1.0,0.0,48.0,0.0,NaN,22.0,16.0,0.2,0.1
2021-08-06,打,程,24.4,NaN,0.09,NaN,0.0,1.9,2.1,0.6,0.0,2.0,0.0,56.0,0.2,NaN,60.0,7.0,0.3,0.1
2021-08-13,打,程,26.7,NaN,0.06,NaN,0.0,0.5,1.4,0.5,6.0,3.0,0.0,54.0,0.7,NaN,9.0,30.0,0.3,0.1
2021-08-20,打,程,26.5,NaN,0.06,NaN,0.0,0.9,1.3,0.5,8.0,3.0,0.0,50.0,0.5,NaN,15.0,4.0,0.3,0.2
2021-08-27,打,程,27.1,NaN,0.07,NaN,0.0,1.1,2.0,0.2,11.0,2.0,0.0,53.0,0.6,NaN,2.0,9.0,0.2,0.1
2021-09-03,打,程,26.1,NaN,0.05,NaN,0.0,1.2,1.7,0.3,8.0,2.0,0.0,44.0,0.6,NaN,4.0,1.0,0.3,0.2
2021-09-10,打,程,25.3,NaN,0.06,NaN,0.0,0.9,2.2,0.3,5.0,1.0,0.0,55.0,0.2,NaN,4.0,1.0,0.3,0.1
2021-09-17,打,程,26.6,NaN,0.07,NaN,0.0,0.9,1.5,0.3,3.0,2.0,0.0,50.0,0.2,NaN,1.0,10.0,0.3,0.2
