ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2021-01-01,λ狥,程,9.2,NaN,0.16,NaN,0.3,0.6,1.4,7.4,0.0,0.0,0.0,53.0,0.0,NaN,0.0,0.0,0.4,0.0
2021-01-08,λ狥,程,5.3,NaN,0.12,NaN,0.0,0.6,1.3,10.6,3.0,2.0,0.0,29.0,0.0,NaN,8.0,1.0,0.4,0.0
2021-01-15,λ狥,程,10.3,NaN,0.14,NaN,0.5,0.7,1.7,3.5,10.0,4.0,0.0,39.0,0.0,NaN,9.0,0.0,0.4,0.1
2021-01-22,λ狥,程,13.3,NaN,0.16,NaN,0.2,1.8,2.3,3.8,4.0,1.0,0.0,58.0,0.2,NaN,0.0,4.0,0.4,0.0
2021-01-29,λ狥,程,12.9,NaN,0.22,NaN,0.0,1.2,1.8,14.9,19.0,8.0,0.0,41.0,0.0,NaN,9.0,27.0,0.4,0.0
2021-02-05,λ狥,程,13.5,NaN,0.18,NaN,0.4,1.0,1.8,8.1,1.0,2.0,0.0,49.0,0.0,NaN,2.0,6.0,0.4,0.1
2021-02-12,λ狥,程,12.5,NaN,0.11,NaN,0.1,1.1,1.8,3.7,1.0,0.0,0.0,27.0,0.0,NaN,1.0,0.0,0.4,0.1
2021-02-19,λ狥,程,8.7,NaN,0.16,NaN,0.0,1.2,2.2,1.6,10.0,5.0,0.0,36.0,0.0,NaN,2.0,0.0,0.4,0.0
2021-02-26,λ狥,程,14.2,NaN,0.17,NaN,0.0,0.7,1.1,1.1,1.0,1.0,0.0,62.0,0.0,NaN,0.0,0.0,0.4,0.0
2021-03-05,λ狥,程,15.9,NaN,0.17,NaN,0.0,1.8,1.8,3.1,0.0,0.0,0.0,61.0,0.0,NaN,1.0,0.0,0.4,0.0
2021-03-12,λ狥,程,16.4,NaN,0.2,NaN,0.0,3.2,3.5,1.0,12.0,7.0,0.0,46.0,0.0,NaN,1.0,0.0,0.5,0.0
2021-03-19,λ狥,程,11.0,NaN,0.14,NaN,0.0,2.4,2.9,0.8,2.0,4.0,0.0,60.0,0.0,NaN,0.0,3.0,0.4,0.0
2021-03-26,λ狥,程,14.9,NaN,0.18,NaN,0.0,3.8,3.9,1.0,12.0,7.0,0.0,53.0,0.0,NaN,0.0,1.0,0.4,0.2
2021-04-02,λ狥,程,15.7,NaN,0.15,NaN,0.0,2.3,2.3,1.0,2.0,5.0,0.0,40.0,0.0,NaN,0.0,0.0,0.5,0.1
2021-04-09,λ狥,程,15.8,NaN,0.14,NaN,0.0,2.7,3.5,8.6,0.0,2.0,0.0,59.0,0.0,NaN,1.0,1.0,0.5,0.1
2021-04-16,λ狥,程,18.3,NaN,0.15,NaN,0.2,2.8,3.8,22.2,8.0,4.0,0.0,40.0,0.0,NaN,1.0,1.0,0.5,0.1
