ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2021-01-01,古竡,程,23.6,2.2,0.65,0.29,7.7,32.8,36.2,56.7,72.0,48.0,0.8,88.0,5.7,2.43,359.0,359.0,4.5,3.7
2021-01-08,古竡,程,23.0,2.36,0.99,0.44,26.7,37.4,50.4,66.4,103.0,66.0,0.8,85.0,7.7,2.71,359.0,359.0,4.6,3.9
2021-01-15,古竡,程,29.2,2.37,1.16,0.5,44.2,45.3,68.4,87.0,156.0,76.0,0.0,88.0,25.5,2.83,360.0,359.0,4.2,4.1
2021-01-22,古竡,程,25.2,2.46,1.06,0.45,27.0,42.6,53.1,73.4,189.0,127.0,0.2,91.0,14.4,2.86,359.0,358.0,5.6,4.6
2021-01-29,古竡,程,26.2,2.56,0.96,0.36,14.5,36.6,51.2,79.2,170.0,83.0,0.0,86.0,17.6,2.75,359.0,359.0,4.0,3.3
2021-02-05,古竡,程,27.2,2.68,0.8,0.29,18.7,31.4,38.3,77.9,143.0,99.0,7.6,90.0,10.9,2.95,359.0,359.0,4.7,3.3
2021-02-12,古竡,程,26.3,2.38,0.74,0.2,5.5,27.6,29.0,64.3,122.0,74.0,0.0,87.0,11.9,2.5,359.0,359.0,4.6,3.7
2021-02-19,古竡,程,27.5,2.4,0.89,0.47,23.3,29.1,51.4,72.4,131.0,69.0,0.0,84.0,17.5,2.87,358.0,359.0,3.8,3.4
2021-02-26,古竡,程,28.6,2.85,0.89,0.44,22.5,34.3,48.3,60.4,134.0,107.0,3.0,85.0,17.6,3.13,359.0,359.0,4.2,3.7
2021-03-05,古竡,程,28.6,2.48,0.95,0.43,16.9,34.4,39.3,65.2,140.0,92.0,0.0,85.0,6.3,2.76,359.0,359.0,4.5,3.7
2021-03-12,古竡,程,29.9,2.64,0.92,0.45,15.6,31.0,40.7,73.1,174.0,107.0,0.0,83.0,8.1,3.01,359.0,359.0,4.7,3.8
2021-03-19,古竡,程,30.3,2.98,0.93,0.41,28.1,30.3,54.0,65.3,181.0,106.0,3.2,87.0,5.4,3.21,359.0,359.0,5.0,4.4
2021-03-26,古竡,程,32.4,2.71,0.7,0.39,19.6,27.1,45.2,69.8,120.0,71.0,0.0,81.0,6.9,2.94,359.0,359.0,4.4,3.6
2021-04-02,古竡,程,32.5,2.45,0.68,0.36,10.9,29.4,37.3,71.0,125.0,55.0,0.0,81.0,14.3,2.72,359.0,359.0,4.6,4.0
2021-04-09,古竡,程,30.4,2.17,0.73,0.22,5.7,25.8,27.5,70.2,105.0,69.0,0.0,82.0,15.6,2.36,359.0,359.0,4.9,3.8
2021-04-16,古竡,程,31.3,2.54,0.61,0.25,6.8,23.5,26.4,80.2,138.0,64.0,0.0,82.0,8.9,2.78,359.0,359.0,4.9,3.8
2021-04-23,古竡,程,32.3,2.48,0.9,0.44,8.2,37.7,40.6,65.1,142.0,66.0,2.6,87.0,5.5,2.84,359.0,358.0,5.4,4.7
2021-04-30,古竡,程,34.2,2.49,0.71,0.53,9.2,24.7,29.5,83.8,109.0,49.0,0.0,85.0,5.3,2.97,359.0,359.0,5.3,4.3
2021-05-07,古竡,程,34.7,2.1,0.37,0.14,5.0,15.3,18.6,58.8,66.0,28.0,0.0,80.0,4.9,2.22,357.0,358.0,4.9,4.3
2021-05-14,古竡,程,36.6,2.1,0.26,0.13,5.3,15.8,16.8,62.6,66.0,20.0,0.0,82.0,3.6,2.23,354.0,349.0,5.4,4.7
2021-05-21,古竡,程,35.7,2.09,0.36,0.27,4.0,13.9,15.6,56.1,40.0,21.0,1.2,79.0,4.9,2.28,354.0,357.0,5.3,4.0
2021-05-28,古竡,程,35.3,2.15,0.46,0.32,6.0,22.4,24.6,51.4,31.0,26.0,33.2,88.0,4.3,2.45,358.0,359.0,5.4,4.0
2021-06-04,古竡,程,34.8,2.41,0.43,0.26,3.2,18.7,19.9,63.9,46.0,21.0,30.0,89.0,5.4,2.66,359.0,359.0,4.8,4.1
2021-06-11,古竡,程,34.3,2.22,0.33,0.15,4.0,11.9,13.1,63.6,43.0,22.0,26.8,86.0,4.5,2.3,359.0,359.0,5.0,3.5
2021-06-18,古竡,程,33.0,2.08,0.36,0.17,3.8,9.9,12.6,51.9,30.0,15.0,33.8,88.0,5.9,2.2,332.0,295.0,5.4,4.3
2021-06-25,古竡,程,33.3,2.02,0.42,0.2,4.3,11.6,12.6,49.2,28.0,30.0,12.6,88.0,2.8,2.12,257.0,255.0,4.3,3.8
2021-07-02,古竡,程,34.9,2.04,0.27,0.14,4.5,9.7,11.3,55.9,44.0,20.0,8.4,85.0,11.1,2.15,356.0,359.0,5.7,4.9
2021-07-09,古竡,程,34.8,1.95,0.44,0.2,NaN,NaN,NaN,60.0,34.0,18.0,31.2,87.0,4.3,2.06,359.0,359.0,5.0,3.4
