ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2021-01-01,盵璉,程,22.0,NaN,0.74,NaN,7.6,22.3,27.2,56.1,95.0,87.0,0.4,100.0,4.6,NaN,359.0,359.0,4.6,3.0
2021-01-08,盵璉,程,21.3,NaN,0.83,NaN,30.0,24.7,47.7,63.1,91.0,64.0,0.2,98.0,6.1,NaN,359.0,359.0,4.4,3.3
2021-01-15,盵璉,程,25.1,NaN,0.76,NaN,30.7,26.0,50.4,68.3,335.0,86.0,0.0,100.0,5.1,NaN,359.0,358.0,4.9,3.5
2021-01-22,盵璉,程,24.7,NaN,0.96,NaN,14.7,22.9,29.3,60.3,124.0,76.0,0.0,98.0,4.7,NaN,359.0,359.0,9.0,6.1
2021-01-29,盵璉,程,24.2,NaN,0.79,NaN,18.9,30.6,47.0,85.7,191.0,82.0,0.2,99.0,7.3,NaN,359.0,359.0,3.9,3.3
2021-02-05,盵璉,程,25.8,NaN,0.8,NaN,24.2,20.2,43.7,91.6,159.0,98.0,8.2,98.0,5.7,NaN,358.0,358.0,3.8,3.1
2021-02-12,盵璉,程,24.4,NaN,0.69,NaN,7.2,15.4,21.2,65.5,114.0,67.0,0.0,95.0,5.1,NaN,360.0,359.0,4.3,3.0
2021-02-19,盵璉,程,26.3,NaN,0.64,NaN,10.6,24.3,34.6,85.5,163.0,85.0,0.0,94.0,7.1,NaN,359.0,359.0,3.3,2.8
2021-02-26,盵璉,程,26.7,NaN,0.8,NaN,9.4,19.4,27.3,57.3,144.0,81.0,0.0,93.0,7.2,NaN,359.0,359.0,4.1,3.1
2021-03-05,盵璉,程,26.6,NaN,0.77,NaN,13.7,18.5,27.8,74.3,232.0,81.0,0.2,91.0,6.6,NaN,360.0,358.0,4.1,3.2
2021-03-12,盵璉,程,28.2,NaN,0.94,NaN,12.6,26.0,37.7,78.0,221.0,117.0,0.0,93.0,6.9,NaN,359.0,359.0,3.9,3.2
2021-03-19,盵璉,程,29.3,NaN,0.66,NaN,28.5,28.8,57.4,66.8,306.0,106.0,1.2,94.0,4.7,NaN,359.0,359.0,4.9,3.5
2021-03-26,盵璉,程,30.5,NaN,0.59,NaN,19.2,19.6,31.5,73.9,133.0,61.0,0.8,91.0,9.6,NaN,351.0,350.0,3.6,3.1
2021-04-02,盵璉,程,31.0,NaN,0.67,NaN,22.5,20.2,33.1,74.4,126.0,43.0,0.0,88.0,7.1,NaN,359.0,359.0,3.9,3.3
2021-04-09,盵璉,程,30.2,NaN,0.6,NaN,6.8,19.9,26.1,81.2,117.0,61.0,0.2,86.0,7.2,NaN,359.0,358.0,3.7,3.2
2021-04-16,盵璉,程,29.3,NaN,0.7,NaN,3.8,21.6,23.7,86.5,146.0,52.0,0.0,86.0,9.1,NaN,359.0,359.0,4.0,3.1
2021-04-23,盵璉,程,30.1,NaN,0.62,NaN,4.8,18.8,21.6,65.0,96.0,48.0,5.2,90.0,5.5,NaN,360.0,360.0,4.1,3.2
2021-04-30,盵璉,程,32.3,NaN,0.66,NaN,22.8,21.7,40.2,90.2,107.0,47.0,0.0,90.0,7.7,NaN,357.0,359.0,3.6,2.9
2021-05-07,盵璉,程,33.6,NaN,0.44,NaN,10.4,16.6,26.3,49.5,72.0,30.0,0.0,84.0,5.4,NaN,356.0,330.0,3.6,3.6
2021-05-14,盵璉,程,34.8,NaN,0.29,NaN,8.2,14.4,19.9,52.0,67.0,22.0,0.0,91.0,3.8,NaN,280.0,282.0,3.8,3.5
2021-05-21,盵璉,程,35.0,NaN,0.37,NaN,9.3,13.6,21.4,57.4,59.0,26.0,0.0,96.0,5.1,NaN,337.0,348.0,3.8,3.2
2021-05-28,盵璉,程,34.6,NaN,0.34,NaN,14.3,13.4,26.0,50.6,40.0,16.0,11.8,100.0,4.7,NaN,337.0,358.0,3.6,2.9
2021-06-04,盵璉,程,34.0,NaN,0.41,NaN,4.4,14.7,16.0,71.9,52.0,23.0,39.2,100.0,3.8,NaN,340.0,357.0,4.4,3.7
2021-06-11,盵璉,程,33.6,NaN,0.29,NaN,7.4,10.0,15.9,64.0,56.0,29.0,12.8,98.0,5.1,NaN,323.0,338.0,3.3,2.7
2021-06-18,盵璉,程,32.9,NaN,0.3,NaN,4.6,8.2,11.2,41.2,38.0,18.0,15.2,100.0,3.3,NaN,257.0,294.0,4.5,3.8
2021-06-25,盵璉,程,33.2,NaN,0.26,NaN,5.7,8.0,11.1,49.4,43.0,35.0,16.8,100.0,3.8,NaN,266.0,271.0,3.9,3.3
