ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2021-01-01,罚标,程,25.3,2.21,0.61,1.15,18.9,32.9,40.1,64.5,72.0,48.0,0.2,89.0,4.7,3.09,360.0,358.0,4.4,3.3
2021-01-08,罚标,程,22.3,2.39,1.0,0.65,46.7,59.5,80.0,74.1,99.0,65.0,0.0,80.0,5.3,2.73,358.0,357.0,5.3,4.4
2021-01-15,罚标,程,25.6,2.44,1.3,0.67,76.3,49.2,125.3,90.8,152.0,91.0,0.0,89.0,5.4,3.05,358.0,357.0,4.3,3.7
2021-01-22,罚标,程,27.3,2.52,0.87,0.96,26.2,50.8,62.9,83.6,142.0,100.0,0.8,94.0,6.8,3.11,356.0,357.0,5.1,4.0
2021-01-29,罚标,程,26.3,2.42,1.34,0.53,62.6,57.3,102.6,84.1,142.0,80.0,0.0,87.0,7.4,2.85,359.0,357.0,4.7,3.9
2021-02-05,罚标,程,26.6,2.53,1.0,1.25,69.8,41.2,101.5,86.4,132.0,91.0,5.2,91.0,4.8,3.23,358.0,359.0,6.1,4.4
2021-02-12,罚标,程,26.3,2.28,0.9,1.12,9.2,39.4,41.2,78.6,122.0,62.0,0.0,92.0,6.8,3.17,359.0,356.0,4.8,4.2
2021-02-19,罚标,程,26.8,2.34,1.01,1.07,62.9,48.4,101.8,73.5,115.0,69.0,0.8,92.0,5.2,2.98,359.0,359.0,4.9,4.5
2021-02-26,罚标,程,29.4,2.48,0.69,0.46,30.6,28.7,52.7,70.2,140.0,81.0,0.0,91.0,4.9,2.74,356.0,357.0,5.8,4.6
2021-03-05,罚标,程,29.2,2.49,0.87,1.43,34.3,40.8,70.0,89.4,110.0,71.0,0.0,89.0,7.0,3.41,357.0,359.0,4.0,3.6
2021-03-12,罚标,程,31.0,2.44,1.19,1.55,44.6,41.1,85.7,93.6,122.0,84.0,0.0,88.0,10.2,3.55,359.0,358.0,5.0,4.4
2021-03-19,罚标,程,29.3,2.37,0.66,0.88,20.4,32.3,47.1,69.9,242.0,70.0,1.2,90.0,4.6,2.76,355.0,359.0,5.3,4.2
2021-03-26,罚标,程,31.1,2.48,0.71,1.27,33.6,29.6,61.3,81.6,97.0,58.0,0.0,87.0,4.8,3.29,359.0,357.0,6.1,5.0
2021-04-02,罚标,程,31.2,2.38,0.73,0.67,25.9,29.3,54.1,91.0,118.0,56.0,0.0,89.0,4.3,2.65,356.0,357.0,4.8,4.8
2021-04-09,罚标,程,30.6,2.2,0.66,1.19,45.9,54.0,100.0,91.6,166.0,143.0,0.0,87.0,7.8,3.12,357.0,359.0,4.8,4.2
