ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2021-01-01,緻,程,29.1,NaN,0.68,NaN,6.7,19.2,21.7,61.6,70.0,37.0,0.4,93.0,7.8,NaN,359.0,357.0,1.9,1.3
2021-01-08,緻,程,25.6,NaN,0.65,NaN,10.5,16.2,23.5,85.1,91.0,71.0,0.0,91.0,3.0,NaN,355.0,358.0,2.2,1.8
2021-01-15,緻,程,29.6,NaN,0.64,NaN,12.2,23.3,26.8,135.6,137.0,82.0,0.0,92.0,8.5,NaN,358.0,353.0,2.8,2.2
2021-01-22,緻,程,29.9,NaN,0.63,NaN,9.9,18.3,20.0,89.6,113.0,82.0,0.8,94.0,4.0,NaN,355.0,359.0,2.5,2.2
2021-01-29,緻,程,28.5,NaN,0.69,NaN,9.4,18.5,25.5,97.5,135.0,71.0,0.0,92.0,5.6,NaN,357.0,355.0,2.8,2.5
2021-02-05,緻,程,30.6,NaN,0.58,NaN,5.1,16.2,17.3,96.0,78.0,58.0,3.8,92.0,3.6,NaN,351.0,360.0,4.1,2.2
2021-02-12,緻,程,28.7,NaN,0.63,NaN,3.0,21.1,22.6,82.2,95.0,48.0,0.0,95.0,6.0,NaN,358.0,354.0,3.5,2.6
2021-02-19,緻,程,30.4,NaN,0.52,NaN,4.6,18.6,19.8,91.7,95.0,66.0,1.6,94.0,3.5,NaN,359.0,358.0,4.0,2.3
2021-02-26,緻,程,31.7,NaN,0.69,NaN,7.2,15.9,20.1,77.6,92.0,64.0,0.0,91.0,6.7,NaN,353.0,354.0,2.4,2.1
2021-03-05,緻,程,31.9,NaN,0.57,NaN,5.3,19.3,19.7,100.3,117.0,55.0,0.0,91.0,5.1,NaN,348.0,358.0,2.4,2.1
2021-03-12,緻,程,33.9,NaN,0.62,NaN,7.1,20.3,21.4,92.0,88.0,53.0,0.0,87.0,6.4,NaN,344.0,359.0,3.5,3.6
2021-03-19,緻,程,32.6,NaN,0.65,NaN,13.9,19.2,21.7,85.1,165.0,55.0,1.6,93.0,4.5,NaN,357.0,347.0,3.2,2.5
2021-03-26,緻,程,34.0,NaN,0.54,NaN,6.3,17.0,18.0,101.8,99.0,49.0,0.0,90.0,5.7,NaN,357.0,357.0,3.0,2.6
2021-04-02,緻,程,36.0,NaN,0.72,NaN,4.1,14.5,16.1,81.9,108.0,42.0,0.2,88.0,6.1,NaN,358.0,353.0,2.9,2.1
2021-04-09,緻,程,34.5,NaN,0.52,NaN,4.3,10.9,12.1,91.7,80.0,39.0,0.0,88.0,3.9,NaN,347.0,359.0,3.0,2.6
2021-04-16,緻,程,34.5,NaN,0.65,NaN,2.0,12.6,13.7,109.1,155.0,130.0,0.2,87.0,4.5,NaN,335.0,352.0,5.4,3.5
