ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2021-01-01,获,程,13.8,1.91,0.28,0.15,NaN,NaN,NaN,0.5,0.0,3.0,0.0,36.0,0.4,2.14,72.0,104.0,0.4,0.1
2021-01-08,获,程,8.9,1.93,0.29,0.1,0.1,8.2,8.3,0.9,14.0,8.0,0.0,35.0,0.0,2.06,118.0,114.0,0.4,0.2
2021-01-15,获,程,11.6,1.92,0.34,0.12,0.0,10.0,10.0,1.4,30.0,16.0,0.0,33.0,0.0,2.07,116.0,113.0,0.4,0.1
2021-01-22,获,程,15.5,1.9,0.43,0.11,0.2,9.2,9.5,0.4,24.0,16.0,0.0,44.0,1.1,2.05,81.0,78.0,0.4,0.1
2021-01-29,获,程,14.4,1.91,0.36,0.13,0.1,8.6,8.7,0.8,32.0,6.0,0.0,31.0,0.8,2.06,103.0,53.0,0.4,0.1
2021-02-05,获,程,17.5,1.87,0.26,0.05,0.0,7.2,8.0,0.7,6.0,2.0,0.0,39.0,1.4,1.93,102.0,91.0,0.4,0.0
2021-02-12,获,程,15.5,1.86,0.2,0.06,0.0,7.4,7.5,5.4,14.0,12.0,0.0,41.0,1.4,1.95,95.0,81.0,0.4,0.0
2021-02-19,获,程,14.9,1.85,0.22,0.08,0.0,6.5,6.3,3.1,18.0,8.0,0.0,34.0,0.6,2.0,97.0,82.0,0.4,0.0
2021-02-26,获,程,18.3,1.85,0.36,0.1,0.5,12.6,14.3,0.8,21.0,10.0,0.0,44.0,1.8,2.0,59.0,12.0,0.4,0.0
2021-03-05,获,程,18.7,1.82,0.33,0.12,0.1,9.3,12.4,1.5,21.0,12.0,0.0,45.0,1.2,1.97,40.0,6.0,0.4,0.0
2021-03-12,获,程,19.8,1.9,0.36,0.1,0.0,11.4,11.7,0.8,27.0,11.0,0.0,40.0,1.5,2.01,29.0,33.0,0.4,0.0
2021-03-19,获,程,17.1,1.92,0.21,0.12,0.0,8.7,9.1,0.5,18.0,10.0,0.0,38.0,1.5,2.07,58.0,21.0,0.4,0.0
2021-03-26,获,程,20.4,1.3,0.19,0.08,0.2,9.1,10.5,1.5,17.0,9.0,0.0,44.0,1.3,1.42,38.0,14.0,0.4,0.0
2021-04-02,获,程,21.7,1.86,0.22,0.04,0.0,6.0,8.1,3.4,18.0,12.0,0.0,45.0,0.6,1.99,73.0,15.0,0.4,0.0
2021-04-09,获,程,19.1,1.92,0.27,0.09,0.3,11.0,12.1,3.0,21.0,10.0,0.0,44.0,1.6,2.05,49.0,11.0,0.4,0.0
2021-04-16,获,程,22.6,1.94,0.24,0.05,0.0,7.5,9.1,7.9,25.0,11.0,0.0,44.0,0.9,2.02,64.0,4.0,0.4,0.0
2021-04-23,获,程,22.1,1.88,0.16,0.04,0.1,8.2,10.2,9.0,10.0,6.0,0.0,51.0,1.3,1.94,20.0,37.0,0.4,0.0
2021-04-30,获,程,23.0,1.84,0.06,0.04,0.0,5.4,8.1,1.8,12.0,3.0,0.0,44.0,1.5,1.94,57.0,22.0,0.4,0.1
2021-05-07,获,程,27.0,1.81,0.13,0.04,0.2,6.0,6.6,0.9,0.0,2.0,0.0,37.0,0.1,1.91,37.0,66.0,0.4,0.0
2021-05-14,获,程,28.4,1.81,0.07,0.01,0.0,4.2,3.9,2.0,7.0,0.0,0.0,37.0,0.0,1.85,67.0,20.0,0.5,0.1
2021-05-21,获,程,27.0,1.8,0.1,0.03,0.1,2.3,5.2,2.1,7.0,0.0,0.0,44.0,0.0,1.86,74.0,35.0,0.4,0.1
2021-05-28,获,程,25.2,1.78,0.09,0.03,0.1,2.4,3.5,1.9,4.0,0.0,0.0,43.0,0.0,1.84,26.0,42.0,0.4,0.0
2021-06-04,获,程,23.7,1.79,0.09,0.02,0.0,1.6,2.8,4.9,0.0,0.0,0.0,48.0,0.0,1.83,10.0,13.0,0.4,0.1
2021-06-11,获,程,26.1,1.78,0.06,0.02,0.0,3.8,4.4,4.2,5.0,4.0,0.0,46.0,0.0,1.81,54.0,1.0,0.4,0.0
2021-06-18,获,程,23.9,1.79,0.08,0.03,0.0,2.6,3.4,7.4,0.0,1.0,0.0,57.0,0.0,1.86,74.0,11.0,0.4,0.0
2021-06-25,获,程,24.0,1.78,0.09,0.03,0.0,3.0,3.3,1.6,1.0,0.0,0.0,50.0,0.0,1.87,70.0,6.0,0.4,0.1
2021-07-02,获,程,26.8,1.76,0.04,0.04,0.0,2.5,3.7,4.0,6.0,2.0,0.0,52.0,0.8,1.83,34.0,30.0,0.4,0.0
2021-07-09,获,程,25.8,1.79,0.04,0.04,0.0,3.2,4.3,1.4,8.0,2.0,0.0,49.0,0.8,1.88,46.0,79.0,0.4,0.0
2021-07-16,获,程,25.4,1.78,0.09,0.05,0.0,2.9,4.1,5.6,3.0,3.0,0.0,47.0,0.6,1.88,101.0,77.0,0.3,0.1
2021-07-23,获,程,26.0,1.79,0.09,0.02,0.0,3.1,3.4,9.6,7.0,3.0,0.0,49.0,0.8,1.84,81.0,33.0,0.3,0.0
2021-07-30,获,程,24.8,1.82,0.11,0.01,0.0,1.4,1.9,1.3,0.0,1.0,0.0,71.0,0.3,1.84,6.0,2.0,0.3,0.0
2021-08-06,获,程,25.6,1.81,0.13,0.0,0.0,1.6,2.0,1.1,1.0,3.0,0.0,58.0,0.7,1.84,27.0,2.0,0.3,0.0
2021-08-13,获,程,24.6,1.79,0.12,0.03,0.5,3.0,3.7,2.7,2.0,2.0,0.0,49.0,0.9,1.88,8.0,21.0,0.3,0.0
2021-08-20,获,程,17.5,1.8,0.15,0.03,0.2,3.3,4.4,2.5,6.0,2.0,0.0,47.0,0.8,1.87,17.0,36.0,0.4,0.1
2021-08-27,获,程,25.4,1.82,0.17,0.03,0.0,4.3,4.6,2.2,10.0,3.0,0.0,42.0,0.8,1.92,47.0,41.0,0.3,0.0
2021-09-03,获,程,25.1,1.84,0.15,0.01,0.2,3.6,4.2,3.2,5.0,4.0,0.0,48.0,0.4,1.94,15.0,16.0,0.3,0.1
2021-09-10,获,程,25.3,1.86,0.09,0.0,0.0,3.0,3.3,2.5,7.0,6.0,0.0,51.0,0.7,1.9,15.0,11.0,0.3,0.0
2021-09-17,获,程,25.4,1.84,0.15,0.0,0.2,5.1,5.4,6.0,7.0,6.0,0.0,48.0,0.7,1.92,62.0,30.0,0.3,0.0
2021-09-24,获,程,26.1,1.9,0.16,0.0,0.2,4.1,4.4,8.0,8.0,8.0,0.0,41.0,0.8,1.96,75.0,24.0,0.4,0.1
2021-10-01,获,程,26.4,1.92,0.23,0.02,0.3,4.6,5.1,4.6,10.0,11.0,0.0,48.0,0.9,1.98,63.0,8.0,0.3,0.1
2021-10-08,获,程,24.3,1.9,0.15,0.03,0.4,5.1,5.7,0.9,3.0,5.0,0.0,44.0,0.6,1.98,15.0,32.0,0.3,0.1
2021-10-15,获,程,23.6,1.9,0.21,0.06,0.3,6.0,6.7,1.7,10.0,8.0,0.0,40.0,0.8,2.0,58.0,38.0,0.3,0.0
2021-10-22,获,程,22.3,1.98,0.28,0.07,0.1,9.6,10.0,1.7,17.0,11.0,0.0,47.0,0.6,2.11,20.0,44.0,0.3,0.0
2021-10-29,获,程,23.1,1.98,0.27,0.03,0.3,7.5,8.5,3.7,25.0,15.0,0.0,42.0,0.4,2.04,61.0,2.0,0.3,0.0
