ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2022-01-01,狶,程,24.2,2.46,0.78,0.35,24.6,26.7,46.0,66.7,161.0,160.0,2.0,100.0,7.5,2.77,358.0,359.0,7.1,7.0
2022-01-08,狶,程,22.5,2.11,0.73,0.16,9.8,27.4,32.4,54.2,125.0,70.0,0.5,90.0,8.8,2.25,359.0,359.0,9.9,8.9
2022-01-15,狶,程,23.9,2.73,0.65,0.18,7.5,20.6,25.7,59.9,67.0,50.0,2.5,100.0,8.5,2.83,358.0,357.0,7.5,6.8
2022-01-22,狶,程,25.1,2.3,0.7,0.14,6.1,21.5,22.9,60.2,84.0,50.0,6.0,100.0,5.3,2.4,359.0,359.0,6.7,6.3
2022-01-29,狶,程,21.0,2.1,0.55,0.05,3.5,11.9,15.4,52.8,49.0,27.0,2.5,98.0,4.2,2.14,353.0,359.0,9.4,9.1
2022-02-05,狶,程,22.9,2.39,0.61,0.13,9.7,17.2,25.5,51.6,68.0,36.0,0.5,97.0,4.6,2.52,360.0,359.0,7.6,6.8
2022-02-12,狶,程,22.6,2.35,0.65,0.15,5.9,18.2,22.5,57.0,75.0,34.0,3.5,98.0,5.9,2.41,354.0,359.0,8.3,7.6
2022-02-19,狶,程,21.0,2.08,0.68,0.18,7.3,29.6,31.2,52.0,76.0,19.0,6.5,100.0,4.7,2.16,357.0,359.0,13.5,11.3
2022-02-26,狶,程,28.9,4.25,0.76,0.32,18.4,23.7,35.4,84.0,181.0,126.0,0.0,100.0,4.1,4.48,356.0,360.0,5.8,6.0
2022-03-05,狶,程,27.2,3.2,0.79,0.32,14.6,27.1,34.8,79.8,124.0,68.0,2.5,100.0,5.1,3.45,359.0,360.0,7.2,7.1
2022-03-12,狶,程,30.8,3.13,0.81,0.33,9.5,23.3,29.1,67.3,114.0,93.0,0.5,100.0,5.7,3.2,359.0,358.0,5.8,5.2
2022-03-19,狶,程,28.2,2.57,0.82,0.29,12.2,25.2,32.4,86.1,117.0,58.0,8.0,100.0,8.0,2.69,359.0,358.0,6.2,5.8
2022-03-26,狶,程,28.5,2.26,1.14,0.18,10.7,23.2,29.0,71.7,128.0,61.0,9.0,100.0,6.3,2.44,359.0,358.0,8.3,8.4
2022-04-02,狶,程,28.1,3.42,0.61,0.41,8.3,15.3,23.6,72.6,86.0,45.0,2.5,100.0,6.4,3.47,359.0,358.0,8.6,8.4
2022-04-09,狶,程,31.2,3.6,0.59,0.58,14.0,16.8,28.1,81.6,117.0,67.0,0.0,100.0,4.8,3.8,358.0,359.0,7.4,6.9
2022-04-16,狶,程,32.1,3.41,0.88,0.28,8.0,24.1,27.0,70.7,91.0,54.0,3.0,100.0,6.8,3.5,352.0,358.0,5.6,5.5
2022-04-23,狶,程,34.7,2.65,0.53,0.23,6.7,15.4,16.2,54.8,96.0,76.0,3.5,100.0,4.8,2.68,359.0,352.0,4.5,4.2
2022-04-30,狶,程,30.3,2.76,0.62,0.23,3.1,18.4,19.3,74.1,87.0,45.0,3.0,100.0,5.5,2.85,356.0,357.0,7.8,7.2
2022-05-07,狶,程,32.9,2.84,0.59,0.31,7.1,20.2,21.4,56.1,64.0,41.0,4.5,100.0,6.2,2.98,359.0,358.0,5.3,5.0
2022-05-14,狶,程,30.6,2.91,0.39,0.1,5.5,14.1,19.7,82.3,75.0,34.0,9.5,100.0,4.5,2.98,359.0,359.0,5.0,4.7
2022-05-21,狶,程,31.3,2.41,0.69,0.25,5.3,24.7,25.6,82.9,86.0,46.0,17.0,100.0,5.3,2.59,357.0,359.0,5.0,4.6
2022-05-28,狶,程,34.6,2.79,0.24,0.1,3.6,11.1,12.9,36.6,52.0,33.0,3.0,100.0,2.5,2.85,276.0,277.0,5.4,4.5
2022-06-04,狶,程,33.6,3.04,0.32,0.11,6.7,13.6,14.6,44.4,41.0,22.0,42.0,100.0,1.7,3.11,357.0,358.0,5.9,5.4
2022-06-11,狶,程,34.5,2.46,0.23,0.07,6.1,10.8,13.5,33.1,46.0,16.0,5.0,100.0,1.9,2.47,294.0,287.0,5.7,5.3
