日期,地區,統計資料,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2022-01-01,基隆,最大值,20.4,3.08,1.5,0.54,42.0,37.8,67.6,55.9,47.0,31.0,5.5,98.0,2.9,3.33,359.0,359.0,3.0,2.1
2022-01-08,基隆,最大值,18.8,2.33,0.86,0.28,23.6,30.0,48.4,56.1,84.0,64.0,3.0,95.0,2.0,2.61,326.0,348.0,2.4,1.9
2022-01-15,基隆,最大值,20.8,2.84,0.82,0.32,18.1,27.2,42.9,49.9,41.0,22.0,8.5,96.0,4.4,3.08,339.0,352.0,3.1,2.2
2022-01-22,基隆,最大值,23.5,2.73,1.2,0.42,53.0,38.2,79.2,40.6,48.0,24.0,8.5,98.0,6.3,3.08,355.0,349.0,3.3,2.6
2022-01-29,基隆,最大值,18.5,2.05,0.48,0.16,4.0,15.9,20.0,48.1,47.0,39.0,8.0,98.0,2.2,2.21,359.0,350.0,2.9,2.3
2022-02-05,基隆,最大值,23.8,2.64,1.1,0.41,40.0,27.5,62.1,53.7,35.0,26.0,5.5,99.0,2.1,2.83,351.0,348.0,2.8,2.8
2022-02-12,基隆,最大值,19.2,2.37,0.72,0.29,7.0,34.3,38.9,53.2,46.0,22.0,28.5,98.0,2.8,2.57,341.0,358.0,3.2,2.5
2022-02-19,基隆,最大值,18.0,2.55,0.93,0.29,19.1,27.4,45.6,49.8,28.0,17.0,8.0,99.0,1.8,2.84,358.0,358.0,3.2,2.7
2022-02-26,基隆,最大值,26.8,3.27,1.39,0.39,19.8,40.6,50.3,71.5,88.0,64.0,0.5,100.0,13.6,3.48,359.0,354.0,3.1,2.5
2022-03-05,基隆,最大值,24.7,2.5,0.98,0.31,37.4,28.8,61.5,70.0,78.0,37.0,8.5,98.0,3.0,2.72,357.0,358.0,3.2,2.9
2022-03-12,基隆,最大值,27.5,2.66,0.82,0.3,41.2,42.5,79.0,67.7,50.0,42.0,0.5,91.0,5.8,2.83,358.0,355.0,3.6,2.9
2022-03-19,基隆,最大值,27.8,2.39,0.87,0.29,12.3,39.8,42.2,59.3,53.0,32.0,14.5,98.0,3.5,2.56,358.0,354.0,2.7,2.0
2022-03-26,基隆,最大值,28.2,2.69,0.95,0.46,19.6,30.4,44.2,56.9,52.0,33.0,10.0,96.0,2.2,3.07,334.0,357.0,3.2,1.8
2022-04-02,基隆,最大值,25.8,2.77,0.88,0.33,24.3,28.2,47.3,54.4,35.0,23.0,5.5,96.0,1.5,3.03,358.0,347.0,3.6,2.9
2022-04-09,基隆,最大值,29.2,2.3,0.69,0.34,19.0,28.1,47.0,60.0,40.0,28.0,14.5,98.0,4.6,2.53,350.0,356.0,4.3,3.7
2022-04-16,基隆,最大值,29.3,3.17,1.0,0.4,21.4,41.7,57.6,75.9,54.0,40.0,1.0,98.0,6.1,3.54,357.0,344.0,3.2,2.0
2022-04-23,基隆,最大值,32.7,2.49,0.71,0.25,22.9,33.6,39.2,77.8,46.0,30.0,2.0,97.0,4.8,2.74,356.0,359.0,3.1,2.2
2022-04-30,基隆,最大值,26.0,2.43,0.48,0.2,10.9,29.7,36.3,59.6,35.0,18.0,4.5,97.0,5.5,2.59,332.0,353.0,3.7,2.6
2022-05-07,基隆,最大值,29.9,2.55,0.52,0.25,18.8,23.3,42.2,46.9,27.0,16.0,15.0,97.0,4.7,2.7,356.0,359.0,3.5,3.1
2022-05-14,基隆,最大值,25.0,3.56,0.52,0.25,3.4,22.6,25.4,70.8,37.0,18.0,10.0,99.0,2.7,3.77,320.0,359.0,2.7,2.5
2022-05-21,基隆,最大值,27.2,3.4,0.61,0.44,26.1,30.6,48.8,57.6,25.0,14.0,26.0,98.0,2.1,3.64,356.0,359.0,3.1,1.6
2022-05-28,基隆,最大值,33.5,2.59,0.73,0.31,31.4,38.5,58.9,61.7,37.0,27.0,24.0,95.0,6.9,2.89,354.0,356.0,3.4,2.8
