ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2022-01-01,堕,程,21.2,NaN,0.85,NaN,16.5,42.9,58.2,60.7,64.0,45.0,2.5,96.0,5.7,NaN,354.0,312.0,8.8,8.1
2022-01-08,堕,程,19.6,NaN,0.63,NaN,13.7,39.9,50.3,52.1,86.0,60.0,1.0,95.0,4.6,NaN,259.0,285.0,8.0,8.3
2022-01-15,堕,程,20.4,NaN,0.63,NaN,10.2,36.3,42.6,48.4,42.0,23.0,4.5,96.0,4.8,NaN,337.0,334.0,9.0,8.3
2022-01-22,堕,程,23.8,NaN,0.55,NaN,11.5,34.5,45.8,46.6,63.0,30.0,3.5,97.0,4.6,NaN,353.0,310.0,9.8,9.0
2022-01-29,堕,程,18.4,NaN,0.38,NaN,4.8,16.5,18.4,51.7,30.0,22.0,7.5,98.0,2.5,NaN,343.0,352.0,9.3,8.5
2022-02-05,堕,程,24.1,NaN,0.57,NaN,26.9,25.5,49.1,51.4,54.0,20.0,4.0,97.0,5.2,NaN,357.0,359.0,9.1,7.7
2022-02-12,堕,程,19.9,NaN,0.35,NaN,11.7,27.8,39.5,53.9,56.0,24.0,5.5,97.0,4.9,NaN,321.0,356.0,9.7,8.9
2022-02-19,堕,程,18.7,NaN,0.35,NaN,11.3,30.4,41.1,50.6,30.0,16.0,8.5,98.0,6.9,NaN,125.0,135.0,10.8,9.9
2022-02-26,堕,程,29.0,NaN,1.07,NaN,39.9,54.0,85.9,90.9,121.0,82.0,1.0,96.0,6.3,NaN,343.0,354.0,6.7,6.3
2022-03-05,堕,程,25.2,NaN,0.67,NaN,11.4,42.5,48.8,80.3,74.0,63.0,4.5,96.0,6.7,NaN,355.0,359.0,9.0,7.9
2022-03-12,堕,程,29.0,NaN,0.77,NaN,59.7,52.5,105.3,68.2,82.0,66.0,1.5,96.0,8.4,NaN,355.0,358.0,7.4,7.2
2022-03-19,堕,程,29.9,NaN,0.77,NaN,37.1,37.8,63.9,64.7,98.0,45.0,9.5,95.0,7.1,NaN,338.0,340.0,7.9,7.1
2022-03-26,堕,程,28.6,NaN,0.86,NaN,21.7,37.1,47.2,57.5,82.0,42.0,9.0,98.0,7.6,NaN,318.0,347.0,10.3,9.0
2022-04-02,堕,程,25.6,NaN,0.45,NaN,37.4,25.6,63.0,59.2,77.0,24.0,4.0,93.0,4.2,NaN,325.0,348.0,11.1,9.4
2022-04-09,堕,程,30.7,NaN,0.5,NaN,27.0,39.9,56.6,104.3,69.0,45.0,6.0,95.0,11.7,NaN,348.0,356.0,8.1,7.1
2022-04-16,堕,程,31.3,NaN,0.93,NaN,13.4,58.3,60.0,84.1,72.0,42.0,2.0,93.0,8.8,NaN,292.0,340.0,8.0,7.3
2022-04-23,堕,程,31.3,NaN,1.12,NaN,37.6,46.1,78.5,52.9,64.0,39.0,0.5,100.0,3.7,NaN,357.0,358.0,8.2,7.0
2022-04-30,堕,程,28.0,NaN,0.28,NaN,9.0,25.2,34.2,57.2,43.0,38.0,4.0,99.0,5.6,NaN,149.0,153.0,8.1,7.3
2022-05-07,堕,程,29.7,NaN,0.55,NaN,15.6,30.9,45.1,47.4,41.0,32.0,5.0,95.0,4.5,NaN,335.0,358.0,8.0,6.8
2022-05-14,堕,程,27.9,NaN,0.28,NaN,9.0,23.9,32.9,66.0,46.0,32.0,6.5,100.0,5.7,NaN,169.0,167.0,9.6,9.4
2022-05-21,堕,程,25.1,NaN,0.62,NaN,41.6,40.2,69.7,47.3,31.0,20.0,25.0,100.0,46.4,NaN,341.0,341.0,6.1,5.5
2022-05-28,堕,程,32.0,NaN,0.58,NaN,9.8,29.0,35.5,34.7,31.0,24.0,4.0,98.0,2.5,NaN,358.0,359.0,7.8,6.3
2022-06-04,堕,程,31.9,NaN,0.6,NaN,31.2,36.6,46.7,51.9,36.0,17.0,27.5,99.0,3.3,NaN,349.0,330.0,8.8,8.1
2022-06-11,堕,程,31.6,NaN,0.67,NaN,38.8,31.1,52.3,48.1,38.0,20.0,6.0,96.0,4.2,NaN,352.0,354.0,9.3,8.3
2022-06-18,堕,程,33.3,NaN,0.46,NaN,21.6,22.6,35.1,53.4,34.0,23.0,0.0,87.0,3.8,NaN,336.0,344.0,6.3,5.7
2022-06-25,堕,程,34.7,NaN,0.44,NaN,19.9,24.9,36.4,53.4,41.0,22.0,0.5,90.0,3.9,NaN,357.0,360.0,5.6,4.9
2022-07-02,堕,程,34.6,NaN,0.56,NaN,14.0,26.1,29.9,58.3,32.0,19.0,9.0,96.0,4.0,NaN,357.0,351.0,5.6,4.5
2022-07-09,堕,程,34.7,NaN,0.25,NaN,7.1,18.8,20.8,44.1,32.0,17.0,0.0,89.0,2.6,NaN,359.0,354.0,7.6,6.7
2022-07-16,堕,程,37.2,NaN,0.32,NaN,6.5,16.8,18.2,54.6,36.0,17.0,0.0,86.0,2.3,NaN,325.0,333.0,8.2,7.1
2022-07-23,堕,程,36.7,NaN,0.42,NaN,4.4,30.3,31.4,52.9,36.0,25.0,14.0,96.0,5.6,NaN,358.0,359.0,4.9,4.6
2022-07-30,堕,程,34.8,NaN,0.58,NaN,12.5,45.2,55.0,69.5,38.0,22.0,36.5,98.0,3.9,NaN,357.0,358.0,5.7,5.6
2022-08-06,堕,程,35.0,NaN,0.5,NaN,7.6,27.9,31.2,64.9,49.0,19.0,1.5,85.0,3.8,NaN,356.0,357.0,5.1,4.7
2022-08-13,堕,程,35.2,NaN,0.33,NaN,7.9,19.8,22.9,46.7,48.0,22.0,0.5,86.0,4.5,NaN,359.0,357.0,4.7,4.3
2022-08-20,堕,程,36.7,NaN,0.45,NaN,5.6,24.8,26.0,87.4,52.0,29.0,0.5,88.0,4.9,NaN,356.0,357.0,6.2,5.3
2022-08-27,堕,程,36.4,NaN,0.46,NaN,9.4,24.3,29.1,60.2,59.0,22.0,3.0,94.0,3.2,NaN,323.0,336.0,11.0,10.4
2022-09-03,堕,程,32.0,NaN,0.47,NaN,13.3,33.1,36.5,77.9,76.0,38.0,11.0,96.0,3.4,NaN,344.0,348.0,10.1,9.3
2022-09-10,堕,程,33.1,NaN,0.69,NaN,9.5,38.2,43.4,86.6,66.0,43.0,2.0,95.0,7.9,NaN,359.0,346.0,9.3,8.4
2022-09-17,堕,程,32.7,NaN,0.65,NaN,11.2,49.3,55.0,96.1,72.0,56.0,0.0,87.0,8.8,NaN,344.0,317.0,8.5,7.9
2022-09-24,堕,程,33.8,NaN,0.61,NaN,19.0,22.0,39.4,83.3,74.0,45.0,2.5,96.0,3.7,NaN,282.0,288.0,7.8,7.9
2022-10-01,堕,程,33.8,NaN,0.87,NaN,13.0,23.9,33.9,83.6,68.0,47.0,0.5,92.0,34.8,NaN,350.0,357.0,8.0,6.9
2022-10-08,堕,程,26.7,NaN,0.3,NaN,8.7,22.8,29.5,56.7,55.0,23.0,1.5,93.0,3.3,NaN,143.0,147.0,9.0,7.9
2022-10-15,堕,程,28.3,NaN,0.38,NaN,14.2,21.9,32.2,55.4,53.0,19.0,15.0,100.0,3.6,NaN,142.0,143.0,11.9,11.3
2022-10-22,堕,程,28.7,NaN,0.3,NaN,9.5,23.0,30.1,66.0,68.0,26.0,1.0,99.0,3.0,NaN,81.0,84.0,8.7,8.5
2022-10-29,堕,程,25.7,NaN,0.29,NaN,10.4,24.9,32.7,48.7,46.0,22.0,5.0,100.0,6.2,NaN,77.0,84.0,9.7,9.4
2022-11-05,堕,程,30.8,NaN,0.67,NaN,34.0,27.0,56.6,40.9,70.0,44.0,0.5,99.0,11.9,NaN,359.0,357.0,8.1,6.9
2022-11-12,堕,程,30.0,NaN,0.56,NaN,23.0,33.8,45.4,58.1,47.0,36.0,0.0,100.0,11.3,NaN,359.0,353.0,8.2,7.1
2022-11-19,堕,程,28.3,NaN,0.42,NaN,14.4,35.0,42.5,47.7,59.0,18.0,10.5,100.0,8.5,NaN,356.0,357.0,7.4,6.4
2022-11-26,堕,程,29.7,NaN,0.66,NaN,22.6,36.8,42.2,62.5,72.0,43.0,1.5,98.0,9.8,NaN,358.0,359.0,9.5,8.4
2022-12-03,堕,程,22.5,NaN,0.38,NaN,12.2,27.9,37.2,38.8,40.0,14.0,1.5,100.0,5.7,NaN,77.0,81.0,9.2,8.3
2022-12-10,堕,程,20.7,NaN,0.5,NaN,16.2,32.7,46.4,45.1,42.0,24.0,3.0,100.0,5.2,NaN,82.0,82.0,9.0,8.4
2022-12-17,堕,程,24.1,NaN,0.69,NaN,29.6,53.4,75.5,46.6,102.0,32.0,1.0,97.0,4.4,NaN,356.0,356.0,10.0,9.9
2022-12-24,堕,程,19.4,NaN,0.57,NaN,29.5,33.7,63.3,47.2,77.0,25.0,0.5,97.0,8.9,NaN,108.0,106.0,8.9,7.8
