ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2022-01-01,猀,程,20.5,2.73,1.47,0.6,57.9,46.3,103.4,51.6,59.0,33.0,2.5,100.0,3.9,2.99,353.0,352.0,3.1,2.4
2022-01-08,猀,程,19.4,2.3,0.99,0.35,46.1,38.7,79.2,46.7,88.0,66.0,0.5,94.0,3.1,2.65,343.0,358.0,3.2,2.7
2022-01-15,猀,程,22.0,2.64,0.78,0.31,28.0,34.2,53.2,48.7,38.0,24.0,4.0,96.0,3.3,2.95,317.0,319.0,3.2,2.5
2022-01-22,猀,程,25.3,3.07,1.25,0.53,79.1,42.5,121.7,42.2,50.0,25.0,7.5,100.0,4.6,3.58,332.0,359.0,3.4,2.8
2022-01-29,猀,程,19.4,2.24,0.52,0.15,6.8,25.9,32.0,48.1,41.0,18.0,5.0,100.0,1.8,2.37,351.0,355.0,2.8,2.5
2022-02-05,猀,程,24.5,2.55,1.11,0.49,52.0,44.0,82.1,50.1,48.0,35.0,8.0,100.0,3.2,2.95,302.0,319.0,3.7,2.6
2022-02-12,猀,程,20.4,2.43,1.0,0.45,41.2,42.1,82.8,46.2,50.0,30.0,8.0,100.0,3.2,2.67,304.0,346.0,3.2,2.5
2022-02-19,猀,程,18.8,2.37,0.69,0.26,22.8,37.8,56.5,48.6,34.0,17.0,4.5,100.0,3.2,2.56,239.0,328.0,3.2,2.6
2022-02-26,猀,程,27.5,2.94,1.2,0.43,54.0,49.1,82.0,109.4,94.0,62.0,0.0,96.0,5.0,3.22,356.0,341.0,3.4,3.0
2022-03-05,猀,程,26.8,2.46,1.15,0.45,62.2,52.0,106.8,76.9,83.0,39.0,7.5,95.0,4.7,2.81,348.0,311.0,4.1,3.7
2022-03-12,猀,程,29.3,2.53,0.91,0.72,45.6,48.1,73.7,83.2,78.0,52.0,1.5,90.0,11.5,2.76,349.0,359.0,3.7,3.3
2022-03-19,猀,程,28.7,2.96,1.96,0.79,111.4,49.7,150.5,103.8,59.0,35.0,11.0,94.0,9.5,3.75,343.0,357.0,4.3,3.3
2022-03-26,猀,程,27.6,3.29,1.06,0.51,36.8,58.0,69.9,54.9,53.0,40.0,11.0,100.0,5.2,3.8,324.0,315.0,3.6,2.9
2022-04-02,猀,程,27.0,2.49,0.53,0.22,18.5,39.4,47.3,54.0,39.0,23.0,3.5,93.0,3.0,2.7,323.0,353.0,4.5,3.6
2022-04-09,猀,程,31.7,2.45,0.74,0.42,30.3,50.0,59.4,104.6,47.0,35.0,24.0,93.0,8.9,2.8,353.0,348.0,4.3,2.8
2022-04-16,猀,程,31.4,3.18,1.35,0.65,52.4,56.4,95.7,82.7,60.0,45.0,1.5,99.0,13.8,3.66,359.0,356.0,3.6,2.8
2022-04-23,猀,程,33.4,2.64,0.9,0.39,28.3,41.5,54.1,70.3,54.0,37.0,6.0,94.0,5.6,3.0,358.0,354.0,4.1,2.8
2022-04-30,猀,程,27.7,2.15,0.47,0.15,11.1,35.8,44.8,56.8,35.0,18.0,3.0,96.0,2.2,2.22,77.0,341.0,3.8,3.1
2022-05-07,猀,程,30.9,2.38,0.75,0.3,40.5,34.4,59.4,51.8,30.0,19.0,24.0,100.0,6.0,2.63,340.0,334.0,4.9,2.9
2022-05-14,猀,程,26.6,2.17,0.46,0.13,8.2,32.9,41.1,70.5,39.0,22.0,6.0,100.0,2.3,2.27,247.0,324.0,3.7,3.0
2022-05-21,猀,程,28.0,2.81,0.87,0.34,40.3,40.5,67.2,44.6,32.0,17.0,30.5,100.0,3.8,2.94,337.0,355.0,3.0,2.4
2022-05-28,猀,程,33.8,2.93,1.45,0.72,59.1,27.4,76.5,61.5,38.0,21.0,8.0,100.0,3.3,3.39,353.0,346.0,3.4,2.2
2022-06-04,猀,程,35.8,2.62,0.98,0.33,36.8,43.7,74.7,50.1,38.0,18.0,14.5,100.0,2.5,2.85,351.0,357.0,3.8,2.8
2022-06-11,猀,程,34.3,2.66,1.07,0.47,52.7,34.7,75.1,47.7,41.0,20.0,9.5,99.0,2.7,2.92,351.0,359.0,3.8,3.1
2022-06-18,猀,程,35.9,2.29,0.74,0.36,26.4,34.4,50.2,80.6,42.0,24.0,39.0,91.0,10.7,2.5,353.0,342.0,5.0,2.7
2022-06-25,猀,程,34.0,2.27,0.7,0.21,23.1,38.8,44.8,80.7,37.0,20.0,6.0,92.0,7.0,2.41,357.0,347.0,3.2,2.4
2022-07-02,猀,程,34.4,2.34,0.85,0.38,19.4,39.5,48.2,71.3,39.0,25.0,27.0,94.0,5.0,2.63,348.0,328.0,4.1,3.3
2022-07-09,猀,程,36.2,2.21,0.59,0.26,21.4,23.9,44.8,88.4,42.0,22.0,0.0,86.0,14.2,2.35,359.0,346.0,3.5,2.6
2022-07-16,猀,程,38.1,2.19,0.71,0.29,22.6,36.8,50.2,108.2,45.0,21.0,25.0,95.0,4.6,2.36,355.0,353.0,3.5,2.7
2022-07-23,猀,程,38.0,2.15,0.56,1.06,14.4,24.3,37.2,100.3,56.0,47.0,8.5,92.0,9.7,2.94,354.0,353.0,3.9,2.8
2022-07-30,猀,程,35.4,2.18,0.56,0.23,19.0,30.1,40.5,85.9,45.0,25.0,3.0,90.0,9.7,2.34,359.0,358.0,3.5,2.7
2022-08-06,猀,程,36.6,2.06,0.52,0.2,17.5,25.5,34.5,79.2,39.0,23.0,13.5,82.0,8.4,2.22,356.0,354.0,3.3,2.8
2022-08-13,猀,程,35.8,2.18,0.48,0.34,29.9,25.7,43.5,86.6,80.0,23.0,1.0,85.0,6.3,2.32,342.0,341.0,3.8,3.2
2022-08-20,猀,程,37.4,2.21,0.81,0.34,29.9,33.6,57.7,93.0,49.0,27.0,66.0,93.0,9.9,2.48,352.0,325.0,3.7,2.5
2022-08-27,猀,程,36.5,2.28,0.43,0.22,11.9,23.5,30.5,98.1,40.0,20.0,5.5,95.0,7.9,2.42,353.0,357.0,3.9,3.2
2022-09-03,猀,程,33.3,2.38,0.75,0.44,17.9,30.6,47.7,83.3,67.0,35.0,16.0,93.0,3.4,2.68,356.0,344.0,4.4,3.6
2022-09-10,猀,程,32.6,2.34,0.86,0.32,36.5,41.9,65.7,123.8,55.0,31.0,22.5,100.0,4.7,2.55,347.0,356.0,3.8,2.7
2022-09-17,猀,程,32.2,2.3,0.77,0.22,17.7,33.0,48.7,102.8,76.0,34.0,0.0,86.0,3.8,2.47,322.0,328.0,4.0,3.6
2022-09-24,猀,程,34.7,2.16,0.49,0.15,23.3,21.8,35.9,67.3,50.0,19.0,2.5,96.0,1.8,2.28,320.0,255.0,3.6,2.6
2022-10-01,猀,程,35.1,2.42,0.54,0.25,26.5,22.8,44.2,83.5,48.0,23.0,15.0,94.0,4.8,2.58,231.0,319.0,3.9,2.9
2022-10-08,猀,程,24.8,2.12,0.5,0.17,10.7,31.5,37.9,53.0,57.0,21.0,2.5,95.0,2.8,2.27,335.0,357.0,3.3,2.8
2022-10-15,猀,程,27.5,2.29,0.55,0.22,74.6,37.6,95.7,41.8,51.0,18.0,61.0,100.0,3.1,2.39,69.0,355.0,4.5,3.2
2022-10-22,猀,程,29.8,2.3,0.55,0.2,23.6,27.8,51.4,65.3,71.0,25.0,6.0,98.0,2.3,2.5,74.0,357.0,4.0,3.3
2022-10-29,猀,程,24.8,2.05,0.44,0.12,12.5,33.1,45.0,48.4,40.0,16.0,14.0,95.0,2.3,2.15,70.0,252.0,3.8,3.3
2022-11-05,猀,程,30.7,2.21,0.5,0.21,23.7,32.6,44.3,40.0,38.0,13.0,1.5,94.0,2.6,2.35,81.0,96.0,3.6,3.0
2022-11-12,猀,程,32.2,2.22,0.87,0.3,36.5,30.1,64.4,67.2,73.0,39.0,0.5,95.0,2.8,2.46,355.0,357.0,3.8,3.1
2022-11-19,猀,程,30.0,2.28,0.73,0.3,14.7,34.0,46.7,43.7,48.0,21.0,14.0,100.0,2.5,2.58,310.0,357.0,3.6,2.7
2022-11-26,猀,程,31.3,2.71,0.95,0.37,43.4,50.0,63.7,84.9,51.0,25.0,1.5,100.0,3.9,3.04,357.0,352.0,4.1,2.9
2022-12-03,猀,程,24.1,2.4,0.64,0.21,19.3,33.9,53.2,38.9,39.0,19.0,3.0,100.0,1.8,2.53,336.0,356.0,3.1,2.5
2022-12-10,猀,程,20.8,2.25,0.89,0.34,24.7,38.2,59.8,47.6,44.0,25.0,3.0,100.0,1.8,2.59,346.0,324.0,3.1,2.1
2022-12-17,猀,程,23.1,2.75,1.08,0.38,56.6,48.6,92.7,50.7,83.0,32.0,2.0,97.0,2.5,3.04,353.0,316.0,4.7,3.3
2022-12-24,猀,程,18.4,2.71,1.25,0.48,68.0,38.3,98.1,48.2,55.0,25.0,1.5,96.0,3.2,3.04,93.0,254.0,3.9,2.7
