ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2022-01-01,い胏,程,14.2,1.97,0.2,0.06,0.2,5.7,6.9,0.4,6.0,3.0,0.0,73.0,0.8,2.06,3.0,0.0,0.2,0.1
2022-01-08,い胏,程,11.2,1.97,0.18,0.06,0.9,5.7,7.6,0.0,9.0,5.0,0.0,56.0,0.8,2.05,2.0,1.0,0.2,0.2
2022-01-15,い胏,程,14.6,1.96,0.14,0.05,0.5,3.9,5.0,0.0,5.0,3.0,0.0,70.0,0.8,2.03,0.0,0.0,0.2,0.2
2022-01-22,い胏,程,16.4,1.97,0.19,0.06,1.0,5.4,7.8,0.0,3.0,1.0,0.0,68.0,0.5,2.07,0.0,0.0,0.2,0.1
2022-01-29,い胏,程,11.3,1.95,0.17,0.05,0.1,3.5,4.1,5.9,1.0,0.0,0.0,53.0,0.3,2.03,1.0,1.0,0.2,0.1
2022-02-05,い胏,程,12.3,1.97,0.15,0.06,0.6,3.9,5.3,0.3,4.0,0.0,0.0,67.0,0.7,2.06,0.0,0.0,0.2,0.1
2022-02-12,い胏,程,12.9,1.98,0.16,0.06,0.7,4.1,5.1,3.8,5.0,2.0,0.0,67.0,0.7,2.07,0.0,0.0,0.2,0.1
2022-02-19,い胏,程,9.2,1.96,0.15,0.04,0.3,2.5,3.8,0.9,0.0,0.0,0.0,64.0,0.7,2.02,0.0,1.0,0.2,0.1
2022-02-26,い胏,程,16.0,1.93,0.3,0.09,1.0,8.0,9.0,0.0,17.0,3.0,0.0,40.0,0.6,2.07,0.0,0.0,0.2,0.1
2022-03-05,い胏,程,11.7,1.95,0.19,0.07,1.3,5.1,7.4,0.0,7.0,3.0,0.0,39.0,0.3,2.03,1.0,2.0,0.2,0.1
