ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2022-01-01,堕,程,14.5,1.96,0.21,0.01,0.4,4.8,5.5,4.2,3.0,3.0,0.0,67.0,0.4,2.0,9.0,4.0,0.3,0.1
2022-01-08,堕,程,11.5,1.97,0.19,0.03,0.5,6.0,6.6,0.0,5.0,4.0,0.0,52.0,0.2,2.03,2.0,1.0,0.3,0.0
2022-01-15,堕,程,14.4,1.96,0.19,0.02,0.0,4.4,5.1,0.4,2.0,3.0,0.0,62.0,0.8,2.01,5.0,0.0,0.3,0.1
2022-01-22,堕,程,16.6,1.94,0.18,0.02,0.3,4.7,5.2,0.0,1.0,2.0,0.0,67.0,0.3,2.0,4.0,4.0,0.3,0.0
2022-01-29,堕,程,11.7,1.95,0.17,0.02,0.1,2.8,3.0,19.9,0.0,0.0,0.0,53.0,0.2,1.99,1.0,2.0,0.3,0.1
2022-02-05,堕,程,12.6,1.94,0.18,0.01,0.3,2.9,3.4,2.8,1.0,3.0,0.0,63.0,0.4,1.98,0.0,0.0,0.3,0.1
2022-02-12,堕,程,13.5,1.98,0.18,0.02,0.2,3.3,3.8,14.3,0.0,2.0,0.0,65.0,0.4,2.03,1.0,1.0,0.3,0.3
2022-02-19,堕,程,9.7,1.96,0.18,0.01,0.4,2.5,3.2,3.7,0.0,0.0,0.0,64.0,0.5,2.0,4.0,0.0,0.3,0.3
2022-02-26,堕,程,15.8,1.91,0.18,0.03,0.1,5.3,5.7,0.0,14.0,7.0,0.0,42.0,0.3,1.94,1.0,2.0,0.3,0.0
2022-03-05,堕,程,12.2,1.94,0.18,0.02,0.3,4.4,5.0,0.0,1.0,2.0,0.0,40.0,0.5,1.98,0.0,0.0,0.3,0.1
2022-03-12,堕,程,18.0,1.92,0.18,0.02,0.0,4.1,5.7,0.0,12.0,8.0,0.0,41.0,0.9,1.95,0.0,1.0,0.3,0.1
2022-03-19,堕,程,14.0,1.95,0.2,0.02,0.2,5.3,6.4,0.1,1.0,0.0,0.0,55.0,0.8,1.99,0.0,2.0,0.4,0.1
2022-03-26,堕,程,14.8,1.85,0.17,0.0,0.0,4.5,6.0,0.0,0.0,0.0,0.0,64.0,0.4,1.88,3.0,8.0,0.4,0.0
2022-04-02,堕,程,13.3,1.92,0.17,0.01,0.2,3.6,4.5,6.0,2.0,0.0,0.0,48.0,0.7,1.97,22.0,12.0,0.4,0.1
2022-04-09,堕,程,17.8,1.92,0.17,0.0,0.3,4.3,4.7,0.0,5.0,0.0,0.0,40.0,0.0,1.97,1.0,7.0,0.4,0.0
2022-04-16,堕,程,16.0,1.98,0.22,0.02,0.2,4.7,5.0,0.0,9.0,9.0,0.0,54.0,0.9,2.03,4.0,4.0,0.4,0.0
2022-04-23,堕,程,21.4,1.86,0.16,0.01,0.0,4.5,5.9,0.0,9.0,5.0,0.0,56.0,0.5,1.9,3.0,1.0,0.4,0.0
2022-04-30,堕,程,15.5,1.9,0.16,0.0,0.1,3.9,4.2,17.8,0.0,0.0,0.0,70.0,0.4,1.97,2.0,1.0,0.7,0.5
2022-05-07,堕,程,22.9,1.87,0.15,0.03,0.2,5.6,6.2,0.5,5.0,3.0,0.0,56.0,0.7,1.93,0.0,0.0,0.4,0.1
2022-05-14,堕,程,17.3,1.89,0.16,0.0,0.0,3.2,3.9,21.6,0.0,0.0,0.0,56.0,0.2,1.96,1.0,1.0,0.5,0.7
2022-05-21,堕,程,21.7,1.92,0.16,0.02,0.1,4.6,5.0,0.5,0.0,1.0,0.0,83.0,0.1,1.99,2.0,2.0,0.4,0.1
2022-05-28,堕,程,23.3,1.83,0.12,0.02,0.5,3.1,4.5,0.0,5.0,0.0,0.0,55.0,0.2,1.88,1.0,3.0,0.4,0.0
2022-06-04,堕,程,21.8,1.84,0.1,0.0,0.0,2.6,3.3,0.0,4.0,0.0,0.0,47.0,0.3,1.86,8.0,3.0,0.4,0.0
2022-06-11,堕,程,23.4,1.83,0.12,0.01,0.4,5.4,6.1,0.0,4.0,2.0,0.0,51.0,0.2,1.88,15.0,1.0,0.4,0.0
2022-06-18,堕,程,26.6,1.86,0.12,0.0,0.5,3.3,4.8,0.0,8.0,1.0,0.0,52.0,0.4,1.87,58.0,52.0,0.4,0.1
2022-06-25,堕,程,25.6,1.84,0.13,0.0,0.2,3.7,4.6,0.1,3.0,0.0,0.0,50.0,0.3,1.85,0.0,1.0,0.4,0.0
2022-07-02,堕,程,26.4,1.78,0.13,0.0,0.3,3.3,4.7,0.0,6.0,0.0,0.0,53.0,0.3,1.78,0.0,0.0,0.0,0.0
2022-07-09,堕,程,27.3,1.84,0.09,0.01,0.2,3.7,4.9,4.2,7.0,0.0,0.0,46.0,0.0,1.85,14.0,7.0,0.1,0.1
2022-07-16,堕,程,27.3,1.83,0.09,0.01,0.0,2.6,2.8,0.0,3.0,2.0,0.0,47.0,0.0,1.86,58.0,23.0,0.0,0.0
2022-07-23,堕,程,26.1,1.83,0.1,0.0,0.1,3.1,3.9,1.3,7.0,4.0,0.0,42.0,0.5,1.85,0.0,1.0,0.2,0.0
2022-07-30,堕,程,25.6,1.81,0.1,0.0,0.0,3.1,4.0,0.4,4.0,5.0,0.0,51.0,0.0,1.84,0.0,3.0,0.2,0.1
