ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2022-01-01,λ狥,程,23.5,NaN,0.57,NaN,11.7,29.7,33.1,54.8,55.0,41.0,1.0,96.0,1.9,NaN,359.0,359.0,9.2,7.2
2022-01-08,λ狥,程,20.0,NaN,0.62,NaN,13.6,26.3,29.3,50.2,75.0,57.0,1.5,100.0,1.7,NaN,359.0,359.0,6.3,5.6
2022-01-15,λ狥,程,24.9,NaN,0.49,NaN,10.4,27.9,35.5,53.4,41.0,24.0,3.0,97.0,3.6,NaN,359.0,356.0,4.8,3.9
2022-01-22,λ狥,程,27.6,NaN,0.59,NaN,13.0,19.7,29.6,55.4,50.0,32.0,3.0,99.0,1.6,NaN,359.0,358.0,5.0,4.1
2022-01-29,λ狥,程,21.1,NaN,0.39,NaN,3.6,13.1,15.3,45.3,80.0,48.0,5.5,99.0,1.3,NaN,358.0,357.0,6.8,5.7
2022-02-05,λ狥,程,21.5,NaN,0.46,NaN,11.0,26.5,30.8,50.1,47.0,26.0,0.0,100.0,1.9,NaN,357.0,356.0,6.7,5.4
2022-02-12,λ狥,程,20.4,NaN,0.62,NaN,4.6,19.0,21.4,47.3,42.0,23.0,5.5,100.0,1.6,NaN,357.0,359.0,4.1,3.3
2022-02-19,λ狥,程,19.9,NaN,0.64,NaN,8.2,26.7,33.3,49.6,42.0,18.0,3.5,100.0,1.5,NaN,359.0,358.0,9.1,7.7
2022-02-26,λ狥,程,26.8,NaN,0.7,NaN,13.1,25.4,30.7,76.8,94.0,62.0,0.0,99.0,1.8,NaN,356.0,359.0,3.4,2.4
2022-03-05,λ狥,程,25.1,NaN,0.45,NaN,10.7,23.8,28.2,73.3,57.0,35.0,4.0,99.0,2.1,NaN,356.0,359.0,5.1,4.0
2022-03-12,λ狥,程,28.6,NaN,0.55,NaN,10.8,25.1,29.4,63.9,81.0,51.0,3.5,99.0,2.2,NaN,357.0,355.0,4.0,3.2
2022-03-19,λ狥,程,27.3,NaN,0.96,NaN,10.8,27.1,30.5,76.9,111.0,60.0,9.5,100.0,2.2,NaN,360.0,359.0,3.3,3.0
2022-03-26,λ狥,程,27.2,NaN,0.8,NaN,28.4,27.7,36.3,57.7,64.0,37.0,12.5,100.0,1.6,NaN,357.0,353.0,8.0,6.1
2022-04-02,λ狥,程,28.6,NaN,0.34,NaN,5.0,16.1,20.6,70.8,46.0,21.0,2.0,95.0,2.2,NaN,358.0,357.0,8.7,6.7
2022-04-09,λ狥,程,30.2,NaN,0.42,NaN,4.8,22.2,24.0,86.6,57.0,37.0,15.5,98.0,2.7,NaN,356.0,357.0,5.9,4.9
