ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2022-01-01,璢,程,14.2,NaN,0.16,NaN,1.0,4.7,5.8,0.0,7.0,4.0,0.0,60.0,1.1,NaN,0.0,2.0,0.3,0.1
2022-01-08,璢,程,11.1,NaN,0.15,NaN,0.9,3.7,5.4,0.2,5.0,4.0,0.0,51.0,1.3,NaN,2.0,5.0,0.4,0.1
2022-01-15,璢,程,13.9,NaN,0.15,NaN,0.9,6.1,7.4,0.0,4.0,3.0,0.0,61.0,1.2,NaN,3.0,0.0,0.3,0.1
2022-01-22,璢,程,17.0,NaN,0.17,NaN,1.0,5.1,6.1,0.0,2.0,1.0,0.0,46.0,1.0,NaN,2.0,1.0,0.3,0.1
2022-01-29,璢,程,12.0,NaN,0.13,NaN,0.5,3.1,3.6,4.6,1.0,0.0,0.0,52.0,0.9,NaN,3.0,0.0,0.4,0.2
2022-02-05,璢,程,12.7,NaN,0.13,NaN,0.8,2.5,3.8,1.7,1.0,0.0,0.0,61.0,0.5,NaN,5.0,0.0,0.3,0.1
2022-02-12,璢,程,12.4,NaN,0.12,NaN,0.8,3.9,5.1,0.3,0.0,2.0,0.0,66.0,0.7,NaN,5.0,1.0,0.3,0.1
2022-02-19,璢,程,9.9,NaN,0.11,NaN,0.8,2.9,4.0,3.8,0.0,0.0,0.0,63.0,1.1,NaN,0.0,0.0,0.4,0.3
2022-02-26,璢,程,13.9,NaN,0.14,NaN,0.5,2.7,4.2,0.1,13.0,6.0,0.0,45.0,1.1,NaN,0.0,1.0,0.3,0.0
2022-03-05,璢,程,11.5,NaN,0.13,NaN,0.7,3.9,5.3,0.2,3.0,0.0,0.0,36.0,0.8,NaN,0.0,0.0,0.3,0.0
2022-03-12,璢,程,17.1,NaN,0.09,NaN,0.6,3.1,4.3,0.4,10.0,8.0,0.0,38.0,0.8,NaN,0.0,0.0,0.3,0.0
2022-03-19,璢,程,13.8,NaN,0.12,NaN,0.5,4.5,5.3,0.0,2.0,1.0,0.0,56.0,1.0,NaN,1.0,0.0,0.3,0.0
2022-03-26,璢,程,14.3,NaN,0.06,NaN,0.7,2.3,3.1,7.9,4.0,4.0,0.0,61.0,0.7,NaN,0.0,0.0,0.3,0.2
2022-04-02,璢,程,13.3,NaN,0.11,NaN,0.7,3.4,4.8,3.8,2.0,3.0,0.0,48.0,0.9,NaN,1.0,0.0,0.3,0.0
2022-04-09,璢,程,18.4,NaN,0.1,NaN,0.9,3.7,5.5,1.0,7.0,3.0,0.0,53.0,1.0,NaN,0.0,2.0,0.3,0.0
2022-04-16,璢,程,15.5,NaN,0.13,NaN,0.8,3.6,4.8,0.7,12.0,6.0,0.0,60.0,1.0,NaN,1.0,2.0,0.3,0.1
2022-04-23,璢,程,22.2,NaN,0.08,NaN,0.9,3.0,4.7,1.4,8.0,4.0,0.0,48.0,0.9,NaN,1.0,1.0,0.3,0.0
2022-04-30,璢,程,15.3,NaN,0.1,NaN,0.6,3.2,4.5,0.5,5.0,2.0,0.0,66.0,1.0,NaN,0.0,0.0,0.3,0.1
2022-05-07,璢,程,22.5,NaN,0.05,NaN,0.8,1.8,3.1,0.8,3.0,0.0,0.0,62.0,0.8,NaN,0.0,0.0,0.3,0.1
2022-05-14,璢,程,16.8,NaN,0.11,NaN,0.6,3.2,4.0,0.0,2.0,0.0,0.0,63.0,0.9,NaN,1.0,0.0,0.3,0.1
2022-05-21,璢,程,21.5,NaN,0.07,NaN,1.0,2.9,4.2,0.1,0.0,0.0,0.0,78.0,0.7,NaN,1.0,2.0,0.3,0.1
