ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2022-01-01,到て,程,25.1,NaN,0.68,NaN,17.5,26.0,41.7,72.9,87.0,64.0,1.5,99.0,6.2,NaN,359.0,360.0,7.0,7.0
2022-01-08,到て,程,23.9,NaN,0.6,NaN,10.5,20.0,29.3,62.0,100.0,77.0,0.0,95.0,4.9,NaN,359.0,359.0,6.6,6.0
2022-01-15,到て,程,25.5,NaN,0.69,NaN,10.6,27.3,31.1,70.4,78.0,58.0,2.5,99.0,5.3,NaN,360.0,359.0,5.2,4.7
2022-01-22,到て,程,26.8,NaN,0.54,NaN,10.8,25.4,28.4,59.9,94.0,59.0,2.0,99.0,3.6,NaN,359.0,359.0,6.2,5.3
2022-01-29,到て,程,22.7,NaN,0.37,NaN,3.8,13.4,14.0,52.7,49.0,36.0,3.0,97.0,3.6,NaN,360.0,360.0,8.3,7.7
2022-02-05,到て,程,25.6,NaN,0.53,NaN,14.6,19.7,34.3,63.3,75.0,66.0,7.5,95.0,5.0,NaN,359.0,360.0,7.2,6.5
2022-02-12,到て,程,25.2,NaN,0.57,NaN,41.8,20.4,58.9,65.8,73.0,54.0,1.5,98.0,4.4,NaN,360.0,359.0,6.7,6.7
2022-02-19,到て,程,22.7,NaN,0.41,NaN,8.5,26.6,27.7,60.8,50.0,33.0,5.5,98.0,4.1,NaN,359.0,360.0,7.4,6.3
2022-02-26,到て,程,29.2,NaN,0.69,NaN,12.0,27.6,29.7,88.1,113.0,86.0,0.0,99.0,3.8,NaN,359.0,359.0,5.3,4.9
2022-03-05,到て,程,28.0,NaN,0.6,NaN,17.9,35.3,38.1,74.1,84.0,52.0,2.0,97.0,12.9,NaN,360.0,358.0,9.6,8.8
2022-03-12,到て,程,30.0,NaN,0.58,NaN,10.1,32.7,42.8,91.0,153.0,100.0,0.0,98.0,17.8,NaN,359.0,360.0,5.3,4.8
2022-03-19,到て,程,32.2,NaN,0.67,NaN,11.0,26.2,29.6,78.0,85.0,70.0,16.0,98.0,5.9,NaN,359.0,359.0,7.9,7.4
2022-03-26,到て,程,30.8,NaN,0.64,NaN,5.3,27.1,28.1,91.9,80.0,75.0,1.0,99.0,3.5,NaN,360.0,359.0,5.3,4.6
2022-04-02,到て,程,27.4,NaN,0.38,NaN,14.2,21.1,28.0,72.6,105.0,63.0,1.0,99.0,5.5,NaN,359.0,359.0,5.4,5.1
2022-04-09,到て,程,32.0,NaN,0.4,NaN,7.4,26.2,29.2,86.1,92.0,55.0,0.0,95.0,7.7,NaN,358.0,359.0,5.1,4.4
2022-04-16,到て,程,31.6,NaN,0.6,NaN,7.5,21.2,27.3,78.8,94.0,72.0,0.5,93.0,5.8,NaN,359.0,359.0,4.8,4.4
2022-04-23,到て,程,33.3,NaN,0.28,NaN,9.2,20.1,23.7,45.9,43.0,33.0,1.5,97.0,13.7,NaN,359.0,359.0,8.1,7.4
2022-04-30,到て,程,30.8,NaN,0.51,NaN,6.4,26.4,32.7,81.2,61.0,50.0,5.0,98.0,4.8,NaN,360.0,359.0,5.3,5.1
