ら戳,跋,参璸戈,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2022-01-01,沉糳,程,23.3,3.07,0.63,0.18,13.0,23.4,34.5,72.4,73.0,41.0,1.0,100.0,5.4,3.18,360.0,360.0,8.7,7.5
2022-01-08,沉糳,程,20.8,2.33,0.72,0.11,6.5,22.3,26.4,60.1,154.0,72.0,0.0,100.0,7.3,2.4,359.0,359.0,9.7,8.5
2022-01-15,沉糳,程,21.5,3.03,0.54,0.15,5.6,21.0,26.7,61.2,84.0,44.0,1.0,100.0,5.3,3.16,359.0,359.0,7.9,6.9
2022-01-22,沉糳,程,22.8,2.61,0.53,0.07,5.6,15.9,17.8,59.0,71.0,52.0,6.0,100.0,3.5,2.67,359.0,360.0,7.3,6.1
2022-01-29,沉糳,程,19.4,2.42,0.49,0.06,2.7,12.8,14.2,55.6,81.0,33.0,2.5,100.0,4.5,2.48,359.0,359.0,9.2,8.2
2022-02-05,沉糳,程,21.2,2.62,0.48,0.13,8.6,16.6,23.4,58.3,58.0,32.0,1.5,100.0,4.1,2.65,359.0,359.0,8.7,7.9
2022-02-12,沉糳,程,19.8,2.98,0.62,0.12,7.4,21.1,28.5,60.9,95.0,34.0,0.5,100.0,2.7,3.07,359.0,359.0,8.4,7.6
2022-02-19,沉糳,程,19.5,2.44,0.59,0.11,9.4,24.0,33.4,51.7,62.0,36.0,3.0,100.0,4.8,2.47,358.0,359.0,10.9,9.7
2022-02-26,沉糳,程,27.9,4.31,0.55,0.27,17.1,18.8,35.2,87.4,121.0,92.0,0.0,100.0,5.8,4.46,359.0,359.0,6.2,5.9
2022-03-05,沉糳,程,25.4,4.53,0.63,0.22,27.8,24.6,50.7,75.1,100.0,61.0,2.0,100.0,3.5,4.73,359.0,359.0,7.2,7.0
2022-03-12,沉糳,程,29.7,5.32,0.76,0.27,23.1,29.0,39.0,75.4,168.0,94.0,3.0,100.0,8.1,5.5,359.0,359.0,6.0,5.4
2022-03-19,沉糳,程,30.8,3.84,0.7,0.13,4.4,23.9,28.2,89.7,103.0,59.0,7.5,100.0,4.1,3.91,359.0,359.0,7.8,6.2
2022-03-26,沉糳,程,29.3,2.42,0.8,0.17,7.8,21.2,28.1,65.3,117.0,72.0,6.0,100.0,5.1,2.52,359.0,359.0,10.9,9.0
2022-04-02,沉糳,程,26.2,3.67,0.76,0.17,15.0,25.3,39.6,74.5,64.0,47.0,0.5,100.0,6.2,3.73,360.0,359.0,9.0,7.5
2022-04-09,沉糳,程,30.2,4.88,0.69,0.19,12.2,20.1,27.2,84.8,140.0,61.0,0.0,100.0,5.4,4.91,359.0,359.0,8.0,6.6
2022-04-16,沉糳,程,31.2,3.68,0.74,0.11,4.9,17.4,19.2,75.2,68.0,63.0,0.5,100.0,21.7,3.75,359.0,359.0,6.9,5.8
2022-04-23,沉糳,程,32.4,3.83,0.45,0.14,10.1,12.9,20.9,57.5,78.0,36.0,1.0,100.0,4.0,3.9,359.0,359.0,6.4,5.6
2022-04-30,沉糳,程,28.1,3.34,0.78,0.13,3.7,15.4,17.3,76.0,86.0,43.0,1.5,100.0,4.8,3.39,360.0,359.0,8.6,7.1
2022-05-07,沉糳,程,30.6,3.69,0.51,0.14,7.3,15.4,19.9,58.1,56.0,31.0,6.5,100.0,5.5,3.79,359.0,359.0,6.2,5.1
2022-05-14,沉糳,程,28.7,2.72,0.64,0.12,5.9,17.5,22.2,94.5,52.0,26.0,21.0,100.0,5.7,2.84,359.0,359.0,6.8,5.9
2022-05-21,沉糳,程,30.7,3.11,0.57,0.23,6.6,15.4,18.7,73.1,66.0,36.0,23.0,100.0,5.5,3.22,360.0,359.0,5.5,5.3
2022-05-28,沉糳,程,32.4,2.72,0.29,0.16,6.2,9.8,13.7,39.9,43.0,14.0,0.5,100.0,2.1,2.84,250.0,252.0,5.1,4.9
2022-06-04,沉糳,程,32.8,2.79,0.31,0.31,5.7,11.7,16.2,34.9,41.0,10.0,50.5,100.0,2.4,2.85,248.0,245.0,5.4,5.2
2022-06-11,沉糳,程,33.1,2.75,0.31,0.3,7.7,8.8,15.2,42.3,34.0,11.0,2.0,95.0,2.6,2.85,269.0,265.0,5.8,5.0
2022-06-18,沉糳,程,33.5,2.8,0.31,0.46,10.3,13.7,18.3,51.2,41.0,23.0,25.5,100.0,6.5,2.92,279.0,281.0,4.9,4.4
2022-06-25,沉糳,程,33.1,3.14,0.29,0.15,8.0,13.4,18.0,60.1,44.0,15.0,4.5,100.0,6.6,3.2,358.0,358.0,4.8,4.3
2022-07-02,沉糳,程,34.2,3.57,0.3,0.3,7.7,11.8,15.9,50.1,52.0,18.0,7.5,100.0,6.0,3.64,357.0,359.0,5.6,5.8
2022-07-09,沉糳,程,33.8,3.15,0.28,0.14,8.3,10.2,15.4,61.9,43.0,16.0,0.5,99.0,4.7,3.2,356.0,351.0,4.0,3.3
2022-07-16,沉糳,程,35.1,2.92,0.25,0.14,11.2,9.9,18.3,37.8,50.0,11.0,0.0,98.0,2.4,3.03,272.0,287.0,6.4,5.6
2022-07-23,沉糳,程,34.4,3.65,0.29,0.17,8.5,15.6,21.0,53.3,36.0,16.0,1.5,95.0,8.5,3.65,359.0,356.0,3.8,3.1
